name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Portsmouth city, Virginia",38850.0,754.0,1.0,05000US51740,51,740,T,All,All,All
"Portsmouth city, Virginia",24145.0,837.0,2.0,05000US51740,51,740,S,Owner,All,All
"Portsmouth city, Virginia",175.0,106.0,3.0,05000US51740,51,740,S,Owner,Substandard,All
"Portsmouth city, Virginia",0.0,161.0,4.0,05000US51740,51,740,D,Owner,Substandard,<=30% AMI
"Portsmouth city, Virginia",55.0,54.0,5.0,05000US51740,51,740,D,Owner,Substandard,30.1-50% AMI
"Portsmouth city, Virginia",40.0,48.0,6.0,05000US51740,51,740,D,Owner,Substandard,50.1-60% AMI
"Portsmouth city, Virginia",0.0,161.0,7.0,05000US51740,51,740,D,Owner,Substandard,60.1-80% AMI
"Portsmouth city, Virginia",0.0,161.0,8.0,05000US51740,51,740,D,Owner,Substandard,80.1-95% AMI
"Portsmouth city, Virginia",80.0,70.0,9.0,05000US51740,51,740,D,Owner,Substandard,>95% AMI
"Portsmouth city, Virginia",0.0,161.0,10.0,05000US51740,51,740,S,Owner,Severely overcrowded,All
"Portsmouth city, Virginia",0.0,161.0,11.0,05000US51740,51,740,D,Owner,Severely overcrowded,<=30% AMI
"Portsmouth city, Virginia",0.0,161.0,12.0,05000US51740,51,740,D,Owner,Severely overcrowded,30.1-50% AMI
"Portsmouth city, Virginia",0.0,161.0,13.0,05000US51740,51,740,D,Owner,Severely overcrowded,50.1-60% AMI
"Portsmouth city, Virginia",0.0,161.0,14.0,05000US51740,51,740,D,Owner,Severely overcrowded,60.1-80% AMI
"Portsmouth city, Virginia",0.0,161.0,15.0,05000US51740,51,740,D,Owner,Severely overcrowded,80.1-95% AMI
"Portsmouth city, Virginia",0.0,161.0,16.0,05000US51740,51,740,D,Owner,Severely overcrowded,>95% AMI
"Portsmouth city, Virginia",195.0,134.0,17.0,05000US51740,51,740,S,Owner,Overcrowded,All
"Portsmouth city, Virginia",30.0,54.0,18.0,05000US51740,51,740,D,Owner,Overcrowded,<=30% AMI
"Portsmouth city, Virginia",50.0,85.0,19.0,05000US51740,51,740,D,Owner,Overcrowded,30.1-50% AMI
"Portsmouth city, Virginia",0.0,161.0,20.0,05000US51740,51,740,D,Owner,Overcrowded,50.1-60% AMI
"Portsmouth city, Virginia",75.0,66.0,21.0,05000US51740,51,740,D,Owner,Overcrowded,60.1-80% AMI
"Portsmouth city, Virginia",0.0,161.0,22.0,05000US51740,51,740,D,Owner,Overcrowded,80.1-95% AMI
"Portsmouth city, Virginia",40.0,60.0,23.0,05000US51740,51,740,D,Owner,Overcrowded,>95% AMI
"Portsmouth city, Virginia",3675.0,582.0,24.0,05000US51740,51,740,S,Owner,Severely cost burdened,All
"Portsmouth city, Virginia",1335.0,329.0,25.0,05000US51740,51,740,D,Owner,Severely cost burdened,<=30% AMI
"Portsmouth city, Virginia",1270.0,340.0,26.0,05000US51740,51,740,D,Owner,Severely cost burdened,30.1-50% AMI
"Portsmouth city, Virginia",455.0,178.0,27.0,05000US51740,51,740,D,Owner,Severely cost burdened,50.1-60% AMI
"Portsmouth city, Virginia",335.0,162.0,28.0,05000US51740,51,740,D,Owner,Severely cost burdened,60.1-80% AMI
"Portsmouth city, Virginia",115.0,86.0,29.0,05000US51740,51,740,D,Owner,Severely cost burdened,80.1-95% AMI
"Portsmouth city, Virginia",165.0,129.0,30.0,05000US51740,51,740,D,Owner,Severely cost burdened,>95% AMI
"Portsmouth city, Virginia",5255.0,649.0,31.0,05000US51740,51,740,S,Owner,Cost burdened,All
"Portsmouth city, Virginia",305.0,137.0,32.0,05000US51740,51,740,D,Owner,Cost burdened,<=30% AMI
"Portsmouth city, Virginia",620.0,215.0,33.0,05000US51740,51,740,D,Owner,Cost burdened,30.1-50% AMI
"Portsmouth city, Virginia",465.0,173.0,34.0,05000US51740,51,740,D,Owner,Cost burdened,50.1-60% AMI
"Portsmouth city, Virginia",1215.0,386.0,35.0,05000US51740,51,740,D,Owner,Cost burdened,60.1-80% AMI
"Portsmouth city, Virginia",1045.0,321.0,36.0,05000US51740,51,740,D,Owner,Cost burdened,80.1-95% AMI
"Portsmouth city, Virginia",1610.0,332.0,37.0,05000US51740,51,740,D,Owner,Cost burdened,>95% AMI
