"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Tenure","Housing_Problem_Severity","Household_Income"
"Accomack County, Virginia","14920.0","633.0","1.0","05000US51001","51","001","T","All","All","All"
"Accomack County, Virginia","11585.0","623.0","2.0","05000US51001","51","001","S","Owner","All","All"
"Accomack County, Virginia","55.0","55.0","3.0","05000US51001","51","001","S","Owner","Substandard","All"
"Accomack County, Virginia","20.0","42.0","4.0","05000US51001","51","001","D","Owner","Substandard","<=30% AMI"
"Accomack County, Virginia","4.0","10.0","5.0","05000US51001","51","001","D","Owner","Substandard","30.1-50% AMI"
"Accomack County, Virginia","4.0","2.0","6.0","05000US51001","51","001","D","Owner","Substandard","50.1-60% AMI"
"Accomack County, Virginia","20.0","42.0","7.0","05000US51001","51","001","D","Owner","Substandard","60.1-80% AMI"
"Accomack County, Virginia","0.0","161.0","8.0","05000US51001","51","001","D","Owner","Substandard","80.1-95% AMI"
"Accomack County, Virginia","0.0","161.0","9.0","05000US51001","51","001","D","Owner","Substandard",">95% AMI"
"Accomack County, Virginia","0.0","161.0","10.0","05000US51001","51","001","S","Owner","Severely overcrowded","All"
"Accomack County, Virginia","0.0","161.0","11.0","05000US51001","51","001","D","Owner","Severely overcrowded","<=30% AMI"
"Accomack County, Virginia","0.0","161.0","12.0","05000US51001","51","001","D","Owner","Severely overcrowded","30.1-50% AMI"
"Accomack County, Virginia","0.0","161.0","13.0","05000US51001","51","001","D","Owner","Severely overcrowded","50.1-60% AMI"
"Accomack County, Virginia","0.0","161.0","14.0","05000US51001","51","001","D","Owner","Severely overcrowded","60.1-80% AMI"
"Accomack County, Virginia","0.0","161.0","15.0","05000US51001","51","001","D","Owner","Severely overcrowded","80.1-95% AMI"
"Accomack County, Virginia","0.0","161.0","16.0","05000US51001","51","001","D","Owner","Severely overcrowded",">95% AMI"
"Accomack County, Virginia","130.0","91.0","17.0","05000US51001","51","001","S","Owner","Overcrowded","All"
"Accomack County, Virginia","0.0","161.0","18.0","05000US51001","51","001","D","Owner","Overcrowded","<=30% AMI"
"Accomack County, Virginia","20.0","34.0","19.0","05000US51001","51","001","D","Owner","Overcrowded","30.1-50% AMI"
"Accomack County, Virginia","0.0","161.0","20.0","05000US51001","51","001","D","Owner","Overcrowded","50.1-60% AMI"
"Accomack County, Virginia","4.0","13.0","21.0","05000US51001","51","001","D","Owner","Overcrowded","60.1-80% AMI"
"Accomack County, Virginia","4.0","4.0","22.0","05000US51001","51","001","D","Owner","Overcrowded","80.1-95% AMI"
"Accomack County, Virginia","100.0","91.0","23.0","05000US51001","51","001","D","Owner","Overcrowded",">95% AMI"
"Accomack County, Virginia","1455.0","344.0","24.0","05000US51001","51","001","S","Owner","Severely cost burdened","All"
"Accomack County, Virginia","895.0","297.0","25.0","05000US51001","51","001","D","Owner","Severely cost burdened","<=30% AMI"
"Accomack County, Virginia","365.0","198.0","26.0","05000US51001","51","001","D","Owner","Severely cost burdened","30.1-50% AMI"
"Accomack County, Virginia","60.0","60.0","27.0","05000US51001","51","001","D","Owner","Severely cost burdened","50.1-60% AMI"
"Accomack County, Virginia","85.0","95.0","28.0","05000US51001","51","001","D","Owner","Severely cost burdened","60.1-80% AMI"
