name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Newport News city, Virginia",73275.0,721.0,1.0,05000US51700,51,700,T,All,All,All
"Newport News city, Virginia",38530.0,1070.0,2.0,05000US51700,51,700,S,Owner,All,All
"Newport News city, Virginia",100.0,85.0,3.0,05000US51700,51,700,S,Owner,Substandard,All
"Newport News city, Virginia",40.0,50.0,4.0,05000US51700,51,700,D,Owner,Substandard,<=30% AMI
"Newport News city, Virginia",20.0,37.0,5.0,05000US51700,51,700,D,Owner,Substandard,30.1-50% AMI
"Newport News city, Virginia",0.0,161.0,6.0,05000US51700,51,700,D,Owner,Substandard,50.1-60% AMI
"Newport News city, Virginia",40.0,66.0,7.0,05000US51700,51,700,D,Owner,Substandard,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,8.0,05000US51700,51,700,D,Owner,Substandard,80.1-95% AMI
"Newport News city, Virginia",0.0,161.0,9.0,05000US51700,51,700,D,Owner,Substandard,>95% AMI
"Newport News city, Virginia",20.0,34.0,10.0,05000US51700,51,700,S,Owner,Severely overcrowded,All
"Newport News city, Virginia",20.0,34.0,11.0,05000US51700,51,700,D,Owner,Severely overcrowded,<=30% AMI
"Newport News city, Virginia",0.0,161.0,12.0,05000US51700,51,700,D,Owner,Severely overcrowded,30.1-50% AMI
"Newport News city, Virginia",0.0,161.0,13.0,05000US51700,51,700,D,Owner,Severely overcrowded,50.1-60% AMI
"Newport News city, Virginia",0.0,161.0,14.0,05000US51700,51,700,D,Owner,Severely overcrowded,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,15.0,05000US51700,51,700,D,Owner,Severely overcrowded,80.1-95% AMI
"Newport News city, Virginia",0.0,161.0,16.0,05000US51700,51,700,D,Owner,Severely overcrowded,>95% AMI
"Newport News city, Virginia",200.0,114.0,17.0,05000US51700,51,700,S,Owner,Overcrowded,All
"Newport News city, Virginia",60.0,63.0,18.0,05000US51700,51,700,D,Owner,Overcrowded,<=30% AMI
"Newport News city, Virginia",15.0,27.0,19.0,05000US51700,51,700,D,Owner,Overcrowded,30.1-50% AMI
"Newport News city, Virginia",20.0,34.0,20.0,05000US51700,51,700,D,Owner,Overcrowded,50.1-60% AMI
"Newport News city, Virginia",20.0,38.0,21.0,05000US51700,51,700,D,Owner,Overcrowded,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,22.0,05000US51700,51,700,D,Owner,Overcrowded,80.1-95% AMI
"Newport News city, Virginia",80.0,68.0,23.0,05000US51700,51,700,D,Owner,Overcrowded,>95% AMI
"Newport News city, Virginia",3510.0,552.0,24.0,05000US51700,51,700,S,Owner,Severely cost burdened,All
"Newport News city, Virginia",1595.0,415.0,25.0,05000US51700,51,700,D,Owner,Severely cost burdened,<=30% AMI
"Newport News city, Virginia",1075.0,310.0,26.0,05000US51700,51,700,D,Owner,Severely cost burdened,30.1-50% AMI
"Newport News city, Virginia",335.0,134.0,27.0,05000US51700,51,700,D,Owner,Severely cost burdened,50.1-60% AMI
"Newport News city, Virginia",250.0,121.0,28.0,05000US51700,51,700,D,Owner,Severely cost burdened,60.1-80% AMI
"Newport News city, Virginia",125.0,106.0,29.0,05000US51700,51,700,D,Owner,Severely cost burdened,80.1-95% AMI
"Newport News city, Virginia",130.0,96.0,30.0,05000US51700,51,700,D,Owner,Severely cost burdened,>95% AMI
"Newport News city, Virginia",6505.0,728.0,31.0,05000US51700,51,700,S,Owner,Cost burdened,All
"Newport News city, Virginia",375.0,139.0,32.0,05000US51700,51,700,D,Owner,Cost burdened,<=30% AMI
"Newport News city, Virginia",710.0,254.0,33.0,05000US51700,51,700,D,Owner,Cost burdened,30.1-50% AMI
"Newport News city, Virginia",620.0,233.0,34.0,05000US51700,51,700,D,Owner,Cost burdened,50.1-60% AMI
"Newport News city, Virginia",1350.0,296.0,35.0,05000US51700,51,700,D,Owner,Cost burdened,60.1-80% AMI
"Newport News city, Virginia",1110.0,342.0,36.0,05000US51700,51,700,D,Owner,Cost burdened,80.1-95% AMI
"Newport News city, Virginia",2345.0,503.0,37.0,05000US51700,51,700,D,Owner,Cost burdened,>95% AMI
"Newport News city, Virginia",225.0,114.0,38.0,05000US51700,51,700,S,Owner,No income or no cash rent,All
"Newport News city, Virginia",225.0,114.0,39.0,05000US51700,51,700,D,Owner,No income or no cash rent,<=30% AMI
"Newport News city, Virginia",0.0,161.0,40.0,05000US51700,51,700,D,Owner,No income or no cash rent,30.1-50% AMI
"Newport News city, Virginia",0.0,161.0,41.0,05000US51700,51,700,D,Owner,No income or no cash rent,50.1-60% AMI
"Newport News city, Virginia",0.0,161.0,42.0,05000US51700,51,700,D,Owner,No income or no cash rent,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,43.0,05000US51700,51,700,D,Owner,No income or no cash rent,80.1-95% AMI
"Newport News city, Virginia",0.0,161.0,44.0,05000US51700,51,700,D,Owner,No income or no cash rent,>95% AMI
"Newport News city, Virginia",27970.0,1357.0,45.0,05000US51700,51,700,S,Owner,No housing problems,All
"Newport News city, Virginia",305.0,143.0,46.0,05000US51700,51,700,D,Owner,No housing problems,<=30% AMI
"Newport News city, Virginia",910.0,330.0,47.0,05000US51700,51,700,D,Owner,No housing problems,30.1-50% AMI
"Newport News city, Virginia",1045.0,304.0,48.0,05000US51700,51,700,D,Owner,No housing problems,50.1-60% AMI
"Newport News city, Virginia",2255.0,426.0,49.0,05000US51700,51,700,D,Owner,No housing problems,60.1-80% AMI
"Newport News city, Virginia",1945.0,363.0,50.0,05000US51700,51,700,D,Owner,No housing problems,80.1-95% AMI
"Newport News city, Virginia",21515.0,1203.0,51.0,05000US51700,51,700,D,Owner,No housing problems,>95% AMI
"Newport News city, Virginia",34745.0,1133.0,52.0,05000US51700,51,700,S,Renter,All,All
"Newport News city, Virginia",470.0,217.0,53.0,05000US51700,51,700,S,Renter,Substandard,All
"Newport News city, Virginia",175.0,123.0,54.0,05000US51700,51,700,D,Renter,Substandard,<=30% AMI
"Newport News city, Virginia",35.0,45.0,55.0,05000US51700,51,700,D,Renter,Substandard,30.1-50% AMI
"Newport News city, Virginia",70.0,98.0,56.0,05000US51700,51,700,D,Renter,Substandard,50.1-60% AMI
"Newport News city, Virginia",20.0,32.0,57.0,05000US51700,51,700,D,Renter,Substandard,60.1-80% AMI
"Newport News city, Virginia",15.0,28.0,58.0,05000US51700,51,700,D,Renter,Substandard,80.1-95% AMI
"Newport News city, Virginia",150.0,146.0,59.0,05000US51700,51,700,D,Renter,Substandard,>95% AMI
"Newport News city, Virginia",180.0,126.0,60.0,05000US51700,51,700,S,Renter,Severely overcrowded,All
"Newport News city, Virginia",50.0,50.0,61.0,05000US51700,51,700,D,Renter,Severely overcrowded,<=30% AMI
"Newport News city, Virginia",95.0,99.0,62.0,05000US51700,51,700,D,Renter,Severely overcrowded,30.1-50% AMI
"Newport News city, Virginia",20.0,35.0,63.0,05000US51700,51,700,D,Renter,Severely overcrowded,50.1-60% AMI
"Newport News city, Virginia",0.0,161.0,64.0,05000US51700,51,700,D,Renter,Severely overcrowded,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,65.0,05000US51700,51,700,D,Renter,Severely overcrowded,80.1-95% AMI
"Newport News city, Virginia",15.0,24.0,66.0,05000US51700,51,700,D,Renter,Severely overcrowded,>95% AMI
"Newport News city, Virginia",610.0,191.0,67.0,05000US51700,51,700,S,Renter,Overcrowded,All
"Newport News city, Virginia",120.0,79.0,68.0,05000US51700,51,700,D,Renter,Overcrowded,<=30% AMI
"Newport News city, Virginia",140.0,93.0,69.0,05000US51700,51,700,D,Renter,Overcrowded,30.1-50% AMI
"Newport News city, Virginia",55.0,51.0,70.0,05000US51700,51,700,D,Renter,Overcrowded,50.1-60% AMI
"Newport News city, Virginia",140.0,112.0,71.0,05000US51700,51,700,D,Renter,Overcrowded,60.1-80% AMI
"Newport News city, Virginia",0.0,161.0,72.0,05000US51700,51,700,D,Renter,Overcrowded,80.1-95% AMI
"Newport News city, Virginia",155.0,93.0,73.0,05000US51700,51,700,D,Renter,Overcrowded,>95% AMI
"Newport News city, Virginia",6935.0,800.0,74.0,05000US51700,51,700,S,Renter,Severely cost burdened,All
"Newport News city, Virginia",4970.0,745.0,75.0,05000US51700,51,700,D,Renter,Severely cost burdened,<=30% AMI
"Newport News city, Virginia",1640.0,410.0,76.0,05000US51700,51,700,D,Renter,Severely cost burdened,30.1-50% AMI
