name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Virginia Beach city, Virginia",161815.0,1317.0,1.0,05000US51810,51,810,T,All,All,All
"Virginia Beach city, Virginia",111055.0,1430.0,2.0,05000US51810,51,810,S,Owner,All,All
"Virginia Beach city, Virginia",265.0,151.0,3.0,05000US51810,51,810,S,Owner,Substandard,All
"Virginia Beach city, Virginia",0.0,161.0,4.0,05000US51810,51,810,D,Owner,Substandard,<=30% AMI
"Virginia Beach city, Virginia",0.0,161.0,5.0,05000US51810,51,810,D,Owner,Substandard,30.1-50% AMI
"Virginia Beach city, Virginia",40.0,67.0,6.0,05000US51810,51,810,D,Owner,Substandard,50.1-60% AMI
"Virginia Beach city, Virginia",60.0,57.0,7.0,05000US51810,51,810,D,Owner,Substandard,60.1-80% AMI
"Virginia Beach city, Virginia",15.0,28.0,8.0,05000US51810,51,810,D,Owner,Substandard,80.1-95% AMI
"Virginia Beach city, Virginia",155.0,90.0,9.0,05000US51810,51,810,D,Owner,Substandard,>95% AMI
"Virginia Beach city, Virginia",160.0,140.0,10.0,05000US51810,51,810,S,Owner,Severely overcrowded,All
"Virginia Beach city, Virginia",20.0,38.0,11.0,05000US51810,51,810,D,Owner,Severely overcrowded,<=30% AMI
"Virginia Beach city, Virginia",35.0,56.0,12.0,05000US51810,51,810,D,Owner,Severely overcrowded,30.1-50% AMI
"Virginia Beach city, Virginia",0.0,161.0,13.0,05000US51810,51,810,D,Owner,Severely overcrowded,50.1-60% AMI
"Virginia Beach city, Virginia",15.0,27.0,14.0,05000US51810,51,810,D,Owner,Severely overcrowded,60.1-80% AMI
"Virginia Beach city, Virginia",75.0,121.0,15.0,05000US51810,51,810,D,Owner,Severely overcrowded,80.1-95% AMI
"Virginia Beach city, Virginia",15.0,31.0,16.0,05000US51810,51,810,D,Owner,Severely overcrowded,>95% AMI
"Virginia Beach city, Virginia",420.0,180.0,17.0,05000US51810,51,810,S,Owner,Overcrowded,All
"Virginia Beach city, Virginia",25.0,46.0,18.0,05000US51810,51,810,D,Owner,Overcrowded,<=30% AMI
"Virginia Beach city, Virginia",75.0,93.0,19.0,05000US51810,51,810,D,Owner,Overcrowded,30.1-50% AMI
"Virginia Beach city, Virginia",0.0,161.0,20.0,05000US51810,51,810,D,Owner,Overcrowded,50.1-60% AMI
"Virginia Beach city, Virginia",85.0,72.0,21.0,05000US51810,51,810,D,Owner,Overcrowded,60.1-80% AMI
"Virginia Beach city, Virginia",120.0,116.0,22.0,05000US51810,51,810,D,Owner,Overcrowded,80.1-95% AMI
"Virginia Beach city, Virginia",110.0,75.0,23.0,05000US51810,51,810,D,Owner,Overcrowded,>95% AMI
"Virginia Beach city, Virginia",10960.0,810.0,24.0,05000US51810,51,810,S,Owner,Severely cost burdened,All
"Virginia Beach city, Virginia",2640.0,382.0,25.0,05000US51810,51,810,D,Owner,Severely cost burdened,<=30% AMI
"Virginia Beach city, Virginia",2475.0,397.0,26.0,05000US51810,51,810,D,Owner,Severely cost burdened,30.1-50% AMI
"Virginia Beach city, Virginia",1335.0,307.0,27.0,05000US51810,51,810,D,Owner,Severely cost burdened,50.1-60% AMI
"Virginia Beach city, Virginia",1845.0,378.0,28.0,05000US51810,51,810,D,Owner,Severely cost burdened,60.1-80% AMI
"Virginia Beach city, Virginia",815.0,259.0,29.0,05000US51810,51,810,D,Owner,Severely cost burdened,80.1-95% AMI
"Virginia Beach city, Virginia",1850.0,492.0,30.0,05000US51810,51,810,D,Owner,Severely cost burdened,>95% AMI
"Virginia Beach city, Virginia",22740.0,1359.0,31.0,05000US51810,51,810,S,Owner,Cost burdened,All
"Virginia Beach city, Virginia",550.0,245.0,32.0,05000US51810,51,810,D,Owner,Cost burdened,<=30% AMI
"Virginia Beach city, Virginia",1035.0,282.0,33.0,05000US51810,51,810,D,Owner,Cost burdened,30.1-50% AMI
"Virginia Beach city, Virginia",1765.0,401.0,34.0,05000US51810,51,810,D,Owner,Cost burdened,50.1-60% AMI
"Virginia Beach city, Virginia",3420.0,573.0,35.0,05000US51810,51,810,D,Owner,Cost burdened,60.1-80% AMI
"Virginia Beach city, Virginia",3630.0,554.0,36.0,05000US51810,51,810,D,Owner,Cost burdened,80.1-95% AMI
"Virginia Beach city, Virginia",12340.0,1049.0,37.0,05000US51810,51,810,D,Owner,Cost burdened,>95% AMI
"Virginia Beach city, Virginia",440.0,221.0,38.0,05000US51810,51,810,S,Owner,No income or no cash rent,All
"Virginia Beach city, Virginia",440.0,221.0,39.0,05000US51810,51,810,D,Owner,No income or no cash rent,<=30% AMI
"Virginia Beach city, Virginia",0.0,161.0,40.0,05000US51810,51,810,D,Owner,No income or no cash rent,30.1-50% AMI
"Virginia Beach city, Virginia",0.0,161.0,41.0,05000US51810,51,810,D,Owner,No income or no cash rent,50.1-60% AMI
"Virginia Beach city, Virginia",0.0,161.0,42.0,05000US51810,51,810,D,Owner,No income or no cash rent,60.1-80% AMI
"Virginia Beach city, Virginia",0.0,161.0,43.0,05000US51810,51,810,D,Owner,No income or no cash rent,80.1-95% AMI
"Virginia Beach city, Virginia",0.0,161.0,44.0,05000US51810,51,810,D,Owner,No income or no cash rent,>95% AMI
"Virginia Beach city, Virginia",76065.0,1798.0,45.0,05000US51810,51,810,S,Owner,No housing problems,All
"Virginia Beach city, Virginia",290.0,111.0,46.0,05000US51810,51,810,D,Owner,No housing problems,<=30% AMI
"Virginia Beach city, Virginia",1475.0,323.0,47.0,05000US51810,51,810,D,Owner,No housing problems,30.1-50% AMI
"Virginia Beach city, Virginia",1175.0,284.0,48.0,05000US51810,51,810,D,Owner,No housing problems,50.1-60% AMI
"Virginia Beach city, Virginia",4045.0,559.0,49.0,05000US51810,51,810,D,Owner,No housing problems,60.1-80% AMI
"Virginia Beach city, Virginia",4855.0,615.0,50.0,05000US51810,51,810,D,Owner,No housing problems,80.1-95% AMI
"Virginia Beach city, Virginia",64220.0,1714.0,51.0,05000US51810,51,810,D,Owner,No housing problems,>95% AMI
"Virginia Beach city, Virginia",50760.0,1583.0,52.0,05000US51810,51,810,S,Renter,All,All
"Virginia Beach city, Virginia",455.0,205.0,53.0,05000US51810,51,810,S,Renter,Substandard,All
"Virginia Beach city, Virginia",105.0,119.0,54.0,05000US51810,51,810,D,Renter,Substandard,<=30% AMI
"Virginia Beach city, Virginia",245.0,151.0,55.0,05000US51810,51,810,D,Renter,Substandard,30.1-50% AMI
