name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problem_Severity,Household_Income
"Suffolk city, Virginia",29860.0,431.0,1.0,05000US51800,51,800,T,All,All,All
"Suffolk city, Virginia",21285.0,618.0,2.0,05000US51800,51,800,S,Owner,All,All
"Suffolk city, Virginia",35.0,46.0,3.0,05000US51800,51,800,S,Owner,Substandard,All
"Suffolk city, Virginia",0.0,161.0,4.0,05000US51800,51,800,D,Owner,Substandard,<=30% AMI
"Suffolk city, Virginia",15.0,28.0,5.0,05000US51800,51,800,D,Owner,Substandard,30.1-50% AMI
"Suffolk city, Virginia",0.0,161.0,6.0,05000US51800,51,800,D,Owner,Substandard,50.1-60% AMI
"Suffolk city, Virginia",0.0,161.0,7.0,05000US51800,51,800,D,Owner,Substandard,60.1-80% AMI
"Suffolk city, Virginia",20.0,38.0,8.0,05000US51800,51,800,D,Owner,Substandard,80.1-95% AMI
"Suffolk city, Virginia",0.0,161.0,9.0,05000US51800,51,800,D,Owner,Substandard,>95% AMI
"Suffolk city, Virginia",0.0,161.0,10.0,05000US51800,51,800,S,Owner,Severely overcrowded,All
"Suffolk city, Virginia",0.0,161.0,11.0,05000US51800,51,800,D,Owner,Severely overcrowded,<=30% AMI
"Suffolk city, Virginia",0.0,161.0,12.0,05000US51800,51,800,D,Owner,Severely overcrowded,30.1-50% AMI
"Suffolk city, Virginia",0.0,161.0,13.0,05000US51800,51,800,D,Owner,Severely overcrowded,50.1-60% AMI
"Suffolk city, Virginia",0.0,161.0,14.0,05000US51800,51,800,D,Owner,Severely overcrowded,60.1-80% AMI
"Suffolk city, Virginia",0.0,161.0,15.0,05000US51800,51,800,D,Owner,Severely overcrowded,80.1-95% AMI
"Suffolk city, Virginia",0.0,161.0,16.0,05000US51800,51,800,D,Owner,Severely overcrowded,>95% AMI
"Suffolk city, Virginia",115.0,120.0,17.0,05000US51800,51,800,S,Owner,Overcrowded,All
"Suffolk city, Virginia",0.0,161.0,18.0,05000US51800,51,800,D,Owner,Overcrowded,<=30% AMI
"Suffolk city, Virginia",0.0,161.0,19.0,05000US51800,51,800,D,Owner,Overcrowded,30.1-50% AMI
"Suffolk city, Virginia",0.0,161.0,20.0,05000US51800,51,800,D,Owner,Overcrowded,50.1-60% AMI
"Suffolk city, Virginia",0.0,161.0,21.0,05000US51800,51,800,D,Owner,Overcrowded,60.1-80% AMI
