name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Manassas city, Virginia",0.0,161.0,48.0,05000US51683,51,683,D,Standard,VHUD100,30% AMI or less,0 or 1
"Manassas city, Virginia",0.0,161.0,49.0,05000US51683,51,683,D,Standard,VHUD100,30% AMI or less,2
"Manassas city, Virginia",15.0,27.0,50.0,05000US51683,51,683,D,Standard,VHUD100,30% AMI or less,3 or more
"Manassas city, Virginia",50.0,59.0,51.0,05000US51683,51,683,S,Standard,VHUD100,30.1-50% AMI,All
"Manassas city, Virginia",0.0,161.0,52.0,05000US51683,51,683,D,Standard,VHUD100,30.1-50% AMI,0 or 1
"Manassas city, Virginia",25.0,43.0,53.0,05000US51683,51,683,D,Standard,VHUD100,30.1-50% AMI,2
"Manassas city, Virginia",25.0,42.0,54.0,05000US51683,51,683,D,Standard,VHUD100,30.1-50% AMI,3 or more
"Manassas city, Virginia",70.0,71.0,55.0,05000US51683,51,683,S,Standard,VHUD100,50.1-80% AMI,All
"Manassas city, Virginia",0.0,161.0,56.0,05000US51683,51,683,D,Standard,VHUD100,50.1-80% AMI,0 or 1
"Manassas city, Virginia",0.0,161.0,57.0,05000US51683,51,683,D,Standard,VHUD100,50.1-80% AMI,2
"Manassas city, Virginia",70.0,71.0,58.0,05000US51683,51,683,D,Standard,VHUD100,50.1-80% AMI,3 or more
"Manassas city, Virginia",80.0,81.0,59.0,05000US51683,51,683,S,Standard,VHUD100,80.1-95% AMI,All
"Manassas city, Virginia",0.0,161.0,60.0,05000US51683,51,683,D,Standard,VHUD100,80.1-95% AMI,0 or 1
"Manassas city, Virginia",0.0,161.0,61.0,05000US51683,51,683,D,Standard,VHUD100,80.1-95% AMI,2
"Manassas city, Virginia",80.0,81.0,62.0,05000US51683,51,683,D,Standard,VHUD100,80.1-95% AMI,3 or more
"Manassas city, Virginia",35.0,39.0,63.0,05000US51683,51,683,S,Standard,VHUD100,95.1% AMI and above,All
"Manassas city, Virginia",0.0,161.0,64.0,05000US51683,51,683,D,Standard,VHUD100,95.1% AMI and above,0 or 1
"Manassas city, Virginia",0.0,161.0,65.0,05000US51683,51,683,D,Standard,VHUD100,95.1% AMI and above,2
"Manassas city, Virginia",35.0,39.0,66.0,05000US51683,51,683,D,Standard,VHUD100,95.1% AMI and above,3 or more
"Manassas city, Virginia",530.0,197.0,67.0,05000US51683,51,683,S,Standard,Greater than VHUD100,All,All
"Manassas city, Virginia",15.0,26.0,68.0,05000US51683,51,683,S,Standard,Greater than VHUD100,30% AMI or less,All
"Manassas city, Virginia",0.0,161.0,69.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30% AMI or less,0 or 1
"Manassas city, Virginia",0.0,161.0,70.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30% AMI or less,2
"Manassas city, Virginia",15.0,26.0,71.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30% AMI or less,3 or more
"Manassas city, Virginia",55.0,55.0,72.0,05000US51683,51,683,S,Standard,Greater than VHUD100,30.1-50% AMI,All
"Manassas city, Virginia",0.0,161.0,73.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30.1-50% AMI,0 or 1
"Manassas city, Virginia",0.0,161.0,74.0,05000US51683,51,683,D,Standard,Greater than VHUD100,30.1-50% AMI,2
