name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Type,Household_Size
"Prince William County, Virginia",121995.0,1161.0,1.0,05000US51153,51,153,T,All,All,All,All
"Prince William County, Virginia",91665.0,1514.0,2.0,05000US51153,51,153,S,Owner,All,All,All
"Prince William County, Virginia",34245.0,1496.0,3.0,05000US51153,51,153,S,Owner,Yes,All,All
"Prince William County, Virginia",6430.0,787.0,4.0,05000US51153,51,153,S,Owner,Yes,"Family, 1 parent",All
"Prince William County, Virginia",5235.0,719.0,5.0,05000US51153,51,153,D,Owner,Yes,"Family, 1 parent",4 or fewer
"Prince William County, Virginia",1200.0,387.0,6.0,05000US51153,51,153,D,Owner,Yes,"Family, 1 parent",5 or more
"Prince William County, Virginia",20585.0,1283.0,7.0,05000US51153,51,153,S,Owner,Yes,"Family, 2 parents",All
"Prince William County, Virginia",15005.0,1061.0,8.0,05000US51153,51,153,D,Owner,Yes,"Family, 2 parents",4 or fewer
"Prince William County, Virginia",5580.0,747.0,9.0,05000US51153,51,153,D,Owner,Yes,"Family, 2 parents",5 or more
"Prince William County, Virginia",7230.0,744.0,10.0,05000US51153,51,153,S,Owner,Yes,Non-family,All
"Prince William County, Virginia",7230.0,744.0,11.0,05000US51153,51,153,D,Owner,Yes,Non-family,4 or fewer
"Prince William County, Virginia",0.0,161.0,12.0,05000US51153,51,153,D,Owner,Yes,Non-family,5 or more
"Prince William County, Virginia",57240.0,1658.0,13.0,05000US51153,51,153,S,Owner,No,All,All
"Prince William County, Virginia",6455.0,905.0,14.0,05000US51153,51,153,S,Owner,No,"Family, 1 parent",All
"Prince William County, Virginia",5280.0,806.0,15.0,05000US51153,51,153,D,Owner,No,"Family, 1 parent",4 or fewer
"Prince William County, Virginia",1175.0,383.0,16.0,05000US51153,51,153,D,Owner,No,"Family, 1 parent",5 or more
"Prince William County, Virginia",40620.0,1402.0,17.0,05000US51153,51,153,S,Owner,No,"Family, 2 parents",All
"Prince William County, Virginia",33840.0,1304.0,18.0,05000US51153,51,153,D,Owner,No,"Family, 2 parents",4 or fewer
"Prince William County, Virginia",6780.0,793.0,19.0,05000US51153,51,153,D,Owner,No,"Family, 2 parents",5 or more
"Prince William County, Virginia",10170.0,1014.0,20.0,05000US51153,51,153,S,Owner,No,Non-family,All
"Prince William County, Virginia",10080.0,1002.0,21.0,05000US51153,51,153,D,Owner,No,Non-family,4 or fewer
