name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Type,Household_Size
"Powhatan County, Virginia",8075.0,327.0,1.0,05000US51145,51,145,T,All,All,All,All
"Powhatan County, Virginia",7290.0,406.0,2.0,05000US51145,51,145,S,Owner,All,All,All
"Powhatan County, Virginia",1280.0,277.0,3.0,05000US51145,51,145,S,Owner,Yes,All,All
"Powhatan County, Virginia",10.0,32.0,4.0,05000US51145,51,145,S,Owner,Yes,"Family, 1 parent",All
"Powhatan County, Virginia",10.0,32.0,5.0,05000US51145,51,145,D,Owner,Yes,"Family, 1 parent",4 or fewer
"Powhatan County, Virginia",0.0,161.0,6.0,05000US51145,51,145,D,Owner,Yes,"Family, 1 parent",5 or more
"Powhatan County, Virginia",1220.0,275.0,7.0,05000US51145,51,145,S,Owner,Yes,"Family, 2 parents",All
"Powhatan County, Virginia",1065.0,259.0,8.0,05000US51145,51,145,D,Owner,Yes,"Family, 2 parents",4 or fewer
"Powhatan County, Virginia",155.0,103.0,9.0,05000US51145,51,145,D,Owner,Yes,"Family, 2 parents",5 or more
"Powhatan County, Virginia",50.0,86.0,10.0,05000US51145,51,145,S,Owner,Yes,Non-family,All
"Powhatan County, Virginia",50.0,86.0,11.0,05000US51145,51,145,D,Owner,Yes,Non-family,4 or fewer
"Powhatan County, Virginia",0.0,161.0,12.0,05000US51145,51,145,D,Owner,Yes,Non-family,5 or more
"Powhatan County, Virginia",6010.0,439.0,13.0,05000US51145,51,145,S,Owner,No,All,All
"Powhatan County, Virginia",45.0,65.0,14.0,05000US51145,51,145,S,Owner,No,"Family, 1 parent",All
"Powhatan County, Virginia",40.0,62.0,15.0,05000US51145,51,145,D,Owner,No,"Family, 1 parent",4 or fewer
"Powhatan County, Virginia",4.0,10.0,16.0,05000US51145,51,145,D,Owner,No,"Family, 1 parent",5 or more
"Powhatan County, Virginia",5610.0,446.0,17.0,05000US51145,51,145,S,Owner,No,"Family, 2 parents",All
"Powhatan County, Virginia",5015.0,437.0,18.0,05000US51145,51,145,D,Owner,No,"Family, 2 parents",4 or fewer
"Powhatan County, Virginia",595.0,226.0,19.0,05000US51145,51,145,D,Owner,No,"Family, 2 parents",5 or more
"Powhatan County, Virginia",355.0,214.0,20.0,05000US51145,51,145,S,Owner,No,Non-family,All
"Powhatan County, Virginia",355.0,214.0,21.0,05000US51145,51,145,D,Owner,No,Non-family,4 or fewer
"Powhatan County, Virginia",4.0,11.0,22.0,05000US51145,51,145,D,Owner,No,Non-family,5 or more
"Powhatan County, Virginia",0.0,161.0,23.0,05000US51145,51,145,S,Owner,N/A,All,All
"Powhatan County, Virginia",0.0,161.0,24.0,05000US51145,51,145,S,Owner,N/A,"Family, 1 parent",All
"Powhatan County, Virginia",0.0,161.0,25.0,05000US51145,51,145,D,Owner,N/A,"Family, 1 parent",4 or fewer
"Powhatan County, Virginia",0.0,161.0,26.0,05000US51145,51,145,D,Owner,N/A,"Family, 1 parent",5 or more
"Powhatan County, Virginia",0.0,161.0,27.0,05000US51145,51,145,S,Owner,N/A,"Family, 2 parents",All
"Powhatan County, Virginia",0.0,161.0,28.0,05000US51145,51,145,D,Owner,N/A,"Family, 2 parents",4 or fewer
"Powhatan County, Virginia",0.0,161.0,29.0,05000US51145,51,145,D,Owner,N/A,"Family, 2 parents",5 or more
"Powhatan County, Virginia",0.0,161.0,30.0,05000US51145,51,145,S,Owner,N/A,Non-family,All
