name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Severe_Housing_Problems,Household_Income,Race
"York County, Virginia",22815.0,483.0,1.0,05000US51199,51,199,T,All,All,All,All
"York County, Virginia",17535.0,615.0,2.0,05000US51199,51,199,S,Owner,All,All,All
"York County, Virginia",1125.0,285.0,3.0,05000US51199,51,199,S,Owner,Yes,All,All
"York County, Virginia",220.0,128.0,4.0,05000US51199,51,199,S,Owner,Yes,30% AMI or less,All
"York County, Virginia",155.0,97.0,5.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,White
"York County, Virginia",45.0,54.0,6.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,Black
"York County, Virginia",0.0,161.0,7.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,Asian
"York County, Virginia",20.0,75.0,8.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,American Indian
"York County, Virginia",0.0,161.0,9.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,Pacific Islander
"York County, Virginia",0.0,161.0,10.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,Hispanic
"York County, Virginia",0.0,161.0,11.0,05000US51199,51,199,D,Owner,Yes,30% AMI or less,Other
"York County, Virginia",300.0,175.0,12.0,05000US51199,51,199,S,Owner,Yes,30.1-50% AMI,All
"York County, Virginia",110.0,82.0,13.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,White
"York County, Virginia",35.0,59.0,14.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,Black
"York County, Virginia",135.0,160.0,15.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,Asian
"York County, Virginia",0.0,161.0,16.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,American Indian
"York County, Virginia",0.0,161.0,17.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"York County, Virginia",15.0,32.0,18.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,Hispanic
"York County, Virginia",0.0,161.0,19.0,05000US51199,51,199,D,Owner,Yes,30.1-50% AMI,Other
"York County, Virginia",280.0,167.0,20.0,05000US51199,51,199,S,Owner,Yes,50.1-80% AMI,All
"York County, Virginia",245.0,155.0,21.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,White
"York County, Virginia",20.0,47.0,22.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,Black
"York County, Virginia",0.0,161.0,23.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,Asian
"York County, Virginia",0.0,161.0,24.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,American Indian
"York County, Virginia",0.0,161.0,25.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"York County, Virginia",10.0,21.0,26.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,Hispanic
"York County, Virginia",0.0,161.0,27.0,05000US51199,51,199,D,Owner,Yes,50.1-80% AMI,Other
"York County, Virginia",105.0,102.0,28.0,05000US51199,51,199,S,Owner,Yes,80.1-95% AMI,All
"York County, Virginia",30.0,34.0,29.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,White
"York County, Virginia",30.0,46.0,30.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,Black
"York County, Virginia",50.0,84.0,31.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,Asian
"York County, Virginia",0.0,161.0,32.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,American Indian
"York County, Virginia",0.0,161.0,33.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,Pacific Islander
"York County, Virginia",0.0,161.0,34.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,Hispanic
"York County, Virginia",0.0,161.0,35.0,05000US51199,51,199,D,Owner,Yes,80.1-95% AMI,Other
"York County, Virginia",220.0,137.0,36.0,05000US51199,51,199,S,Owner,Yes,95.1% AMI and above,All
"York County, Virginia",220.0,137.0,37.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,White
"York County, Virginia",0.0,161.0,38.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,Black
"York County, Virginia",0.0,161.0,39.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,Asian
"York County, Virginia",0.0,161.0,40.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,American Indian
"York County, Virginia",0.0,161.0,41.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,Pacific Islander
"York County, Virginia",0.0,161.0,42.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,Hispanic
"York County, Virginia",0.0,161.0,43.0,05000US51199,51,199,D,Owner,Yes,95.1% AMI and above,Other
"York County, Virginia",16385.0,645.0,44.0,05000US51199,51,199,S,Owner,No,All,All
"York County, Virginia",190.0,124.0,45.0,05000US51199,51,199,S,Owner,No,30% AMI or less,All
"York County, Virginia",165.0,118.0,46.0,05000US51199,51,199,D,Owner,No,30% AMI or less,White
"York County, Virginia",25.0,43.0,47.0,05000US51199,51,199,D,Owner,No,30% AMI or less,Black
"York County, Virginia",0.0,161.0,48.0,05000US51199,51,199,D,Owner,No,30% AMI or less,Asian
"York County, Virginia",0.0,161.0,49.0,05000US51199,51,199,D,Owner,No,30% AMI or less,American Indian
"York County, Virginia",0.0,161.0,50.0,05000US51199,51,199,D,Owner,No,30% AMI or less,Pacific Islander
"York County, Virginia",0.0,161.0,51.0,05000US51199,51,199,D,Owner,No,30% AMI or less,Hispanic
"York County, Virginia",0.0,161.0,52.0,05000US51199,51,199,D,Owner,No,30% AMI or less,Other
"York County, Virginia",530.0,193.0,53.0,05000US51199,51,199,S,Owner,No,30.1-50% AMI,All
"York County, Virginia",350.0,162.0,54.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,White
"York County, Virginia",155.0,109.0,55.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,Black
"York County, Virginia",15.0,28.0,56.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,Asian
"York County, Virginia",10.0,41.0,57.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,American Indian
"York County, Virginia",0.0,161.0,58.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,Pacific Islander
"York County, Virginia",0.0,161.0,59.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,Hispanic
"York County, Virginia",0.0,161.0,60.0,05000US51199,51,199,D,Owner,No,30.1-50% AMI,Other
"York County, Virginia",1055.0,262.0,61.0,05000US51199,51,199,S,Owner,No,50.1-80% AMI,All
"York County, Virginia",920.0,236.0,62.0,05000US51199,51,199,D,Owner,No,50.1-80% AMI,White
"York County, Virginia",65.0,66.0,63.0,05000US51199,51,199,D,Owner,No,50.1-80% AMI,Black
"York County, Virginia",50.0,57.0,64.0,05000US51199,51,199,D,Owner,No,50.1-80% AMI,Asian
"York County, Virginia",0.0,161.0,65.0,05000US51199,51,199,D,Owner,No,50.1-80% AMI,American Indian
