name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Severe_Housing_Problems,Household_Income,Race
"Chesterfield County, Virginia",108690.0,1007.0,1.0,05000US51041,51,041,T,All,All,All,All
"Chesterfield County, Virginia",85810.0,1315.0,2.0,05000US51041,51,041,S,Owner,All,All,All
"Chesterfield County, Virginia",6090.0,600.0,3.0,05000US51041,51,041,S,Owner,Yes,All,All
"Chesterfield County, Virginia",2015.0,365.0,4.0,05000US51041,51,041,S,Owner,Yes,30% AMI or less,All
"Chesterfield County, Virginia",1620.0,321.0,5.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,White
"Chesterfield County, Virginia",285.0,132.0,6.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,Black
"Chesterfield County, Virginia",35.0,34.0,7.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,Asian
"Chesterfield County, Virginia",0.0,161.0,8.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,American Indian
"Chesterfield County, Virginia",0.0,161.0,9.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,Pacific Islander
"Chesterfield County, Virginia",45.0,46.0,10.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,Hispanic
"Chesterfield County, Virginia",30.0,35.0,11.0,05000US51041,51,041,D,Owner,Yes,30% AMI or less,Other
"Chesterfield County, Virginia",1725.0,353.0,12.0,05000US51041,51,041,S,Owner,Yes,30.1-50% AMI,All
"Chesterfield County, Virginia",845.0,243.0,13.0,05000US51041,51,041,D,Owner,Yes,30.1-50% AMI,White
"Chesterfield County, Virginia",560.0,214.0,14.0,05000US51041,51,041,D,Owner,Yes,30.1-50% AMI,Black
"Chesterfield County, Virginia",45.0,52.0,15.0,05000US51041,51,041,D,Owner,Yes,30.1-50% AMI,Asian
"Chesterfield County, Virginia",0.0,161.0,16.0,05000US51041,51,041,D,Owner,Yes,30.1-50% AMI,American Indian
