name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Severe_Housing_Problems,Household_Income,Race
"Portsmouth city, Virginia",38850.0,754.0,1.0,05000US51740,51,740,T,All,All,All,All
"Portsmouth city, Virginia",24145.0,837.0,2.0,05000US51740,51,740,S,Owner,All,All,All
"Portsmouth city, Virginia",3855.0,584.0,3.0,05000US51740,51,740,S,Owner,Yes,All,All
"Portsmouth city, Virginia",1335.0,329.0,4.0,05000US51740,51,740,S,Owner,Yes,30% AMI or less,All
"Portsmouth city, Virginia",490.0,213.0,5.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,White
"Portsmouth city, Virginia",815.0,272.0,6.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,Black
"Portsmouth city, Virginia",0.0,161.0,7.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,Asian
"Portsmouth city, Virginia",0.0,161.0,8.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,American Indian
"Portsmouth city, Virginia",0.0,161.0,9.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,Pacific Islander
"Portsmouth city, Virginia",0.0,161.0,10.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,Hispanic
"Portsmouth city, Virginia",35.0,39.0,11.0,05000US51740,51,740,D,Owner,Yes,30% AMI or less,Other
"Portsmouth city, Virginia",1325.0,341.0,12.0,05000US51740,51,740,S,Owner,Yes,30.1-50% AMI,All
"Portsmouth city, Virginia",615.0,239.0,13.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,White
"Portsmouth city, Virginia",585.0,252.0,14.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,Black
"Portsmouth city, Virginia",65.0,78.0,15.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,Asian
"Portsmouth city, Virginia",0.0,161.0,16.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,American Indian
"Portsmouth city, Virginia",0.0,161.0,17.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Portsmouth city, Virginia",0.0,161.0,18.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,Hispanic
"Portsmouth city, Virginia",60.0,61.0,19.0,05000US51740,51,740,D,Owner,Yes,30.1-50% AMI,Other
"Portsmouth city, Virginia",830.0,239.0,20.0,05000US51740,51,740,S,Owner,Yes,50.1-80% AMI,All
"Portsmouth city, Virginia",320.0,137.0,21.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,White
"Portsmouth city, Virginia",400.0,221.0,22.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,Black
"Portsmouth city, Virginia",20.0,30.0,23.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,Asian
"Portsmouth city, Virginia",40.0,50.0,24.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,American Indian
"Portsmouth city, Virginia",0.0,161.0,25.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"Portsmouth city, Virginia",50.0,66.0,26.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,Hispanic
"Portsmouth city, Virginia",0.0,161.0,27.0,05000US51740,51,740,D,Owner,Yes,50.1-80% AMI,Other
"Portsmouth city, Virginia",115.0,86.0,28.0,05000US51740,51,740,S,Owner,Yes,80.1-95% AMI,All
