name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Fairfax city, Virginia",8310.0,184.0,1.0,05000US51600,51,600,T,All,All,All
"Fairfax city, Virginia",6365.0,271.0,2.0,05000US51600,51,600,S,Owner,All,All
"Fairfax city, Virginia",960.0,177.0,3.0,05000US51600,51,600,S,Owner,"Small family, elderly",All
"Fairfax city, Virginia",780.0,165.0,4.0,05000US51600,51,600,D,Owner,"Small family, elderly",No cost burden
"Fairfax city, Virginia",130.0,86.0,5.0,05000US51600,51,600,D,Owner,"Small family, elderly",Moderate cost burden
"Fairfax city, Virginia",50.0,58.0,6.0,05000US51600,51,600,D,Owner,"Small family, elderly",Severe cost burden
"Fairfax city, Virginia",0.0,161.0,7.0,05000US51600,51,600,D,Owner,"Small family, elderly",N/A
"Fairfax city, Virginia",2835.0,304.0,8.0,05000US51600,51,600,S,Owner,"Small family, non-elderly",All
"Fairfax city, Virginia",2000.0,296.0,9.0,05000US51600,51,600,D,Owner,"Small family, non-elderly",No cost burden
"Fairfax city, Virginia",750.0,222.0,10.0,05000US51600,51,600,D,Owner,"Small family, non-elderly",Moderate cost burden
"Fairfax city, Virginia",80.0,60.0,11.0,05000US51600,51,600,D,Owner,"Small family, non-elderly",Severe cost burden
"Fairfax city, Virginia",10.0,20.0,12.0,05000US51600,51,600,D,Owner,"Small family, non-elderly",N/A
"Fairfax city, Virginia",480.0,153.0,13.0,05000US51600,51,600,S,Owner,Large family,All
"Fairfax city, Virginia",330.0,137.0,14.0,05000US51600,51,600,D,Owner,Large family,No cost burden
"Fairfax city, Virginia",135.0,67.0,15.0,05000US51600,51,600,D,Owner,Large family,Moderate cost burden
"Fairfax city, Virginia",15.0,31.0,16.0,05000US51600,51,600,D,Owner,Large family,Severe cost burden
"Fairfax city, Virginia",0.0,161.0,17.0,05000US51600,51,600,D,Owner,Large family,N/A
"Fairfax city, Virginia",780.0,214.0,18.0,05000US51600,51,600,S,Owner,"Non-family, elderly",All
"Fairfax city, Virginia",540.0,187.0,19.0,05000US51600,51,600,D,Owner,"Non-family, elderly",No cost burden
"Fairfax city, Virginia",140.0,101.0,20.0,05000US51600,51,600,D,Owner,"Non-family, elderly",Moderate cost burden
"Fairfax city, Virginia",100.0,71.0,21.0,05000US51600,51,600,D,Owner,"Non-family, elderly",Severe cost burden
"Fairfax city, Virginia",0.0,161.0,22.0,05000US51600,51,600,D,Owner,"Non-family, elderly",N/A
"Fairfax city, Virginia",1310.0,268.0,23.0,05000US51600,51,600,S,Owner,"Non-family, non-elderly",All
"Fairfax city, Virginia",735.0,192.0,24.0,05000US51600,51,600,D,Owner,"Non-family, non-elderly",No cost burden
"Fairfax city, Virginia",485.0,184.0,25.0,05000US51600,51,600,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Fairfax city, Virginia",80.0,66.0,26.0,05000US51600,51,600,D,Owner,"Non-family, non-elderly",Severe cost burden
"Fairfax city, Virginia",10.0,16.0,27.0,05000US51600,51,600,D,Owner,"Non-family, non-elderly",N/A
"Fairfax city, Virginia",1945.0,241.0,28.0,05000US51600,51,600,S,Renter,All,All
"Fairfax city, Virginia",45.0,55.0,29.0,05000US51600,51,600,S,Renter,"Small family, elderly",All
"Fairfax city, Virginia",0.0,161.0,30.0,05000US51600,51,600,D,Renter,"Small family, elderly",No cost burden
"Fairfax city, Virginia",20.0,40.0,31.0,05000US51600,51,600,D,Renter,"Small family, elderly",Moderate cost burden
"Fairfax city, Virginia",25.0,43.0,32.0,05000US51600,51,600,D,Renter,"Small family, elderly",Severe cost burden
"Fairfax city, Virginia",0.0,161.0,33.0,05000US51600,51,600,D,Renter,"Small family, elderly",N/A
"Fairfax city, Virginia",655.0,186.0,34.0,05000US51600,51,600,S,Renter,"Small family, non-elderly",All
"Fairfax city, Virginia",405.0,150.0,35.0,05000US51600,51,600,D,Renter,"Small family, non-elderly",No cost burden
"Fairfax city, Virginia",125.0,104.0,36.0,05000US51600,51,600,D,Renter,"Small family, non-elderly",Moderate cost burden
"Fairfax city, Virginia",110.0,92.0,37.0,05000US51600,51,600,D,Renter,"Small family, non-elderly",Severe cost burden
"Fairfax city, Virginia",10.0,23.0,38.0,05000US51600,51,600,D,Renter,"Small family, non-elderly",N/A
"Fairfax city, Virginia",170.0,122.0,39.0,05000US51600,51,600,S,Renter,Large family,All
"Fairfax city, Virginia",110.0,97.0,40.0,05000US51600,51,600,D,Renter,Large family,No cost burden
"Fairfax city, Virginia",60.0,75.0,41.0,05000US51600,51,600,D,Renter,Large family,Moderate cost burden
"Fairfax city, Virginia",0.0,161.0,42.0,05000US51600,51,600,D,Renter,Large family,Severe cost burden
"Fairfax city, Virginia",0.0,161.0,43.0,05000US51600,51,600,D,Renter,Large family,N/A
"Fairfax city, Virginia",200.0,149.0,44.0,05000US51600,51,600,S,Renter,"Non-family, elderly",All
"Fairfax city, Virginia",25.0,43.0,45.0,05000US51600,51,600,D,Renter,"Non-family, elderly",No cost burden
"Fairfax city, Virginia",110.0,88.0,46.0,05000US51600,51,600,D,Renter,"Non-family, elderly",Moderate cost burden
"Fairfax city, Virginia",65.0,90.0,47.0,05000US51600,51,600,D,Renter,"Non-family, elderly",Severe cost burden
"Fairfax city, Virginia",0.0,161.0,48.0,05000US51600,51,600,D,Renter,"Non-family, elderly",N/A
"Fairfax city, Virginia",875.0,213.0,49.0,05000US51600,51,600,S,Renter,"Non-family, non-elderly",All
"Fairfax city, Virginia",670.0,190.0,50.0,05000US51600,51,600,D,Renter,"Non-family, non-elderly",No cost burden
"Fairfax city, Virginia",25.0,42.0,51.0,05000US51600,51,600,D,Renter,"Non-family, non-elderly",Moderate cost burden
"Fairfax city, Virginia",170.0,84.0,52.0,05000US51600,51,600,D,Renter,"Non-family, non-elderly",Severe cost burden
"Fairfax city, Virginia",15.0,22.0,53.0,05000US51600,51,600,D,Renter,"Non-family, non-elderly",N/A
