name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Lynchburg city, Virginia",25905.0,614.0,1.0,05000US51680,51,680,T,All,All,All
"Lynchburg city, Virginia",15395.0,685.0,2.0,05000US51680,51,680,S,Owner,All,All
"Lynchburg city, Virginia",3160.0,302.0,3.0,05000US51680,51,680,S,Owner,"Small family, elderly",All
"Lynchburg city, Virginia",2835.0,279.0,4.0,05000US51680,51,680,D,Owner,"Small family, elderly",No cost burden
"Lynchburg city, Virginia",175.0,95.0,5.0,05000US51680,51,680,D,Owner,"Small family, elderly",Moderate cost burden
"Lynchburg city, Virginia",135.0,82.0,6.0,05000US51680,51,680,D,Owner,"Small family, elderly",Severe cost burden
"Lynchburg city, Virginia",15.0,27.0,7.0,05000US51680,51,680,D,Owner,"Small family, elderly",N/A
"Lynchburg city, Virginia",6520.0,543.0,8.0,05000US51680,51,680,S,Owner,"Small family, non-elderly",All
"Lynchburg city, Virginia",5310.0,516.0,9.0,05000US51680,51,680,D,Owner,"Small family, non-elderly",No cost burden
"Lynchburg city, Virginia",870.0,260.0,10.0,05000US51680,51,680,D,Owner,"Small family, non-elderly",Moderate cost burden
"Lynchburg city, Virginia",280.0,141.0,11.0,05000US51680,51,680,D,Owner,"Small family, non-elderly",Severe cost burden
"Lynchburg city, Virginia",50.0,65.0,12.0,05000US51680,51,680,D,Owner,"Small family, non-elderly",N/A
"Lynchburg city, Virginia",805.0,213.0,13.0,05000US51680,51,680,S,Owner,Large family,All
"Lynchburg city, Virginia",540.0,155.0,14.0,05000US51680,51,680,D,Owner,Large family,No cost burden
"Lynchburg city, Virginia",135.0,105.0,15.0,05000US51680,51,680,D,Owner,Large family,Moderate cost burden
"Lynchburg city, Virginia",125.0,90.0,16.0,05000US51680,51,680,D,Owner,Large family,Severe cost burden
"Lynchburg city, Virginia",0.0,161.0,17.0,05000US51680,51,680,D,Owner,Large family,N/A
"Lynchburg city, Virginia",2485.0,351.0,18.0,05000US51680,51,680,S,Owner,"Non-family, elderly",All
"Lynchburg city, Virginia",1750.0,308.0,19.0,05000US51680,51,680,D,Owner,"Non-family, elderly",No cost burden
"Lynchburg city, Virginia",445.0,181.0,20.0,05000US51680,51,680,D,Owner,"Non-family, elderly",Moderate cost burden
"Lynchburg city, Virginia",245.0,117.0,21.0,05000US51680,51,680,D,Owner,"Non-family, elderly",Severe cost burden
