name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Virginia Beach city, Virginia",161815.0,1317.0,1.0,05000US51810,51,810,T,All,All,All
"Virginia Beach city, Virginia",111055.0,1430.0,2.0,05000US51810,51,810,S,Owner,All,All
"Virginia Beach city, Virginia",14605.0,675.0,3.0,05000US51810,51,810,S,Owner,"Small family, elderly",All
"Virginia Beach city, Virginia",11535.0,656.0,4.0,05000US51810,51,810,D,Owner,"Small family, elderly",No cost burden
"Virginia Beach city, Virginia",2145.0,349.0,5.0,05000US51810,51,810,D,Owner,"Small family, elderly",Moderate cost burden
"Virginia Beach city, Virginia",925.0,233.0,6.0,05000US51810,51,810,D,Owner,"Small family, elderly",Severe cost burden
"Virginia Beach city, Virginia",0.0,161.0,7.0,05000US51810,51,810,D,Owner,"Small family, elderly",N/A
"Virginia Beach city, Virginia",59675.0,1582.0,8.0,05000US51810,51,810,S,Owner,"Small family, non-elderly",All
"Virginia Beach city, Virginia",42600.0,1542.0,9.0,05000US51810,51,810,D,Owner,"Small family, non-elderly",No cost burden
"Virginia Beach city, Virginia",12100.0,1026.0,10.0,05000US51810,51,810,D,Owner,"Small family, non-elderly",Moderate cost burden
"Virginia Beach city, Virginia",4770.0,621.0,11.0,05000US51810,51,810,D,Owner,"Small family, non-elderly",Severe cost burden
"Virginia Beach city, Virginia",205.0,155.0,12.0,05000US51810,51,810,D,Owner,"Small family, non-elderly",N/A
"Virginia Beach city, Virginia",9845.0,850.0,13.0,05000US51810,51,810,S,Owner,Large family,All
"Virginia Beach city, Virginia",6175.0,701.0,14.0,05000US51810,51,810,D,Owner,Large family,No cost burden
"Virginia Beach city, Virginia",2780.0,457.0,15.0,05000US51810,51,810,D,Owner,Large family,Moderate cost burden
"Virginia Beach city, Virginia",890.0,295.0,16.0,05000US51810,51,810,D,Owner,Large family,Severe cost burden
"Virginia Beach city, Virginia",0.0,161.0,17.0,05000US51810,51,810,D,Owner,Large family,N/A
"Virginia Beach city, Virginia",8510.0,768.0,18.0,05000US51810,51,810,S,Owner,"Non-family, elderly",All
"Virginia Beach city, Virginia",5145.0,509.0,19.0,05000US51810,51,810,D,Owner,"Non-family, elderly",No cost burden
"Virginia Beach city, Virginia",1620.0,332.0,20.0,05000US51810,51,810,D,Owner,"Non-family, elderly",Moderate cost burden
"Virginia Beach city, Virginia",1715.0,363.0,21.0,05000US51810,51,810,D,Owner,"Non-family, elderly",Severe cost burden
"Virginia Beach city, Virginia",30.0,38.0,22.0,05000US51810,51,810,D,Owner,"Non-family, elderly",N/A
"Virginia Beach city, Virginia",18420.0,1125.0,23.0,05000US51810,51,810,S,Owner,"Non-family, non-elderly",All
"Virginia Beach city, Virginia",11000.0,1104.0,24.0,05000US51810,51,810,D,Owner,"Non-family, non-elderly",No cost burden
"Virginia Beach city, Virginia",4380.0,567.0,25.0,05000US51810,51,810,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Virginia Beach city, Virginia",2830.0,509.0,26.0,05000US51810,51,810,D,Owner,"Non-family, non-elderly",Severe cost burden
"Virginia Beach city, Virginia",205.0,155.0,27.0,05000US51810,51,810,D,Owner,"Non-family, non-elderly",N/A
"Virginia Beach city, Virginia",50760.0,1583.0,28.0,05000US51810,51,810,S,Renter,All,All
"Virginia Beach city, Virginia",1655.0,320.0,29.0,05000US51810,51,810,S,Renter,"Small family, elderly",All
"Virginia Beach city, Virginia",820.0,233.0,30.0,05000US51810,51,810,D,Renter,"Small family, elderly",No cost burden
"Virginia Beach city, Virginia",440.0,178.0,31.0,05000US51810,51,810,D,Renter,"Small family, elderly",Moderate cost burden
"Virginia Beach city, Virginia",290.0,165.0,32.0,05000US51810,51,810,D,Renter,"Small family, elderly",Severe cost burden
"Virginia Beach city, Virginia",100.0,70.0,33.0,05000US51810,51,810,D,Renter,"Small family, elderly",N/A
"Virginia Beach city, Virginia",22445.0,1404.0,34.0,05000US51810,51,810,S,Renter,"Small family, non-elderly",All
"Virginia Beach city, Virginia",11955.0,1106.0,35.0,05000US51810,51,810,D,Renter,"Small family, non-elderly",No cost burden
"Virginia Beach city, Virginia",6060.0,743.0,36.0,05000US51810,51,810,D,Renter,"Small family, non-elderly",Moderate cost burden
"Virginia Beach city, Virginia",3495.0,577.0,37.0,05000US51810,51,810,D,Renter,"Small family, non-elderly",Severe cost burden
"Virginia Beach city, Virginia",935.0,258.0,38.0,05000US51810,51,810,D,Renter,"Small family, non-elderly",N/A
"Virginia Beach city, Virginia",4155.0,553.0,39.0,05000US51810,51,810,S,Renter,Large family,All
"Virginia Beach city, Virginia",2210.0,418.0,40.0,05000US51810,51,810,D,Renter,Large family,No cost burden
"Virginia Beach city, Virginia",1110.0,283.0,41.0,05000US51810,51,810,D,Renter,Large family,Moderate cost burden
"Virginia Beach city, Virginia",685.0,238.0,42.0,05000US51810,51,810,D,Renter,Large family,Severe cost burden
"Virginia Beach city, Virginia",155.0,127.0,43.0,05000US51810,51,810,D,Renter,Large family,N/A
"Virginia Beach city, Virginia",4470.0,495.0,44.0,05000US51810,51,810,S,Renter,"Non-family, elderly",All
"Virginia Beach city, Virginia",1245.0,327.0,45.0,05000US51810,51,810,D,Renter,"Non-family, elderly",No cost burden
"Virginia Beach city, Virginia",1260.0,290.0,46.0,05000US51810,51,810,D,Renter,"Non-family, elderly",Moderate cost burden
"Virginia Beach city, Virginia",1695.0,365.0,47.0,05000US51810,51,810,D,Renter,"Non-family, elderly",Severe cost burden
"Virginia Beach city, Virginia",270.0,145.0,48.0,05000US51810,51,810,D,Renter,"Non-family, elderly",N/A
"Virginia Beach city, Virginia",18035.0,1298.0,49.0,05000US51810,51,810,S,Renter,"Non-family, non-elderly",All
"Virginia Beach city, Virginia",9675.0,978.0,50.0,05000US51810,51,810,D,Renter,"Non-family, non-elderly",No cost burden
"Virginia Beach city, Virginia",4415.0,678.0,51.0,05000US51810,51,810,D,Renter,"Non-family, non-elderly",Moderate cost burden
"Virginia Beach city, Virginia",3395.0,563.0,52.0,05000US51810,51,810,D,Renter,"Non-family, non-elderly",Severe cost burden
"Virginia Beach city, Virginia",550.0,203.0,53.0,05000US51810,51,810,D,Renter,"Non-family, non-elderly",N/A
