"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Tenure","Household_Type","Cost_Burden"
"Accomack County, Virginia","14920.0","633.0","1.0","05000US51001","51","001","T","All","All","All"
"Accomack County, Virginia","11585.0","623.0","2.0","05000US51001","51","001","S","Owner","All","All"
"Accomack County, Virginia","2070.0","275.0","3.0","05000US51001","51","001","S","Owner","Small family, elderly","All"
"Accomack County, Virginia","1640.0","234.0","4.0","05000US51001","51","001","D","Owner","Small family, elderly","No cost burden"
"Accomack County, Virginia","265.0","122.0","5.0","05000US51001","51","001","D","Owner","Small family, elderly","Moderate cost burden"
"Accomack County, Virginia","165.0","137.0","6.0","05000US51001","51","001","D","Owner","Small family, elderly","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","7.0","05000US51001","51","001","D","Owner","Small family, elderly","N/A"
"Accomack County, Virginia","5350.0","573.0","8.0","05000US51001","51","001","S","Owner","Small family, non-elderly","All"
"Accomack County, Virginia","4475.0","626.0","9.0","05000US51001","51","001","D","Owner","Small family, non-elderly","No cost burden"
"Accomack County, Virginia","520.0","215.0","10.0","05000US51001","51","001","D","Owner","Small family, non-elderly","Moderate cost burden"
"Accomack County, Virginia","350.0","174.0","11.0","05000US51001","51","001","D","Owner","Small family, non-elderly","Severe cost burden"
"Accomack County, Virginia","4.0","161.0","12.0","05000US51001","51","001","D","Owner","Small family, non-elderly","N/A"
"Accomack County, Virginia","510.0","240.0","13.0","05000US51001","51","001","S","Owner","Large family","All"
"Accomack County, Virginia","450.0","218.0","14.0","05000US51001","51","001","D","Owner","Large family","No cost burden"
"Accomack County, Virginia","45.0","69.0","15.0","05000US51001","51","001","D","Owner","Large family","Moderate cost burden"
"Accomack County, Virginia","20.0","38.0","16.0","05000US51001","51","001","D","Owner","Large family","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","17.0","05000US51001","51","001","D","Owner","Large family","N/A"
"Accomack County, Virginia","2230.0","373.0","18.0","05000US51001","51","001","S","Owner","Non-family, elderly","All"
"Accomack County, Virginia","1165.0","295.0","19.0","05000US51001","51","001","D","Owner","Non-family, elderly","No cost burden"
"Accomack County, Virginia","450.0","151.0","20.0","05000US51001","51","001","D","Owner","Non-family, elderly","Moderate cost burden"
"Accomack County, Virginia","615.0","235.0","21.0","05000US51001","51","001","D","Owner","Non-family, elderly","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","22.0","05000US51001","51","001","D","Owner","Non-family, elderly","N/A"
"Accomack County, Virginia","1420.0","302.0","23.0","05000US51001","51","001","S","Owner","Non-family, non-elderly","All"
"Accomack County, Virginia","880.0","244.0","24.0","05000US51001","51","001","D","Owner","Non-family, non-elderly","No cost burden"
"Accomack County, Virginia","220.0","162.0","25.0","05000US51001","51","001","D","Owner","Non-family, non-elderly","Moderate cost burden"
"Accomack County, Virginia","325.0","161.0","26.0","05000US51001","51","001","D","Owner","Non-family, non-elderly","Severe cost burden"
"Accomack County, Virginia","0.0","161.0","27.0","05000US51001","51","001","D","Owner","Non-family, non-elderly","N/A"
"Accomack County, Virginia","3335.0","435.0","28.0","05000US51001","51","001","S","Renter","All","All"
"Accomack County, Virginia","310.0","179.0","29.0","05000US51001","51","001","S","Renter","Small family, elderly","All"
