name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Newport News city, Virginia",73275.0,721.0,1.0,05000US51700,51,700,T,All,All,All
"Newport News city, Virginia",38530.0,1070.0,2.0,05000US51700,51,700,S,Owner,All,All
"Newport News city, Virginia",5185.0,435.0,3.0,05000US51700,51,700,S,Owner,"Small family, elderly",All
"Newport News city, Virginia",4125.0,438.0,4.0,05000US51700,51,700,D,Owner,"Small family, elderly",No cost burden
"Newport News city, Virginia",550.0,163.0,5.0,05000US51700,51,700,D,Owner,"Small family, elderly",Moderate cost burden
"Newport News city, Virginia",485.0,200.0,6.0,05000US51700,51,700,D,Owner,"Small family, elderly",Severe cost burden
"Newport News city, Virginia",25.0,44.0,7.0,05000US51700,51,700,D,Owner,"Small family, elderly",N/A
"Newport News city, Virginia",19715.0,1125.0,8.0,05000US51700,51,700,S,Owner,"Small family, non-elderly",All
"Newport News city, Virginia",15400.0,1137.0,9.0,05000US51700,51,700,D,Owner,"Small family, non-elderly",No cost burden
"Newport News city, Virginia",3055.0,512.0,10.0,05000US51700,51,700,D,Owner,"Small family, non-elderly",Moderate cost burden
"Newport News city, Virginia",1210.0,325.0,11.0,05000US51700,51,700,D,Owner,"Small family, non-elderly",Severe cost burden
"Newport News city, Virginia",50.0,53.0,12.0,05000US51700,51,700,D,Owner,"Small family, non-elderly",N/A
"Newport News city, Virginia",3245.0,601.0,13.0,05000US51700,51,700,S,Owner,Large family,All
"Newport News city, Virginia",2380.0,490.0,14.0,05000US51700,51,700,D,Owner,Large family,No cost burden
"Newport News city, Virginia",685.0,291.0,15.0,05000US51700,51,700,D,Owner,Large family,Moderate cost burden
"Newport News city, Virginia",180.0,107.0,16.0,05000US51700,51,700,D,Owner,Large family,Severe cost burden
"Newport News city, Virginia",0.0,161.0,17.0,05000US51700,51,700,D,Owner,Large family,N/A
"Newport News city, Virginia",4355.0,502.0,18.0,05000US51700,51,700,S,Owner,"Non-family, elderly",All
"Newport News city, Virginia",2620.0,414.0,19.0,05000US51700,51,700,D,Owner,"Non-family, elderly",No cost burden
"Newport News city, Virginia",800.0,229.0,20.0,05000US51700,51,700,D,Owner,"Non-family, elderly",Moderate cost burden
"Newport News city, Virginia",860.0,260.0,21.0,05000US51700,51,700,D,Owner,"Non-family, elderly",Severe cost burden
"Newport News city, Virginia",80.0,75.0,22.0,05000US51700,51,700,D,Owner,"Non-family, elderly",N/A
"Newport News city, Virginia",6030.0,593.0,23.0,05000US51700,51,700,S,Owner,"Non-family, non-elderly",All
"Newport News city, Virginia",3590.0,483.0,24.0,05000US51700,51,700,D,Owner,"Non-family, non-elderly",No cost burden
"Newport News city, Virginia",1500.0,312.0,25.0,05000US51700,51,700,D,Owner,"Non-family, non-elderly",Moderate cost burden
"Newport News city, Virginia",870.0,329.0,26.0,05000US51700,51,700,D,Owner,"Non-family, non-elderly",Severe cost burden
"Newport News city, Virginia",70.0,59.0,27.0,05000US51700,51,700,D,Owner,"Non-family, non-elderly",N/A
"Newport News city, Virginia",34745.0,1133.0,28.0,05000US51700,51,700,S,Renter,All,All
"Newport News city, Virginia",895.0,243.0,29.0,05000US51700,51,700,S,Renter,"Small family, elderly",All
"Newport News city, Virginia",450.0,187.0,30.0,05000US51700,51,700,D,Renter,"Small family, elderly",No cost burden
"Newport News city, Virginia",250.0,117.0,31.0,05000US51700,51,700,D,Renter,"Small family, elderly",Moderate cost burden
"Newport News city, Virginia",85.0,94.0,32.0,05000US51700,51,700,D,Renter,"Small family, elderly",Severe cost burden
"Newport News city, Virginia",115.0,74.0,33.0,05000US51700,51,700,D,Renter,"Small family, elderly",N/A
"Newport News city, Virginia",17250.0,1334.0,34.0,05000US51700,51,700,S,Renter,"Small family, non-elderly",All
"Newport News city, Virginia",9530.0,1127.0,35.0,05000US51700,51,700,D,Renter,"Small family, non-elderly",No cost burden
"Newport News city, Virginia",3570.0,578.0,36.0,05000US51700,51,700,D,Renter,"Small family, non-elderly",Moderate cost burden
"Newport News city, Virginia",3635.0,650.0,37.0,05000US51700,51,700,D,Renter,"Small family, non-elderly",Severe cost burden
"Newport News city, Virginia",510.0,166.0,38.0,05000US51700,51,700,D,Renter,"Small family, non-elderly",N/A
"Newport News city, Virginia",1705.0,383.0,39.0,05000US51700,51,700,S,Renter,Large family,All
"Newport News city, Virginia",905.0,276.0,40.0,05000US51700,51,700,D,Renter,Large family,No cost burden
"Newport News city, Virginia",310.0,162.0,41.0,05000US51700,51,700,D,Renter,Large family,Moderate cost burden
"Newport News city, Virginia",405.0,221.0,42.0,05000US51700,51,700,D,Renter,Large family,Severe cost burden
"Newport News city, Virginia",85.0,70.0,43.0,05000US51700,51,700,D,Renter,Large family,N/A
"Newport News city, Virginia",3200.0,415.0,44.0,05000US51700,51,700,S,Renter,"Non-family, elderly",All
"Newport News city, Virginia",1005.0,188.0,45.0,05000US51700,51,700,D,Renter,"Non-family, elderly",No cost burden
"Newport News city, Virginia",935.0,289.0,46.0,05000US51700,51,700,D,Renter,"Non-family, elderly",Moderate cost burden
"Newport News city, Virginia",910.0,289.0,47.0,05000US51700,51,700,D,Renter,"Non-family, elderly",Severe cost burden
"Newport News city, Virginia",350.0,144.0,48.0,05000US51700,51,700,D,Renter,"Non-family, elderly",N/A
"Newport News city, Virginia",11690.0,990.0,49.0,05000US51700,51,700,S,Renter,"Non-family, non-elderly",All
"Newport News city, Virginia",5525.0,663.0,50.0,05000US51700,51,700,D,Renter,"Non-family, non-elderly",No cost burden
"Newport News city, Virginia",3435.0,608.0,51.0,05000US51700,51,700,D,Renter,"Non-family, non-elderly",Moderate cost burden
"Newport News city, Virginia",2165.0,478.0,52.0,05000US51700,51,700,D,Renter,"Non-family, non-elderly",Severe cost burden
"Newport News city, Virginia",565.0,232.0,53.0,05000US51700,51,700,D,Renter,"Non-family, non-elderly",N/A
