name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Type,Cost_Burden
"Suffolk city, Virginia",29860.0,431.0,1.0,05000US51800,51,800,T,All,All,All
"Suffolk city, Virginia",21285.0,618.0,2.0,05000US51800,51,800,S,Owner,All,All
"Suffolk city, Virginia",2750.0,336.0,3.0,05000US51800,51,800,S,Owner,"Small family, elderly",All
"Suffolk city, Virginia",2210.0,281.0,4.0,05000US51800,51,800,D,Owner,"Small family, elderly",No cost burden
"Suffolk city, Virginia",440.0,148.0,5.0,05000US51800,51,800,D,Owner,"Small family, elderly",Moderate cost burden
"Suffolk city, Virginia",100.0,75.0,6.0,05000US51800,51,800,D,Owner,"Small family, elderly",Severe cost burden
"Suffolk city, Virginia",0.0,161.0,7.0,05000US51800,51,800,D,Owner,"Small family, elderly",N/A
"Suffolk city, Virginia",11995.0,750.0,8.0,05000US51800,51,800,S,Owner,"Small family, non-elderly",All
"Suffolk city, Virginia",9155.0,717.0,9.0,05000US51800,51,800,D,Owner,"Small family, non-elderly",No cost burden
"Suffolk city, Virginia",2040.0,342.0,10.0,05000US51800,51,800,D,Owner,"Small family, non-elderly",Moderate cost burden
"Suffolk city, Virginia",745.0,217.0,11.0,05000US51800,51,800,D,Owner,"Small family, non-elderly",Severe cost burden
"Suffolk city, Virginia",55.0,66.0,12.0,05000US51800,51,800,D,Owner,"Small family, non-elderly",N/A
"Suffolk city, Virginia",2290.0,418.0,13.0,05000US51800,51,800,S,Owner,Large family,All
"Suffolk city, Virginia",1745.0,380.0,14.0,05000US51800,51,800,D,Owner,Large family,No cost burden
"Suffolk city, Virginia",425.0,170.0,15.0,05000US51800,51,800,D,Owner,Large family,Moderate cost burden
"Suffolk city, Virginia",120.0,75.0,16.0,05000US51800,51,800,D,Owner,Large family,Severe cost burden
"Suffolk city, Virginia",0.0,161.0,17.0,05000US51800,51,800,D,Owner,Large family,N/A
"Suffolk city, Virginia",1875.0,317.0,18.0,05000US51800,51,800,S,Owner,"Non-family, elderly",All
"Suffolk city, Virginia",1080.0,221.0,19.0,05000US51800,51,800,D,Owner,"Non-family, elderly",No cost burden
"Suffolk city, Virginia",450.0,159.0,20.0,05000US51800,51,800,D,Owner,"Non-family, elderly",Moderate cost burden
"Suffolk city, Virginia",350.0,132.0,21.0,05000US51800,51,800,D,Owner,"Non-family, elderly",Severe cost burden
