name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Louisa County, Virginia",12785.0,436.0,1.0,05000US51109,51,109,T,All,All,All
"Louisa County, Virginia",9875.0,551.0,2.0,05000US51109,51,109,S,Owner,All,All
"Louisa County, Virginia",1525.0,381.0,3.0,05000US51109,51,109,S,Owner,2000+,All
"Louisa County, Virginia",415.0,246.0,4.0,05000US51109,51,109,D,Owner,2000+,Yes
"Louisa County, Virginia",1110.0,298.0,5.0,05000US51109,51,109,D,Owner,2000+,No
"Louisa County, Virginia",4840.0,570.0,6.0,05000US51109,51,109,S,Owner,1980 to 1999,All
"Louisa County, Virginia",830.0,278.0,7.0,05000US51109,51,109,D,Owner,1980 to 1999,Yes
"Louisa County, Virginia",4010.0,498.0,8.0,05000US51109,51,109,D,Owner,1980 to 1999,No
"Louisa County, Virginia",1785.0,398.0,9.0,05000US51109,51,109,S,Owner,1960 to 1979,All
"Louisa County, Virginia",170.0,97.0,10.0,05000US51109,51,109,D,Owner,1960 to 1979,Yes
"Louisa County, Virginia",1615.0,399.0,11.0,05000US51109,51,109,D,Owner,1960 to 1979,No
"Louisa County, Virginia",585.0,184.0,12.0,05000US51109,51,109,S,Owner,1940 to 1959,All
"Louisa County, Virginia",100.0,99.0,13.0,05000US51109,51,109,D,Owner,1940 to 1959,Yes
"Louisa County, Virginia",485.0,186.0,14.0,05000US51109,51,109,D,Owner,1940 to 1959,No
"Louisa County, Virginia",1145.0,349.0,15.0,05000US51109,51,109,S,Owner,1939-,All
"Louisa County, Virginia",350.0,216.0,16.0,05000US51109,51,109,D,Owner,1939-,Yes
"Louisa County, Virginia",790.0,236.0,17.0,05000US51109,51,109,D,Owner,1939-,No
"Louisa County, Virginia",2910.0,465.0,18.0,05000US51109,51,109,S,Renter,All,All
"Louisa County, Virginia",150.0,96.0,19.0,05000US51109,51,109,S,Renter,2000+,All
"Louisa County, Virginia",20.0,37.0,20.0,05000US51109,51,109,D,Renter,2000+,Yes
"Louisa County, Virginia",125.0,90.0,21.0,05000US51109,51,109,D,Renter,2000+,No
"Louisa County, Virginia",940.0,291.0,22.0,05000US51109,51,109,S,Renter,1980 to 1999,All
"Louisa County, Virginia",365.0,215.0,23.0,05000US51109,51,109,D,Renter,1980 to 1999,Yes
"Louisa County, Virginia",575.0,238.0,24.0,05000US51109,51,109,D,Renter,1980 to 1999,No
"Louisa County, Virginia",920.0,321.0,25.0,05000US51109,51,109,S,Renter,1960 to 1979,All
"Louisa County, Virginia",240.0,172.0,26.0,05000US51109,51,109,D,Renter,1960 to 1979,Yes
"Louisa County, Virginia",680.0,284.0,27.0,05000US51109,51,109,D,Renter,1960 to 1979,No
"Louisa County, Virginia",40.0,44.0,28.0,05000US51109,51,109,S,Renter,1940 to 1959,All
"Louisa County, Virginia",4.0,11.0,29.0,05000US51109,51,109,D,Renter,1940 to 1959,Yes
"Louisa County, Virginia",30.0,43.0,30.0,05000US51109,51,109,D,Renter,1940 to 1959,No
"Louisa County, Virginia",865.0,323.0,31.0,05000US51109,51,109,S,Renter,1939-,All
"Louisa County, Virginia",25.0,42.0,32.0,05000US51109,51,109,D,Renter,1939-,Yes
"Louisa County, Virginia",840.0,317.0,33.0,05000US51109,51,109,D,Renter,1939-,No
