name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Tazewell County, Virginia",17755.0,507.0,1.0,05000US51185,51,185,T,All,All,All
"Tazewell County, Virginia",13110.0,549.0,2.0,05000US51185,51,185,S,Owner,All,All
"Tazewell County, Virginia",635.0,214.0,3.0,05000US51185,51,185,S,Owner,2000+,All
"Tazewell County, Virginia",115.0,92.0,4.0,05000US51185,51,185,D,Owner,2000+,Yes
"Tazewell County, Virginia",520.0,202.0,5.0,05000US51185,51,185,D,Owner,2000+,No
"Tazewell County, Virginia",4025.0,491.0,6.0,05000US51185,51,185,S,Owner,1980 to 1999,All
"Tazewell County, Virginia",895.0,295.0,7.0,05000US51185,51,185,D,Owner,1980 to 1999,Yes
"Tazewell County, Virginia",3135.0,434.0,8.0,05000US51185,51,185,D,Owner,1980 to 1999,No
"Tazewell County, Virginia",4105.0,449.0,9.0,05000US51185,51,185,S,Owner,1960 to 1979,All
"Tazewell County, Virginia",560.0,230.0,10.0,05000US51185,51,185,D,Owner,1960 to 1979,Yes
"Tazewell County, Virginia",3545.0,412.0,11.0,05000US51185,51,185,D,Owner,1960 to 1979,No
"Tazewell County, Virginia",2615.0,379.0,12.0,05000US51185,51,185,S,Owner,1940 to 1959,All
"Tazewell County, Virginia",160.0,113.0,13.0,05000US51185,51,185,D,Owner,1940 to 1959,Yes
"Tazewell County, Virginia",2460.0,389.0,14.0,05000US51185,51,185,D,Owner,1940 to 1959,No
"Tazewell County, Virginia",1725.0,290.0,15.0,05000US51185,51,185,S,Owner,1939-,All
"Tazewell County, Virginia",115.0,88.0,16.0,05000US51185,51,185,D,Owner,1939-,Yes
"Tazewell County, Virginia",1610.0,276.0,17.0,05000US51185,51,185,D,Owner,1939-,No
"Tazewell County, Virginia",4645.0,547.0,18.0,05000US51185,51,185,S,Renter,All,All
"Tazewell County, Virginia",260.0,188.0,19.0,05000US51185,51,185,S,Renter,2000+,All
"Tazewell County, Virginia",50.0,79.0,20.0,05000US51185,51,185,D,Renter,2000+,Yes
"Tazewell County, Virginia",210.0,171.0,21.0,05000US51185,51,185,D,Renter,2000+,No
"Tazewell County, Virginia",1480.0,439.0,22.0,05000US51185,51,185,S,Renter,1980 to 1999,All
"Tazewell County, Virginia",150.0,108.0,23.0,05000US51185,51,185,D,Renter,1980 to 1999,Yes
"Tazewell County, Virginia",1330.0,404.0,24.0,05000US51185,51,185,D,Renter,1980 to 1999,No
"Tazewell County, Virginia",1430.0,378.0,25.0,05000US51185,51,185,S,Renter,1960 to 1979,All
"Tazewell County, Virginia",115.0,137.0,26.0,05000US51185,51,185,D,Renter,1960 to 1979,Yes
"Tazewell County, Virginia",1315.0,339.0,27.0,05000US51185,51,185,D,Renter,1960 to 1979,No
"Tazewell County, Virginia",970.0,275.0,28.0,05000US51185,51,185,S,Renter,1940 to 1959,All
"Tazewell County, Virginia",295.0,146.0,29.0,05000US51185,51,185,D,Renter,1940 to 1959,Yes
"Tazewell County, Virginia",670.0,236.0,30.0,05000US51185,51,185,D,Renter,1940 to 1959,No
"Tazewell County, Virginia",510.0,212.0,31.0,05000US51185,51,185,S,Renter,1939-,All
"Tazewell County, Virginia",200.0,173.0,32.0,05000US51185,51,185,D,Renter,1939-,Yes
"Tazewell County, Virginia",310.0,145.0,33.0,05000US51185,51,185,D,Renter,1939-,No
