name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Roanoke city, Virginia",41820.0,717.0,1.0,05000US51770,51,770,T,All,All,All
"Roanoke city, Virginia",24765.0,983.0,2.0,05000US51770,51,770,S,Owner,All,All
"Roanoke city, Virginia",1190.0,243.0,3.0,05000US51770,51,770,S,Owner,2000+,All
"Roanoke city, Virginia",205.0,115.0,4.0,05000US51770,51,770,D,Owner,2000+,Yes
"Roanoke city, Virginia",985.0,218.0,5.0,05000US51770,51,770,D,Owner,2000+,No
"Roanoke city, Virginia",2150.0,397.0,6.0,05000US51770,51,770,S,Owner,1980 to 1999,All
"Roanoke city, Virginia",225.0,124.0,7.0,05000US51770,51,770,D,Owner,1980 to 1999,Yes
"Roanoke city, Virginia",1925.0,379.0,8.0,05000US51770,51,770,D,Owner,1980 to 1999,No
"Roanoke city, Virginia",5745.0,720.0,9.0,05000US51770,51,770,S,Owner,1960 to 1979,All
"Roanoke city, Virginia",640.0,233.0,10.0,05000US51770,51,770,D,Owner,1960 to 1979,Yes
"Roanoke city, Virginia",5105.0,677.0,11.0,05000US51770,51,770,D,Owner,1960 to 1979,No
"Roanoke city, Virginia",9435.0,704.0,12.0,05000US51770,51,770,S,Owner,1940 to 1959,All
"Roanoke city, Virginia",1025.0,296.0,13.0,05000US51770,51,770,D,Owner,1940 to 1959,Yes
"Roanoke city, Virginia",8410.0,649.0,14.0,05000US51770,51,770,D,Owner,1940 to 1959,No
"Roanoke city, Virginia",6245.0,538.0,15.0,05000US51770,51,770,S,Owner,1939-,All
"Roanoke city, Virginia",860.0,272.0,16.0,05000US51770,51,770,D,Owner,1939-,Yes
"Roanoke city, Virginia",5385.0,543.0,17.0,05000US51770,51,770,D,Owner,1939-,No
"Roanoke city, Virginia",17055.0,960.0,18.0,05000US51770,51,770,S,Renter,All,All
"Roanoke city, Virginia",700.0,261.0,19.0,05000US51770,51,770,S,Renter,2000+,All
"Roanoke city, Virginia",90.0,113.0,20.0,05000US51770,51,770,D,Renter,2000+,Yes
"Roanoke city, Virginia",610.0,238.0,21.0,05000US51770,51,770,D,Renter,2000+,No
"Roanoke city, Virginia",3785.0,577.0,22.0,05000US51770,51,770,S,Renter,1980 to 1999,All
"Roanoke city, Virginia",615.0,249.0,23.0,05000US51770,51,770,D,Renter,1980 to 1999,Yes
"Roanoke city, Virginia",3170.0,574.0,24.0,05000US51770,51,770,D,Renter,1980 to 1999,No
"Roanoke city, Virginia",5540.0,661.0,25.0,05000US51770,51,770,S,Renter,1960 to 1979,All
"Roanoke city, Virginia",865.0,328.0,26.0,05000US51770,51,770,D,Renter,1960 to 1979,Yes
"Roanoke city, Virginia",4675.0,639.0,27.0,05000US51770,51,770,D,Renter,1960 to 1979,No
"Roanoke city, Virginia",3650.0,624.0,28.0,05000US51770,51,770,S,Renter,1940 to 1959,All
"Roanoke city, Virginia",665.0,275.0,29.0,05000US51770,51,770,D,Renter,1940 to 1959,Yes
"Roanoke city, Virginia",2990.0,521.0,30.0,05000US51770,51,770,D,Renter,1940 to 1959,No
"Roanoke city, Virginia",3385.0,554.0,31.0,05000US51770,51,770,S,Renter,1939-,All
"Roanoke city, Virginia",495.0,275.0,32.0,05000US51770,51,770,D,Renter,1939-,Yes
"Roanoke city, Virginia",2885.0,510.0,33.0,05000US51770,51,770,D,Renter,1939-,No
