name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Manassas city, Virginia",11705.0,435.0,1.0,05000US51683,51,683,T,All,All,All
"Manassas city, Virginia",8160.0,518.0,2.0,05000US51683,51,683,S,Owner,All,All
"Manassas city, Virginia",700.0,158.0,3.0,05000US51683,51,683,S,Owner,2000+,All
"Manassas city, Virginia",165.0,104.0,4.0,05000US51683,51,683,D,Owner,2000+,Yes
"Manassas city, Virginia",535.0,170.0,5.0,05000US51683,51,683,D,Owner,2000+,No
"Manassas city, Virginia",4385.0,442.0,6.0,05000US51683,51,683,S,Owner,1980 to 1999,All
"Manassas city, Virginia",1065.0,264.0,7.0,05000US51683,51,683,D,Owner,1980 to 1999,Yes
"Manassas city, Virginia",3320.0,393.0,8.0,05000US51683,51,683,D,Owner,1980 to 1999,No
"Manassas city, Virginia",2195.0,369.0,9.0,05000US51683,51,683,S,Owner,1960 to 1979,All
"Manassas city, Virginia",420.0,203.0,10.0,05000US51683,51,683,D,Owner,1960 to 1979,Yes
"Manassas city, Virginia",1780.0,337.0,11.0,05000US51683,51,683,D,Owner,1960 to 1979,No
"Manassas city, Virginia",600.0,241.0,12.0,05000US51683,51,683,S,Owner,1940 to 1959,All
"Manassas city, Virginia",85.0,116.0,13.0,05000US51683,51,683,D,Owner,1940 to 1959,Yes
"Manassas city, Virginia",515.0,212.0,14.0,05000US51683,51,683,D,Owner,1940 to 1959,No
"Manassas city, Virginia",280.0,172.0,15.0,05000US51683,51,683,S,Owner,1939-,All
"Manassas city, Virginia",85.0,135.0,16.0,05000US51683,51,683,D,Owner,1939-,Yes
"Manassas city, Virginia",195.0,112.0,17.0,05000US51683,51,683,D,Owner,1939-,No
"Manassas city, Virginia",3540.0,487.0,18.0,05000US51683,51,683,S,Renter,All,All
"Manassas city, Virginia",410.0,205.0,19.0,05000US51683,51,683,S,Renter,2000+,All
"Manassas city, Virginia",100.0,99.0,20.0,05000US51683,51,683,D,Renter,2000+,Yes
"Manassas city, Virginia",310.0,174.0,21.0,05000US51683,51,683,D,Renter,2000+,No
"Manassas city, Virginia",1575.0,389.0,22.0,05000US51683,51,683,S,Renter,1980 to 1999,All
"Manassas city, Virginia",695.0,286.0,23.0,05000US51683,51,683,D,Renter,1980 to 1999,Yes
"Manassas city, Virginia",880.0,265.0,24.0,05000US51683,51,683,D,Renter,1980 to 1999,No
"Manassas city, Virginia",1205.0,325.0,25.0,05000US51683,51,683,S,Renter,1960 to 1979,All
"Manassas city, Virginia",270.0,166.0,26.0,05000US51683,51,683,D,Renter,1960 to 1979,Yes
"Manassas city, Virginia",935.0,303.0,27.0,05000US51683,51,683,D,Renter,1960 to 1979,No
"Manassas city, Virginia",260.0,181.0,28.0,05000US51683,51,683,S,Renter,1940 to 1959,All
"Manassas city, Virginia",40.0,55.0,29.0,05000US51683,51,683,D,Renter,1940 to 1959,Yes
"Manassas city, Virginia",225.0,171.0,30.0,05000US51683,51,683,D,Renter,1940 to 1959,No
"Manassas city, Virginia",90.0,92.0,31.0,05000US51683,51,683,S,Renter,1939-,All
"Manassas city, Virginia",0.0,161.0,32.0,05000US51683,51,683,D,Renter,1939-,Yes
"Manassas city, Virginia",90.0,92.0,33.0,05000US51683,51,683,D,Renter,1939-,No
