name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Smyth County, Virginia",13355.0,418.0,1.0,05000US51173,51,173,T,All,All,All
"Smyth County, Virginia",9870.0,489.0,2.0,05000US51173,51,173,S,Owner,All,All
"Smyth County, Virginia",740.0,249.0,3.0,05000US51173,51,173,S,Owner,2000+,All
"Smyth County, Virginia",260.0,154.0,4.0,05000US51173,51,173,D,Owner,2000+,Yes
"Smyth County, Virginia",485.0,183.0,5.0,05000US51173,51,173,D,Owner,2000+,No
"Smyth County, Virginia",2670.0,422.0,6.0,05000US51173,51,173,S,Owner,1980 to 1999,All
"Smyth County, Virginia",435.0,238.0,7.0,05000US51173,51,173,D,Owner,1980 to 1999,Yes
"Smyth County, Virginia",2235.0,352.0,8.0,05000US51173,51,173,D,Owner,1980 to 1999,No
"Smyth County, Virginia",3370.0,356.0,9.0,05000US51173,51,173,S,Owner,1960 to 1979,All
"Smyth County, Virginia",100.0,85.0,10.0,05000US51173,51,173,D,Owner,1960 to 1979,Yes
"Smyth County, Virginia",3270.0,349.0,11.0,05000US51173,51,173,D,Owner,1960 to 1979,No
"Smyth County, Virginia",2100.0,359.0,12.0,05000US51173,51,173,S,Owner,1940 to 1959,All
"Smyth County, Virginia",270.0,137.0,13.0,05000US51173,51,173,D,Owner,1940 to 1959,Yes
"Smyth County, Virginia",1825.0,321.0,14.0,05000US51173,51,173,D,Owner,1940 to 1959,No
"Smyth County, Virginia",990.0,214.0,15.0,05000US51173,51,173,S,Owner,1939-,All
"Smyth County, Virginia",95.0,69.0,16.0,05000US51173,51,173,D,Owner,1939-,Yes
"Smyth County, Virginia",895.0,201.0,17.0,05000US51173,51,173,D,Owner,1939-,No
"Smyth County, Virginia",3485.0,454.0,18.0,05000US51173,51,173,S,Renter,All,All
"Smyth County, Virginia",30.0,37.0,19.0,05000US51173,51,173,S,Renter,2000+,All
"Smyth County, Virginia",0.0,161.0,20.0,05000US51173,51,173,D,Renter,2000+,Yes
"Smyth County, Virginia",30.0,37.0,21.0,05000US51173,51,173,D,Renter,2000+,No
"Smyth County, Virginia",945.0,290.0,22.0,05000US51173,51,173,S,Renter,1980 to 1999,All
"Smyth County, Virginia",270.0,175.0,23.0,05000US51173,51,173,D,Renter,1980 to 1999,Yes
"Smyth County, Virginia",675.0,237.0,24.0,05000US51173,51,173,D,Renter,1980 to 1999,No
"Smyth County, Virginia",1600.0,379.0,25.0,05000US51173,51,173,S,Renter,1960 to 1979,All
"Smyth County, Virginia",295.0,224.0,26.0,05000US51173,51,173,D,Renter,1960 to 1979,Yes
"Smyth County, Virginia",1305.0,329.0,27.0,05000US51173,51,173,D,Renter,1960 to 1979,No
"Smyth County, Virginia",605.0,206.0,28.0,05000US51173,51,173,S,Renter,1940 to 1959,All
"Smyth County, Virginia",50.0,53.0,29.0,05000US51173,51,173,D,Renter,1940 to 1959,Yes
"Smyth County, Virginia",555.0,191.0,30.0,05000US51173,51,173,D,Renter,1940 to 1959,No
"Smyth County, Virginia",300.0,183.0,31.0,05000US51173,51,173,S,Renter,1939-,All
"Smyth County, Virginia",10.0,13.0,32.0,05000US51173,51,173,D,Renter,1939-,Yes
"Smyth County, Virginia",290.0,182.0,33.0,05000US51173,51,173,D,Renter,1939-,No
