name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Mecklenburg County, Virginia",12755.0,602.0,1.0,05000US51117,51,117,T,All,All,All
"Mecklenburg County, Virginia",9295.0,534.0,2.0,05000US51117,51,117,S,Owner,All,All
"Mecklenburg County, Virginia",815.0,262.0,3.0,05000US51117,51,117,S,Owner,2000+,All
"Mecklenburg County, Virginia",65.0,72.0,4.0,05000US51117,51,117,D,Owner,2000+,Yes
"Mecklenburg County, Virginia",750.0,246.0,5.0,05000US51117,51,117,D,Owner,2000+,No
"Mecklenburg County, Virginia",3210.0,398.0,6.0,05000US51117,51,117,S,Owner,1980 to 1999,All
"Mecklenburg County, Virginia",515.0,187.0,7.0,05000US51117,51,117,D,Owner,1980 to 1999,Yes
"Mecklenburg County, Virginia",2695.0,353.0,8.0,05000US51117,51,117,D,Owner,1980 to 1999,No
"Mecklenburg County, Virginia",2880.0,398.0,9.0,05000US51117,51,117,S,Owner,1960 to 1979,All
"Mecklenburg County, Virginia",200.0,118.0,10.0,05000US51117,51,117,D,Owner,1960 to 1979,Yes
"Mecklenburg County, Virginia",2685.0,378.0,11.0,05000US51117,51,117,D,Owner,1960 to 1979,No
"Mecklenburg County, Virginia",1455.0,276.0,12.0,05000US51117,51,117,S,Owner,1940 to 1959,All
"Mecklenburg County, Virginia",100.0,73.0,13.0,05000US51117,51,117,D,Owner,1940 to 1959,Yes
"Mecklenburg County, Virginia",1355.0,263.0,14.0,05000US51117,51,117,D,Owner,1940 to 1959,No
"Mecklenburg County, Virginia",935.0,234.0,15.0,05000US51117,51,117,S,Owner,1939-,All
"Mecklenburg County, Virginia",155.0,148.0,16.0,05000US51117,51,117,D,Owner,1939-,Yes
"Mecklenburg County, Virginia",780.0,180.0,17.0,05000US51117,51,117,D,Owner,1939-,No
"Mecklenburg County, Virginia",3460.0,488.0,18.0,05000US51117,51,117,S,Renter,All,All
"Mecklenburg County, Virginia",415.0,207.0,19.0,05000US51117,51,117,S,Renter,2000+,All
"Mecklenburg County, Virginia",210.0,176.0,20.0,05000US51117,51,117,D,Renter,2000+,Yes
"Mecklenburg County, Virginia",205.0,135.0,21.0,05000US51117,51,117,D,Renter,2000+,No
"Mecklenburg County, Virginia",965.0,259.0,22.0,05000US51117,51,117,S,Renter,1980 to 1999,All
"Mecklenburg County, Virginia",300.0,194.0,23.0,05000US51117,51,117,D,Renter,1980 to 1999,Yes
"Mecklenburg County, Virginia",665.0,209.0,24.0,05000US51117,51,117,D,Renter,1980 to 1999,No
"Mecklenburg County, Virginia",865.0,251.0,25.0,05000US51117,51,117,S,Renter,1960 to 1979,All
"Mecklenburg County, Virginia",190.0,121.0,26.0,05000US51117,51,117,D,Renter,1960 to 1979,Yes
"Mecklenburg County, Virginia",675.0,222.0,27.0,05000US51117,51,117,D,Renter,1960 to 1979,No
"Mecklenburg County, Virginia",700.0,226.0,28.0,05000US51117,51,117,S,Renter,1940 to 1959,All
"Mecklenburg County, Virginia",220.0,151.0,29.0,05000US51117,51,117,D,Renter,1940 to 1959,Yes
"Mecklenburg County, Virginia",480.0,162.0,30.0,05000US51117,51,117,D,Renter,1940 to 1959,No
"Mecklenburg County, Virginia",520.0,200.0,31.0,05000US51117,51,117,S,Renter,1939-,All
"Mecklenburg County, Virginia",105.0,80.0,32.0,05000US51117,51,117,D,Renter,1939-,Yes
"Mecklenburg County, Virginia",415.0,190.0,33.0,05000US51117,51,117,D,Renter,1939-,No
