name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Young_Children
"Campbell County, Virginia",21800.0,371.0,1.0,05000US51031,51,031,T,All,All,All
"Campbell County, Virginia",16340.0,650.0,2.0,05000US51031,51,031,S,Owner,All,All
"Campbell County, Virginia",1005.0,310.0,3.0,05000US51031,51,031,S,Owner,2000+,All
"Campbell County, Virginia",285.0,167.0,4.0,05000US51031,51,031,D,Owner,2000+,Yes
"Campbell County, Virginia",725.0,269.0,5.0,05000US51031,51,031,D,Owner,2000+,No
"Campbell County, Virginia",6675.0,586.0,6.0,05000US51031,51,031,S,Owner,1980 to 1999,All
"Campbell County, Virginia",1030.0,292.0,7.0,05000US51031,51,031,D,Owner,1980 to 1999,Yes
"Campbell County, Virginia",5640.0,590.0,8.0,05000US51031,51,031,D,Owner,1980 to 1999,No
"Campbell County, Virginia",6220.0,543.0,9.0,05000US51031,51,031,S,Owner,1960 to 1979,All
"Campbell County, Virginia",335.0,135.0,10.0,05000US51031,51,031,D,Owner,1960 to 1979,Yes
"Campbell County, Virginia",5885.0,519.0,11.0,05000US51031,51,031,D,Owner,1960 to 1979,No
"Campbell County, Virginia",1730.0,322.0,12.0,05000US51031,51,031,S,Owner,1940 to 1959,All
"Campbell County, Virginia",90.0,86.0,13.0,05000US51031,51,031,D,Owner,1940 to 1959,Yes
"Campbell County, Virginia",1645.0,318.0,14.0,05000US51031,51,031,D,Owner,1940 to 1959,No
"Campbell County, Virginia",710.0,166.0,15.0,05000US51031,51,031,S,Owner,1939-,All
"Campbell County, Virginia",40.0,44.0,16.0,05000US51031,51,031,D,Owner,1939-,Yes
"Campbell County, Virginia",670.0,161.0,17.0,05000US51031,51,031,D,Owner,1939-,No
"Campbell County, Virginia",5465.0,585.0,18.0,05000US51031,51,031,S,Renter,All,All
"Campbell County, Virginia",215.0,178.0,19.0,05000US51031,51,031,S,Renter,2000+,All
"Campbell County, Virginia",65.0,74.0,20.0,05000US51031,51,031,D,Renter,2000+,Yes
"Campbell County, Virginia",150.0,154.0,21.0,05000US51031,51,031,D,Renter,2000+,No
"Campbell County, Virginia",2065.0,499.0,22.0,05000US51031,51,031,S,Renter,1980 to 1999,All
"Campbell County, Virginia",675.0,336.0,23.0,05000US51031,51,031,D,Renter,1980 to 1999,Yes
"Campbell County, Virginia",1390.0,359.0,24.0,05000US51031,51,031,D,Renter,1980 to 1999,No
"Campbell County, Virginia",2285.0,515.0,25.0,05000US51031,51,031,S,Renter,1960 to 1979,All
"Campbell County, Virginia",175.0,109.0,26.0,05000US51031,51,031,D,Renter,1960 to 1979,Yes
"Campbell County, Virginia",2110.0,499.0,27.0,05000US51031,51,031,D,Renter,1960 to 1979,No
"Campbell County, Virginia",520.0,233.0,28.0,05000US51031,51,031,S,Renter,1940 to 1959,All
"Campbell County, Virginia",0.0,161.0,29.0,05000US51031,51,031,D,Renter,1940 to 1959,Yes
"Campbell County, Virginia",520.0,233.0,30.0,05000US51031,51,031,D,Renter,1940 to 1959,No
"Campbell County, Virginia",385.0,194.0,31.0,05000US51031,51,031,S,Renter,1939-,All
"Campbell County, Virginia",65.0,82.0,32.0,05000US51031,51,031,D,Renter,1939-,Yes
"Campbell County, Virginia",315.0,171.0,33.0,05000US51031,51,031,D,Renter,1939-,No
