name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Salem city, Virginia",9680.0,383.0,1.0,05000US51775,51,775,T,All,All,All,All
"Salem city, Virginia",6740.0,358.0,2.0,05000US51775,51,775,S,Owner,All,All,All
"Salem city, Virginia",1295.0,248.0,3.0,05000US51775,51,775,S,Owner,Yes,All,All
"Salem city, Virginia",335.0,139.0,4.0,05000US51775,51,775,S,Owner,Yes,30% AMI or less,All
"Salem city, Virginia",70.0,59.0,5.0,05000US51775,51,775,D,Owner,Yes,30% AMI or less,Disabled
"Salem city, Virginia",265.0,123.0,6.0,05000US51775,51,775,D,Owner,Yes,30% AMI or less,Not disabled
"Salem city, Virginia",100.0,72.0,7.0,05000US51775,51,775,S,Owner,Yes,30.1-50% AMI,All
"Salem city, Virginia",20.0,37.0,8.0,05000US51775,51,775,D,Owner,Yes,30.1-50% AMI,Disabled
"Salem city, Virginia",80.0,66.0,9.0,05000US51775,51,775,D,Owner,Yes,30.1-50% AMI,Not disabled
"Salem city, Virginia",505.0,182.0,10.0,05000US51775,51,775,S,Owner,Yes,50.1-80% AMI,All
"Salem city, Virginia",40.0,50.0,11.0,05000US51775,51,775,D,Owner,Yes,50.1-80% AMI,Disabled
"Salem city, Virginia",465.0,178.0,12.0,05000US51775,51,775,D,Owner,Yes,50.1-80% AMI,Not disabled
"Salem city, Virginia",355.0,186.0,13.0,05000US51775,51,775,S,Owner,Yes,80.1% AMI and above,All
"Salem city, Virginia",115.0,141.0,14.0,05000US51775,51,775,D,Owner,Yes,80.1% AMI and above,Disabled
"Salem city, Virginia",235.0,124.0,15.0,05000US51775,51,775,D,Owner,Yes,80.1% AMI and above,Not disabled
"Salem city, Virginia",5380.0,401.0,16.0,05000US51775,51,775,S,Owner,No,All,All
"Salem city, Virginia",80.0,73.0,17.0,05000US51775,51,775,S,Owner,No,30% AMI or less,All
"Salem city, Virginia",20.0,39.0,18.0,05000US51775,51,775,D,Owner,No,30% AMI or less,Disabled
"Salem city, Virginia",60.0,61.0,19.0,05000US51775,51,775,D,Owner,No,30% AMI or less,Not disabled
"Salem city, Virginia",135.0,98.0,20.0,05000US51775,51,775,S,Owner,No,30.1-50% AMI,All
"Salem city, Virginia",65.0,67.0,21.0,05000US51775,51,775,D,Owner,No,30.1-50% AMI,Disabled
"Salem city, Virginia",70.0,65.0,22.0,05000US51775,51,775,D,Owner,No,30.1-50% AMI,Not disabled
"Salem city, Virginia",435.0,198.0,23.0,05000US51775,51,775,S,Owner,No,50.1-80% AMI,All
"Salem city, Virginia",45.0,53.0,24.0,05000US51775,51,775,D,Owner,No,50.1-80% AMI,Disabled
"Salem city, Virginia",395.0,183.0,25.0,05000US51775,51,775,D,Owner,No,50.1-80% AMI,Not disabled
"Salem city, Virginia",4725.0,387.0,26.0,05000US51775,51,775,S,Owner,No,80.1% AMI and above,All
"Salem city, Virginia",125.0,109.0,27.0,05000US51775,51,775,D,Owner,No,80.1% AMI and above,Disabled
"Salem city, Virginia",4600.0,384.0,28.0,05000US51775,51,775,D,Owner,No,80.1% AMI and above,Not disabled
"Salem city, Virginia",65.0,101.0,29.0,05000US51775,51,775,S,Owner,N/A,All,All
"Salem city, Virginia",65.0,101.0,30.0,05000US51775,51,775,S,Owner,N/A,30% AMI or less,All
"Salem city, Virginia",0.0,161.0,31.0,05000US51775,51,775,D,Owner,N/A,30% AMI or less,Disabled
"Salem city, Virginia",65.0,101.0,32.0,05000US51775,51,775,D,Owner,N/A,30% AMI or less,Not disabled
"Salem city, Virginia",0.0,161.0,33.0,05000US51775,51,775,S,Owner,N/A,30.1-50% AMI,All
"Salem city, Virginia",0.0,161.0,34.0,05000US51775,51,775,D,Owner,N/A,30.1-50% AMI,Disabled
"Salem city, Virginia",0.0,161.0,35.0,05000US51775,51,775,D,Owner,N/A,30.1-50% AMI,Not disabled
"Salem city, Virginia",0.0,161.0,36.0,05000US51775,51,775,S,Owner,N/A,50.1-80% AMI,All
"Salem city, Virginia",0.0,161.0,37.0,05000US51775,51,775,D,Owner,N/A,50.1-80% AMI,Disabled
"Salem city, Virginia",0.0,161.0,38.0,05000US51775,51,775,D,Owner,N/A,50.1-80% AMI,Not disabled
"Salem city, Virginia",0.0,161.0,39.0,05000US51775,51,775,S,Owner,N/A,80.1% AMI and above,All
"Salem city, Virginia",0.0,161.0,40.0,05000US51775,51,775,D,Owner,N/A,80.1% AMI and above,Disabled
"Salem city, Virginia",0.0,161.0,41.0,05000US51775,51,775,D,Owner,N/A,80.1% AMI and above,Not disabled
"Salem city, Virginia",2940.0,389.0,42.0,05000US51775,51,775,S,Renter,All,All,All
"Salem city, Virginia",1150.0,285.0,43.0,05000US51775,51,775,S,Renter,Yes,All,All
"Salem city, Virginia",365.0,183.0,44.0,05000US51775,51,775,S,Renter,Yes,30% AMI or less,All
"Salem city, Virginia",45.0,53.0,45.0,05000US51775,51,775,D,Renter,Yes,30% AMI or less,Disabled
"Salem city, Virginia",320.0,175.0,46.0,05000US51775,51,775,D,Renter,Yes,30% AMI or less,Not disabled
"Salem city, Virginia",380.0,202.0,47.0,05000US51775,51,775,S,Renter,Yes,30.1-50% AMI,All
"Salem city, Virginia",20.0,37.0,48.0,05000US51775,51,775,D,Renter,Yes,30.1-50% AMI,Disabled
"Salem city, Virginia",360.0,197.0,49.0,05000US51775,51,775,D,Renter,Yes,30.1-50% AMI,Not disabled
"Salem city, Virginia",400.0,198.0,50.0,05000US51775,51,775,S,Renter,Yes,50.1-80% AMI,All
"Salem city, Virginia",115.0,118.0,51.0,05000US51775,51,775,D,Renter,Yes,50.1-80% AMI,Disabled
"Salem city, Virginia",285.0,168.0,52.0,05000US51775,51,775,D,Renter,Yes,50.1-80% AMI,Not disabled
"Salem city, Virginia",0.0,161.0,53.0,05000US51775,51,775,S,Renter,Yes,80.1% AMI and above,All
"Salem city, Virginia",0.0,161.0,54.0,05000US51775,51,775,D,Renter,Yes,80.1% AMI and above,Disabled
"Salem city, Virginia",0.0,161.0,55.0,05000US51775,51,775,D,Renter,Yes,80.1% AMI and above,Not disabled
"Salem city, Virginia",1575.0,301.0,56.0,05000US51775,51,775,S,Renter,No,All,All
"Salem city, Virginia",0.0,161.0,57.0,05000US51775,51,775,S,Renter,No,30% AMI or less,All
"Salem city, Virginia",0.0,161.0,58.0,05000US51775,51,775,D,Renter,No,30% AMI or less,Disabled
"Salem city, Virginia",0.0,161.0,59.0,05000US51775,51,775,D,Renter,No,30% AMI or less,Not disabled
"Salem city, Virginia",200.0,174.0,60.0,05000US51775,51,775,S,Renter,No,30.1-50% AMI,All
"Salem city, Virginia",0.0,161.0,61.0,05000US51775,51,775,D,Renter,No,30.1-50% AMI,Disabled
"Salem city, Virginia",200.0,174.0,62.0,05000US51775,51,775,D,Renter,No,30.1-50% AMI,Not disabled
"Salem city, Virginia",510.0,161.0,63.0,05000US51775,51,775,S,Renter,No,50.1-80% AMI,All
"Salem city, Virginia",55.0,63.0,64.0,05000US51775,51,775,D,Renter,No,50.1-80% AMI,Disabled
"Salem city, Virginia",455.0,156.0,65.0,05000US51775,51,775,D,Renter,No,50.1-80% AMI,Not disabled
"Salem city, Virginia",865.0,233.0,66.0,05000US51775,51,775,S,Renter,No,80.1% AMI and above,All
"Salem city, Virginia",15.0,26.0,67.0,05000US51775,51,775,D,Renter,No,80.1% AMI and above,Disabled
"Salem city, Virginia",850.0,233.0,68.0,05000US51775,51,775,D,Renter,No,80.1% AMI and above,Not disabled
"Salem city, Virginia",215.0,151.0,69.0,05000US51775,51,775,S,Renter,N/A,All,All
"Salem city, Virginia",95.0,117.0,70.0,05000US51775,51,775,S,Renter,N/A,30% AMI or less,All
"Salem city, Virginia",0.0,161.0,71.0,05000US51775,51,775,D,Renter,N/A,30% AMI or less,Disabled
"Salem city, Virginia",95.0,117.0,72.0,05000US51775,51,775,D,Renter,N/A,30% AMI or less,Not disabled
"Salem city, Virginia",50.0,63.0,73.0,05000US51775,51,775,S,Renter,N/A,30.1-50% AMI,All
"Salem city, Virginia",25.0,41.0,74.0,05000US51775,51,775,D,Renter,N/A,30.1-50% AMI,Disabled
"Salem city, Virginia",30.0,48.0,75.0,05000US51775,51,775,D,Renter,N/A,30.1-50% AMI,Not disabled
"Salem city, Virginia",0.0,161.0,76.0,05000US51775,51,775,S,Renter,N/A,50.1-80% AMI,All
"Salem city, Virginia",0.0,161.0,77.0,05000US51775,51,775,D,Renter,N/A,50.1-80% AMI,Disabled
"Salem city, Virginia",0.0,161.0,78.0,05000US51775,51,775,D,Renter,N/A,50.1-80% AMI,Not disabled
"Salem city, Virginia",65.0,62.0,79.0,05000US51775,51,775,S,Renter,N/A,80.1% AMI and above,All
"Salem city, Virginia",0.0,161.0,80.0,05000US51775,51,775,D,Renter,N/A,80.1% AMI and above,Disabled
"Salem city, Virginia",65.0,62.0,81.0,05000US51775,51,775,D,Renter,N/A,80.1% AMI and above,Not disabled
