name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Norfolk city, Virginia",85130.0,861.0,1.0,05000US51710,51,710,T,All,All,All,All
"Norfolk city, Virginia",40005.0,1037.0,2.0,05000US51710,51,710,S,Owner,All,All,All
"Norfolk city, Virginia",13810.0,1036.0,3.0,05000US51710,51,710,S,Owner,Yes,All,All
"Norfolk city, Virginia",2500.0,409.0,4.0,05000US51710,51,710,S,Owner,Yes,30% AMI or less,All
"Norfolk city, Virginia",595.0,186.0,5.0,05000US51710,51,710,D,Owner,Yes,30% AMI or less,Disabled
"Norfolk city, Virginia",1905.0,383.0,6.0,05000US51710,51,710,D,Owner,Yes,30% AMI or less,Not disabled
"Norfolk city, Virginia",2525.0,394.0,7.0,05000US51710,51,710,S,Owner,Yes,30.1-50% AMI,All
"Norfolk city, Virginia",365.0,120.0,8.0,05000US51710,51,710,D,Owner,Yes,30.1-50% AMI,Disabled
"Norfolk city, Virginia",2160.0,408.0,9.0,05000US51710,51,710,D,Owner,Yes,30.1-50% AMI,Not disabled
"Norfolk city, Virginia",3880.0,528.0,10.0,05000US51710,51,710,S,Owner,Yes,50.1-80% AMI,All
"Norfolk city, Virginia",335.0,187.0,11.0,05000US51710,51,710,D,Owner,Yes,50.1-80% AMI,Disabled
"Norfolk city, Virginia",3545.0,503.0,12.0,05000US51710,51,710,D,Owner,Yes,50.1-80% AMI,Not disabled
"Norfolk city, Virginia",4905.0,638.0,13.0,05000US51710,51,710,S,Owner,Yes,80.1% AMI and above,All
"Norfolk city, Virginia",420.0,345.0,14.0,05000US51710,51,710,D,Owner,Yes,80.1% AMI and above,Disabled
"Norfolk city, Virginia",4485.0,557.0,15.0,05000US51710,51,710,D,Owner,Yes,80.1% AMI and above,Not disabled
"Norfolk city, Virginia",25975.0,949.0,16.0,05000US51710,51,710,S,Owner,No,All,All
"Norfolk city, Virginia",330.0,140.0,17.0,05000US51710,51,710,S,Owner,No,30% AMI or less,All
"Norfolk city, Virginia",165.0,91.0,18.0,05000US51710,51,710,D,Owner,No,30% AMI or less,Disabled
"Norfolk city, Virginia",165.0,107.0,19.0,05000US51710,51,710,D,Owner,No,30% AMI or less,Not disabled
"Norfolk city, Virginia",750.0,172.0,20.0,05000US51710,51,710,S,Owner,No,30.1-50% AMI,All
"Norfolk city, Virginia",145.0,84.0,21.0,05000US51710,51,710,D,Owner,No,30.1-50% AMI,Disabled
"Norfolk city, Virginia",605.0,164.0,22.0,05000US51710,51,710,D,Owner,No,30.1-50% AMI,Not disabled
"Norfolk city, Virginia",3285.0,406.0,23.0,05000US51710,51,710,S,Owner,No,50.1-80% AMI,All
"Norfolk city, Virginia",675.0,214.0,24.0,05000US51710,51,710,D,Owner,No,50.1-80% AMI,Disabled
"Norfolk city, Virginia",2610.0,325.0,25.0,05000US51710,51,710,D,Owner,No,50.1-80% AMI,Not disabled
"Norfolk city, Virginia",21605.0,986.0,26.0,05000US51710,51,710,S,Owner,No,80.1% AMI and above,All
"Norfolk city, Virginia",1860.0,350.0,27.0,05000US51710,51,710,D,Owner,No,80.1% AMI and above,Disabled
"Norfolk city, Virginia",19750.0,944.0,28.0,05000US51710,51,710,D,Owner,No,80.1% AMI and above,Not disabled
"Norfolk city, Virginia",220.0,140.0,29.0,05000US51710,51,710,S,Owner,N/A,All,All
"Norfolk city, Virginia",220.0,140.0,30.0,05000US51710,51,710,S,Owner,N/A,30% AMI or less,All
"Norfolk city, Virginia",20.0,34.0,31.0,05000US51710,51,710,D,Owner,N/A,30% AMI or less,Disabled
"Norfolk city, Virginia",200.0,135.0,32.0,05000US51710,51,710,D,Owner,N/A,30% AMI or less,Not disabled
"Norfolk city, Virginia",0.0,161.0,33.0,05000US51710,51,710,S,Owner,N/A,30.1-50% AMI,All
"Norfolk city, Virginia",0.0,161.0,34.0,05000US51710,51,710,D,Owner,N/A,30.1-50% AMI,Disabled
"Norfolk city, Virginia",0.0,161.0,35.0,05000US51710,51,710,D,Owner,N/A,30.1-50% AMI,Not disabled
"Norfolk city, Virginia",0.0,161.0,36.0,05000US51710,51,710,S,Owner,N/A,50.1-80% AMI,All
"Norfolk city, Virginia",0.0,161.0,37.0,05000US51710,51,710,D,Owner,N/A,50.1-80% AMI,Disabled
