name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Staunton city, Virginia",9710.0,381.0,1.0,05000US51790,51,790,T,All,All,All,All
"Staunton city, Virginia",5780.0,380.0,2.0,05000US51790,51,790,S,Owner,All,All,All
"Staunton city, Virginia",1115.0,310.0,3.0,05000US51790,51,790,S,Owner,Yes,All,All
"Staunton city, Virginia",370.0,186.0,4.0,05000US51790,51,790,S,Owner,Yes,30% AMI or less,All
"Staunton city, Virginia",30.0,30.0,5.0,05000US51790,51,790,D,Owner,Yes,30% AMI or less,Disabled
"Staunton city, Virginia",340.0,187.0,6.0,05000US51790,51,790,D,Owner,Yes,30% AMI or less,Not disabled
"Staunton city, Virginia",200.0,102.0,7.0,05000US51790,51,790,S,Owner,Yes,30.1-50% AMI,All
"Staunton city, Virginia",30.0,34.0,8.0,05000US51790,51,790,D,Owner,Yes,30.1-50% AMI,Disabled
"Staunton city, Virginia",170.0,96.0,9.0,05000US51790,51,790,D,Owner,Yes,30.1-50% AMI,Not disabled
"Staunton city, Virginia",220.0,125.0,10.0,05000US51790,51,790,S,Owner,Yes,50.1-80% AMI,All
"Staunton city, Virginia",35.0,63.0,11.0,05000US51790,51,790,D,Owner,Yes,50.1-80% AMI,Disabled
"Staunton city, Virginia",180.0,102.0,12.0,05000US51790,51,790,D,Owner,Yes,50.1-80% AMI,Not disabled
"Staunton city, Virginia",325.0,171.0,13.0,05000US51790,51,790,S,Owner,Yes,80.1% AMI and above,All
"Staunton city, Virginia",30.0,40.0,14.0,05000US51790,51,790,D,Owner,Yes,80.1% AMI and above,Disabled
"Staunton city, Virginia",295.0,166.0,15.0,05000US51790,51,790,D,Owner,Yes,80.1% AMI and above,Not disabled
"Staunton city, Virginia",4625.0,386.0,16.0,05000US51790,51,790,S,Owner,No,All,All
"Staunton city, Virginia",75.0,76.0,17.0,05000US51790,51,790,S,Owner,No,30% AMI or less,All
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Owner,No,30% AMI or less,Disabled
"Staunton city, Virginia",75.0,76.0,19.0,05000US51790,51,790,D,Owner,No,30% AMI or less,Not disabled
"Staunton city, Virginia",275.0,131.0,20.0,05000US51790,51,790,S,Owner,No,30.1-50% AMI,All
"Staunton city, Virginia",60.0,59.0,21.0,05000US51790,51,790,D,Owner,No,30.1-50% AMI,Disabled
"Staunton city, Virginia",215.0,123.0,22.0,05000US51790,51,790,D,Owner,No,30.1-50% AMI,Not disabled
"Staunton city, Virginia",605.0,196.0,23.0,05000US51790,51,790,S,Owner,No,50.1-80% AMI,All
"Staunton city, Virginia",60.0,54.0,24.0,05000US51790,51,790,D,Owner,No,50.1-80% AMI,Disabled
"Staunton city, Virginia",545.0,196.0,25.0,05000US51790,51,790,D,Owner,No,50.1-80% AMI,Not disabled
"Staunton city, Virginia",3670.0,366.0,26.0,05000US51790,51,790,S,Owner,No,80.1% AMI and above,All
"Staunton city, Virginia",160.0,95.0,27.0,05000US51790,51,790,D,Owner,No,80.1% AMI and above,Disabled
"Staunton city, Virginia",3510.0,371.0,28.0,05000US51790,51,790,D,Owner,No,80.1% AMI and above,Not disabled
"Staunton city, Virginia",40.0,51.0,29.0,05000US51790,51,790,S,Owner,N/A,All,All
"Staunton city, Virginia",40.0,51.0,30.0,05000US51790,51,790,S,Owner,N/A,30% AMI or less,All
"Staunton city, Virginia",0.0,161.0,31.0,05000US51790,51,790,D,Owner,N/A,30% AMI or less,Disabled
