name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Winchester city, Virginia",10025.0,385.0,1.0,05000US51840,51,840,T,All,All,All,All
"Winchester city, Virginia",5095.0,416.0,2.0,05000US51840,51,840,S,Owner,All,All,All
"Winchester city, Virginia",1150.0,274.0,3.0,05000US51840,51,840,S,Owner,Yes,All,All
"Winchester city, Virginia",335.0,154.0,4.0,05000US51840,51,840,S,Owner,Yes,30% AMI or less,All
"Winchester city, Virginia",0.0,161.0,5.0,05000US51840,51,840,D,Owner,Yes,30% AMI or less,Disabled
"Winchester city, Virginia",335.0,154.0,6.0,05000US51840,51,840,D,Owner,Yes,30% AMI or less,Not disabled
"Winchester city, Virginia",190.0,126.0,7.0,05000US51840,51,840,S,Owner,Yes,30.1-50% AMI,All
"Winchester city, Virginia",100.0,97.0,8.0,05000US51840,51,840,D,Owner,Yes,30.1-50% AMI,Disabled
"Winchester city, Virginia",85.0,86.0,9.0,05000US51840,51,840,D,Owner,Yes,30.1-50% AMI,Not disabled
"Winchester city, Virginia",155.0,109.0,10.0,05000US51840,51,840,S,Owner,Yes,50.1-80% AMI,All
"Winchester city, Virginia",0.0,161.0,11.0,05000US51840,51,840,D,Owner,Yes,50.1-80% AMI,Disabled
"Winchester city, Virginia",155.0,109.0,12.0,05000US51840,51,840,D,Owner,Yes,50.1-80% AMI,Not disabled
"Winchester city, Virginia",470.0,164.0,13.0,05000US51840,51,840,S,Owner,Yes,80.1% AMI and above,All
"Winchester city, Virginia",0.0,161.0,14.0,05000US51840,51,840,D,Owner,Yes,80.1% AMI and above,Disabled
"Winchester city, Virginia",470.0,164.0,15.0,05000US51840,51,840,D,Owner,Yes,80.1% AMI and above,Not disabled
"Winchester city, Virginia",3925.0,394.0,16.0,05000US51840,51,840,S,Owner,No,All,All
"Winchester city, Virginia",0.0,161.0,17.0,05000US51840,51,840,S,Owner,No,30% AMI or less,All
"Winchester city, Virginia",0.0,161.0,18.0,05000US51840,51,840,D,Owner,No,30% AMI or less,Disabled
"Winchester city, Virginia",0.0,161.0,19.0,05000US51840,51,840,D,Owner,No,30% AMI or less,Not disabled
"Winchester city, Virginia",155.0,102.0,20.0,05000US51840,51,840,S,Owner,No,30.1-50% AMI,All
"Winchester city, Virginia",45.0,55.0,21.0,05000US51840,51,840,D,Owner,No,30.1-50% AMI,Disabled
"Winchester city, Virginia",110.0,89.0,22.0,05000US51840,51,840,D,Owner,No,30.1-50% AMI,Not disabled
"Winchester city, Virginia",725.0,233.0,23.0,05000US51840,51,840,S,Owner,No,50.1-80% AMI,All
"Winchester city, Virginia",125.0,105.0,24.0,05000US51840,51,840,D,Owner,No,50.1-80% AMI,Disabled
"Winchester city, Virginia",595.0,218.0,25.0,05000US51840,51,840,D,Owner,No,50.1-80% AMI,Not disabled
"Winchester city, Virginia",3045.0,377.0,26.0,05000US51840,51,840,S,Owner,No,80.1% AMI and above,All
"Winchester city, Virginia",425.0,157.0,27.0,05000US51840,51,840,D,Owner,No,80.1% AMI and above,Disabled
"Winchester city, Virginia",2620.0,355.0,28.0,05000US51840,51,840,D,Owner,No,80.1% AMI and above,Not disabled
"Winchester city, Virginia",15.0,32.0,29.0,05000US51840,51,840,S,Owner,N/A,All,All
"Winchester city, Virginia",15.0,32.0,30.0,05000US51840,51,840,S,Owner,N/A,30% AMI or less,All
"Winchester city, Virginia",0.0,161.0,31.0,05000US51840,51,840,D,Owner,N/A,30% AMI or less,Disabled
"Winchester city, Virginia",15.0,32.0,32.0,05000US51840,51,840,D,Owner,N/A,30% AMI or less,Not disabled
"Winchester city, Virginia",0.0,161.0,33.0,05000US51840,51,840,S,Owner,N/A,30.1-50% AMI,All
"Winchester city, Virginia",0.0,161.0,34.0,05000US51840,51,840,D,Owner,N/A,30.1-50% AMI,Disabled
"Winchester city, Virginia",0.0,161.0,35.0,05000US51840,51,840,D,Owner,N/A,30.1-50% AMI,Not disabled
"Winchester city, Virginia",0.0,161.0,36.0,05000US51840,51,840,S,Owner,N/A,50.1-80% AMI,All
"Winchester city, Virginia",0.0,161.0,37.0,05000US51840,51,840,D,Owner,N/A,50.1-80% AMI,Disabled
"Winchester city, Virginia",0.0,161.0,38.0,05000US51840,51,840,D,Owner,N/A,50.1-80% AMI,Not disabled
"Winchester city, Virginia",0.0,161.0,39.0,05000US51840,51,840,S,Owner,N/A,80.1% AMI and above,All
"Winchester city, Virginia",0.0,161.0,40.0,05000US51840,51,840,D,Owner,N/A,80.1% AMI and above,Disabled
"Winchester city, Virginia",0.0,161.0,41.0,05000US51840,51,840,D,Owner,N/A,80.1% AMI and above,Not disabled
"Winchester city, Virginia",4935.0,459.0,42.0,05000US51840,51,840,S,Renter,All,All,All
"Winchester city, Virginia",2165.0,403.0,43.0,05000US51840,51,840,S,Renter,Yes,All,All
"Winchester city, Virginia",700.0,227.0,44.0,05000US51840,51,840,S,Renter,Yes,30% AMI or less,All
"Winchester city, Virginia",35.0,57.0,45.0,05000US51840,51,840,D,Renter,Yes,30% AMI or less,Disabled
"Winchester city, Virginia",665.0,237.0,46.0,05000US51840,51,840,D,Renter,Yes,30% AMI or less,Not disabled
"Winchester city, Virginia",595.0,269.0,47.0,05000US51840,51,840,S,Renter,Yes,30.1-50% AMI,All
"Winchester city, Virginia",170.0,172.0,48.0,05000US51840,51,840,D,Renter,Yes,30.1-50% AMI,Disabled
"Winchester city, Virginia",425.0,182.0,49.0,05000US51840,51,840,D,Renter,Yes,30.1-50% AMI,Not disabled
"Winchester city, Virginia",775.0,266.0,50.0,05000US51840,51,840,S,Renter,Yes,50.1-80% AMI,All
"Winchester city, Virginia",0.0,161.0,51.0,05000US51840,51,840,D,Renter,Yes,50.1-80% AMI,Disabled
"Winchester city, Virginia",775.0,266.0,52.0,05000US51840,51,840,D,Renter,Yes,50.1-80% AMI,Not disabled
"Winchester city, Virginia",95.0,93.0,53.0,05000US51840,51,840,S,Renter,Yes,80.1% AMI and above,All
"Winchester city, Virginia",0.0,161.0,54.0,05000US51840,51,840,D,Renter,Yes,80.1% AMI and above,Disabled
"Winchester city, Virginia",95.0,93.0,55.0,05000US51840,51,840,D,Renter,Yes,80.1% AMI and above,Not disabled
"Winchester city, Virginia",2435.0,408.0,56.0,05000US51840,51,840,S,Renter,No,All,All
"Winchester city, Virginia",70.0,78.0,57.0,05000US51840,51,840,S,Renter,No,30% AMI or less,All
"Winchester city, Virginia",30.0,48.0,58.0,05000US51840,51,840,D,Renter,No,30% AMI or less,Disabled
"Winchester city, Virginia",40.0,65.0,59.0,05000US51840,51,840,D,Renter,No,30% AMI or less,Not disabled
