name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Virginia Beach city, Virginia",161815.0,1317.0,1.0,05000US51810,51,810,T,All,All,All,All
"Virginia Beach city, Virginia",111055.0,1430.0,2.0,05000US51810,51,810,S,Owner,All,All,All
"Virginia Beach city, Virginia",34550.0,1618.0,3.0,05000US51810,51,810,S,Owner,Yes,All,All
"Virginia Beach city, Virginia",3240.0,468.0,4.0,05000US51810,51,810,S,Owner,Yes,30% AMI or less,All
"Virginia Beach city, Virginia",450.0,189.0,5.0,05000US51810,51,810,D,Owner,Yes,30% AMI or less,Disabled
"Virginia Beach city, Virginia",2790.0,446.0,6.0,05000US51810,51,810,D,Owner,Yes,30% AMI or less,Not disabled
"Virginia Beach city, Virginia",3620.0,539.0,7.0,05000US51810,51,810,S,Owner,Yes,30.1-50% AMI,All
"Virginia Beach city, Virginia",445.0,152.0,8.0,05000US51810,51,810,D,Owner,Yes,30.1-50% AMI,Disabled
"Virginia Beach city, Virginia",3180.0,506.0,9.0,05000US51810,51,810,D,Owner,Yes,30.1-50% AMI,Not disabled
"Virginia Beach city, Virginia",8565.0,926.0,10.0,05000US51810,51,810,S,Owner,Yes,50.1-80% AMI,All
"Virginia Beach city, Virginia",670.0,212.0,11.0,05000US51810,51,810,D,Owner,Yes,50.1-80% AMI,Disabled
"Virginia Beach city, Virginia",7895.0,910.0,12.0,05000US51810,51,810,D,Owner,Yes,50.1-80% AMI,Not disabled
"Virginia Beach city, Virginia",19125.0,1258.0,13.0,05000US51810,51,810,S,Owner,Yes,80.1% AMI and above,All
"Virginia Beach city, Virginia",990.0,267.0,14.0,05000US51810,51,810,D,Owner,Yes,80.1% AMI and above,Disabled
"Virginia Beach city, Virginia",18135.0,1237.0,15.0,05000US51810,51,810,D,Owner,Yes,80.1% AMI and above,Not disabled
"Virginia Beach city, Virginia",76065.0,1798.0,16.0,05000US51810,51,810,S,Owner,No,All,All
"Virginia Beach city, Virginia",290.0,111.0,17.0,05000US51810,51,810,S,Owner,No,30% AMI or less,All
"Virginia Beach city, Virginia",65.0,55.0,18.0,05000US51810,51,810,D,Owner,No,30% AMI or less,Disabled
"Virginia Beach city, Virginia",225.0,98.0,19.0,05000US51810,51,810,D,Owner,No,30% AMI or less,Not disabled
"Virginia Beach city, Virginia",1475.0,323.0,20.0,05000US51810,51,810,S,Owner,No,30.1-50% AMI,All
"Virginia Beach city, Virginia",225.0,108.0,21.0,05000US51810,51,810,D,Owner,No,30.1-50% AMI,Disabled
"Virginia Beach city, Virginia",1250.0,309.0,22.0,05000US51810,51,810,D,Owner,No,30.1-50% AMI,Not disabled
"Virginia Beach city, Virginia",5220.0,596.0,23.0,05000US51810,51,810,S,Owner,No,50.1-80% AMI,All
"Virginia Beach city, Virginia",705.0,198.0,24.0,05000US51810,51,810,D,Owner,No,50.1-80% AMI,Disabled
"Virginia Beach city, Virginia",4515.0,552.0,25.0,05000US51810,51,810,D,Owner,No,50.1-80% AMI,Not disabled
"Virginia Beach city, Virginia",69075.0,1797.0,26.0,05000US51810,51,810,S,Owner,No,80.1% AMI and above,All
"Virginia Beach city, Virginia",4535.0,521.0,27.0,05000US51810,51,810,D,Owner,No,80.1% AMI and above,Disabled
"Virginia Beach city, Virginia",64540.0,1701.0,28.0,05000US51810,51,810,D,Owner,No,80.1% AMI and above,Not disabled
"Virginia Beach city, Virginia",440.0,221.0,29.0,05000US51810,51,810,S,Owner,N/A,All,All
"Virginia Beach city, Virginia",440.0,221.0,30.0,05000US51810,51,810,S,Owner,N/A,30% AMI or less,All
"Virginia Beach city, Virginia",25.0,43.0,31.0,05000US51810,51,810,D,Owner,N/A,30% AMI or less,Disabled
"Virginia Beach city, Virginia",415.0,216.0,32.0,05000US51810,51,810,D,Owner,N/A,30% AMI or less,Not disabled
"Virginia Beach city, Virginia",0.0,161.0,33.0,05000US51810,51,810,S,Owner,N/A,30.1-50% AMI,All
