name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Disability_Status
"Suffolk city, Virginia",29860.0,431.0,1.0,05000US51800,51,800,T,All,All,All,All
"Suffolk city, Virginia",21285.0,618.0,2.0,05000US51800,51,800,S,Owner,All,All,All
"Suffolk city, Virginia",5670.0,559.0,3.0,05000US51800,51,800,S,Owner,Yes,All,All
"Suffolk city, Virginia",730.0,196.0,4.0,05000US51800,51,800,S,Owner,Yes,30% AMI or less,All
"Suffolk city, Virginia",200.0,115.0,5.0,05000US51800,51,800,D,Owner,Yes,30% AMI or less,Disabled
"Suffolk city, Virginia",530.0,183.0,6.0,05000US51800,51,800,D,Owner,Yes,30% AMI or less,Not disabled
"Suffolk city, Virginia",765.0,214.0,7.0,05000US51800,51,800,S,Owner,Yes,30.1-50% AMI,All
"Suffolk city, Virginia",135.0,96.0,8.0,05000US51800,51,800,D,Owner,Yes,30.1-50% AMI,Disabled
"Suffolk city, Virginia",630.0,212.0,9.0,05000US51800,51,800,D,Owner,Yes,30.1-50% AMI,Not disabled
"Suffolk city, Virginia",1175.0,260.0,10.0,05000US51800,51,800,S,Owner,Yes,50.1-80% AMI,All
"Suffolk city, Virginia",65.0,56.0,11.0,05000US51800,51,800,D,Owner,Yes,50.1-80% AMI,Disabled
"Suffolk city, Virginia",1110.0,259.0,12.0,05000US51800,51,800,D,Owner,Yes,50.1-80% AMI,Not disabled
"Suffolk city, Virginia",3000.0,447.0,13.0,05000US51800,51,800,S,Owner,Yes,80.1% AMI and above,All
"Suffolk city, Virginia",210.0,106.0,14.0,05000US51800,51,800,D,Owner,Yes,80.1% AMI and above,Disabled
"Suffolk city, Virginia",2790.0,439.0,15.0,05000US51800,51,800,D,Owner,Yes,80.1% AMI and above,Not disabled
"Suffolk city, Virginia",15550.0,646.0,16.0,05000US51800,51,800,S,Owner,No,All,All
"Suffolk city, Virginia",170.0,95.0,17.0,05000US51800,51,800,S,Owner,No,30% AMI or less,All
"Suffolk city, Virginia",30.0,45.0,18.0,05000US51800,51,800,D,Owner,No,30% AMI or less,Disabled
"Suffolk city, Virginia",145.0,85.0,19.0,05000US51800,51,800,D,Owner,No,30% AMI or less,Not disabled
"Suffolk city, Virginia",750.0,188.0,20.0,05000US51800,51,800,S,Owner,No,30.1-50% AMI,All
"Suffolk city, Virginia",265.0,99.0,21.0,05000US51800,51,800,D,Owner,No,30.1-50% AMI,Disabled
"Suffolk city, Virginia",485.0,179.0,22.0,05000US51800,51,800,D,Owner,No,30.1-50% AMI,Not disabled
"Suffolk city, Virginia",1215.0,267.0,23.0,05000US51800,51,800,S,Owner,No,50.1-80% AMI,All
"Suffolk city, Virginia",245.0,107.0,24.0,05000US51800,51,800,D,Owner,No,50.1-80% AMI,Disabled
"Suffolk city, Virginia",970.0,254.0,25.0,05000US51800,51,800,D,Owner,No,50.1-80% AMI,Not disabled
"Suffolk city, Virginia",13415.0,732.0,26.0,05000US51800,51,800,S,Owner,No,80.1% AMI and above,All
"Suffolk city, Virginia",1020.0,298.0,27.0,05000US51800,51,800,D,Owner,No,80.1% AMI and above,Disabled
"Suffolk city, Virginia",12395.0,689.0,28.0,05000US51800,51,800,D,Owner,No,80.1% AMI and above,Not disabled
"Suffolk city, Virginia",65.0,73.0,29.0,05000US51800,51,800,S,Owner,N/A,All,All
"Suffolk city, Virginia",65.0,73.0,30.0,05000US51800,51,800,S,Owner,N/A,30% AMI or less,All
"Suffolk city, Virginia",35.0,59.0,31.0,05000US51800,51,800,D,Owner,N/A,30% AMI or less,Disabled
"Suffolk city, Virginia",30.0,45.0,32.0,05000US51800,51,800,D,Owner,N/A,30% AMI or less,Not disabled
"Suffolk city, Virginia",0.0,161.0,33.0,05000US51800,51,800,S,Owner,N/A,30.1-50% AMI,All
"Suffolk city, Virginia",0.0,161.0,34.0,05000US51800,51,800,D,Owner,N/A,30.1-50% AMI,Disabled
"Suffolk city, Virginia",0.0,161.0,35.0,05000US51800,51,800,D,Owner,N/A,30.1-50% AMI,Not disabled
"Suffolk city, Virginia",0.0,161.0,36.0,05000US51800,51,800,S,Owner,N/A,50.1-80% AMI,All
