name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Income,Cost_Burden,Substandard
"Suffolk city, Virginia",29860.0,431.0,1.0,05000US51800,51,800,T,All,All,All,All
"Suffolk city, Virginia",21285.0,618.0,2.0,05000US51800,51,800,S,Owner,All,All,All
"Suffolk city, Virginia",965.0,226.0,3.0,05000US51800,51,800,S,Owner,30% AMI or less,All,All
"Suffolk city, Virginia",170.0,95.0,4.0,05000US51800,51,800,S,Owner,30% AMI or less,No cost burden,All
"Suffolk city, Virginia",0.0,161.0,5.0,05000US51800,51,800,D,Owner,30% AMI or less,No cost burden,substandard
"Suffolk city, Virginia",170.0,95.0,6.0,05000US51800,51,800,D,Owner,30% AMI or less,No cost burden,standard
"Suffolk city, Virginia",175.0,121.0,7.0,05000US51800,51,800,S,Owner,30% AMI or less,Moderate cost burden,All
"Suffolk city, Virginia",0.0,161.0,8.0,05000US51800,51,800,D,Owner,30% AMI or less,Moderate cost burden,substandard
"Suffolk city, Virginia",175.0,121.0,9.0,05000US51800,51,800,D,Owner,30% AMI or less,Moderate cost burden,standard
"Suffolk city, Virginia",555.0,185.0,10.0,05000US51800,51,800,S,Owner,30% AMI or less,Severe cost burden,All
"Suffolk city, Virginia",0.0,161.0,11.0,05000US51800,51,800,D,Owner,30% AMI or less,Severe cost burden,substandard
"Suffolk city, Virginia",555.0,185.0,12.0,05000US51800,51,800,D,Owner,30% AMI or less,Severe cost burden,standard
"Suffolk city, Virginia",65.0,73.0,13.0,05000US51800,51,800,S,Owner,30% AMI or less,N/A,All
"Suffolk city, Virginia",0.0,161.0,14.0,05000US51800,51,800,D,Owner,30% AMI or less,N/A,substandard
"Suffolk city, Virginia",65.0,73.0,15.0,05000US51800,51,800,D,Owner,30% AMI or less,N/A,standard
"Suffolk city, Virginia",1515.0,276.0,16.0,05000US51800,51,800,S,Owner,30.1-50% AMI,All,All
"Suffolk city, Virginia",765.0,191.0,17.0,05000US51800,51,800,S,Owner,30.1-50% AMI,No cost burden,All
"Suffolk city, Virginia",15.0,28.0,18.0,05000US51800,51,800,D,Owner,30.1-50% AMI,No cost burden,substandard
"Suffolk city, Virginia",750.0,188.0,19.0,05000US51800,51,800,D,Owner,30.1-50% AMI,No cost burden,standard
"Suffolk city, Virginia",495.0,173.0,20.0,05000US51800,51,800,S,Owner,30.1-50% AMI,Moderate cost burden,All
"Suffolk city, Virginia",0.0,161.0,21.0,05000US51800,51,800,D,Owner,30.1-50% AMI,Moderate cost burden,substandard
"Suffolk city, Virginia",495.0,173.0,22.0,05000US51800,51,800,D,Owner,30.1-50% AMI,Moderate cost burden,standard
"Suffolk city, Virginia",255.0,130.0,23.0,05000US51800,51,800,S,Owner,30.1-50% AMI,Severe cost burden,All
"Suffolk city, Virginia",0.0,161.0,24.0,05000US51800,51,800,D,Owner,30.1-50% AMI,Severe cost burden,substandard
"Suffolk city, Virginia",255.0,130.0,25.0,05000US51800,51,800,D,Owner,30.1-50% AMI,Severe cost burden,standard
"Suffolk city, Virginia",0.0,161.0,26.0,05000US51800,51,800,S,Owner,30.1-50% AMI,N/A,All
"Suffolk city, Virginia",0.0,161.0,27.0,05000US51800,51,800,D,Owner,30.1-50% AMI,N/A,substandard
"Suffolk city, Virginia",0.0,161.0,28.0,05000US51800,51,800,D,Owner,30.1-50% AMI,N/A,standard
"Suffolk city, Virginia",2390.0,355.0,29.0,05000US51800,51,800,S,Owner,50.1-80% AMI,All,All
"Suffolk city, Virginia",1215.0,267.0,30.0,05000US51800,51,800,S,Owner,50.1-80% AMI,No cost burden,All
"Suffolk city, Virginia",0.0,161.0,31.0,05000US51800,51,800,D,Owner,50.1-80% AMI,No cost burden,substandard
"Suffolk city, Virginia",1215.0,267.0,32.0,05000US51800,51,800,D,Owner,50.1-80% AMI,No cost burden,standard
"Suffolk city, Virginia",685.0,196.0,33.0,05000US51800,51,800,S,Owner,50.1-80% AMI,Moderate cost burden,All
"Suffolk city, Virginia",0.0,161.0,34.0,05000US51800,51,800,D,Owner,50.1-80% AMI,Moderate cost burden,substandard
