name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Income,Cost_Burden,Substandard
"Manassas city, Virginia",11705.0,435.0,1.0,05000US51683,51,683,T,All,All,All,All
"Manassas city, Virginia",8160.0,518.0,2.0,05000US51683,51,683,S,Owner,All,All,All
"Manassas city, Virginia",330.0,168.0,3.0,05000US51683,51,683,S,Owner,30% AMI or less,All,All
"Manassas city, Virginia",0.0,161.0,4.0,05000US51683,51,683,S,Owner,30% AMI or less,No cost burden,All
"Manassas city, Virginia",0.0,161.0,5.0,05000US51683,51,683,D,Owner,30% AMI or less,No cost burden,substandard
"Manassas city, Virginia",0.0,161.0,6.0,05000US51683,51,683,D,Owner,30% AMI or less,No cost burden,standard
"Manassas city, Virginia",40.0,67.0,7.0,05000US51683,51,683,S,Owner,30% AMI or less,Moderate cost burden,All
"Manassas city, Virginia",0.0,161.0,8.0,05000US51683,51,683,D,Owner,30% AMI or less,Moderate cost burden,substandard
"Manassas city, Virginia",40.0,67.0,9.0,05000US51683,51,683,D,Owner,30% AMI or less,Moderate cost burden,standard
"Manassas city, Virginia",275.0,158.0,10.0,05000US51683,51,683,S,Owner,30% AMI or less,Severe cost burden,All
"Manassas city, Virginia",0.0,161.0,11.0,05000US51683,51,683,D,Owner,30% AMI or less,Severe cost burden,substandard
"Manassas city, Virginia",275.0,158.0,12.0,05000US51683,51,683,D,Owner,30% AMI or less,Severe cost burden,standard
"Manassas city, Virginia",15.0,27.0,13.0,05000US51683,51,683,S,Owner,30% AMI or less,N/A,All
"Manassas city, Virginia",0.0,161.0,14.0,05000US51683,51,683,D,Owner,30% AMI or less,N/A,substandard
"Manassas city, Virginia",15.0,27.0,15.0,05000US51683,51,683,D,Owner,30% AMI or less,N/A,standard
"Manassas city, Virginia",675.0,243.0,16.0,05000US51683,51,683,S,Owner,30.1-50% AMI,All,All
"Manassas city, Virginia",235.0,157.0,17.0,05000US51683,51,683,S,Owner,30.1-50% AMI,No cost burden,All
"Manassas city, Virginia",0.0,161.0,18.0,05000US51683,51,683,D,Owner,30.1-50% AMI,No cost burden,substandard
"Manassas city, Virginia",235.0,157.0,19.0,05000US51683,51,683,D,Owner,30.1-50% AMI,No cost burden,standard
"Manassas city, Virginia",140.0,93.0,20.0,05000US51683,51,683,S,Owner,30.1-50% AMI,Moderate cost burden,All
"Manassas city, Virginia",0.0,161.0,21.0,05000US51683,51,683,D,Owner,30.1-50% AMI,Moderate cost burden,substandard
"Manassas city, Virginia",140.0,93.0,22.0,05000US51683,51,683,D,Owner,30.1-50% AMI,Moderate cost burden,standard
"Manassas city, Virginia",300.0,165.0,23.0,05000US51683,51,683,S,Owner,30.1-50% AMI,Severe cost burden,All
"Manassas city, Virginia",0.0,161.0,24.0,05000US51683,51,683,D,Owner,30.1-50% AMI,Severe cost burden,substandard
