name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Household_Income,Cost_Burden,Substandard
"Fairfax city, Virginia",8310.0,184.0,1.0,05000US51600,51,600,T,All,All,All,All
"Fairfax city, Virginia",6365.0,271.0,2.0,05000US51600,51,600,S,Owner,All,All,All
"Fairfax city, Virginia",255.0,127.0,3.0,05000US51600,51,600,S,Owner,30% AMI or less,All,All
"Fairfax city, Virginia",10.0,16.0,4.0,05000US51600,51,600,S,Owner,30% AMI or less,No cost burden,All
"Fairfax city, Virginia",0.0,161.0,5.0,05000US51600,51,600,D,Owner,30% AMI or less,No cost burden,substandard
"Fairfax city, Virginia",10.0,16.0,6.0,05000US51600,51,600,D,Owner,30% AMI or less,No cost burden,standard
"Fairfax city, Virginia",105.0,97.0,7.0,05000US51600,51,600,S,Owner,30% AMI or less,Moderate cost burden,All
"Fairfax city, Virginia",0.0,161.0,8.0,05000US51600,51,600,D,Owner,30% AMI or less,Moderate cost burden,substandard
"Fairfax city, Virginia",105.0,97.0,9.0,05000US51600,51,600,D,Owner,30% AMI or less,Moderate cost burden,standard
"Fairfax city, Virginia",120.0,80.0,10.0,05000US51600,51,600,S,Owner,30% AMI or less,Severe cost burden,All
"Fairfax city, Virginia",20.0,37.0,11.0,05000US51600,51,600,D,Owner,30% AMI or less,Severe cost burden,substandard
"Fairfax city, Virginia",100.0,70.0,12.0,05000US51600,51,600,D,Owner,30% AMI or less,Severe cost burden,standard
"Fairfax city, Virginia",20.0,26.0,13.0,05000US51600,51,600,S,Owner,30% AMI or less,N/A,All
"Fairfax city, Virginia",0.0,161.0,14.0,05000US51600,51,600,D,Owner,30% AMI or less,N/A,substandard
"Fairfax city, Virginia",20.0,26.0,15.0,05000US51600,51,600,D,Owner,30% AMI or less,N/A,standard
"Fairfax city, Virginia",195.0,108.0,16.0,05000US51600,51,600,S,Owner,30.1-50% AMI,All,All
"Fairfax city, Virginia",50.0,48.0,17.0,05000US51600,51,600,S,Owner,30.1-50% AMI,No cost burden,All
"Fairfax city, Virginia",0.0,161.0,18.0,05000US51600,51,600,D,Owner,30.1-50% AMI,No cost burden,substandard
"Fairfax city, Virginia",50.0,48.0,19.0,05000US51600,51,600,D,Owner,30.1-50% AMI,No cost burden,standard
"Fairfax city, Virginia",85.0,74.0,20.0,05000US51600,51,600,S,Owner,30.1-50% AMI,Moderate cost burden,All
"Fairfax city, Virginia",0.0,161.0,21.0,05000US51600,51,600,D,Owner,30.1-50% AMI,Moderate cost burden,substandard
"Fairfax city, Virginia",85.0,74.0,22.0,05000US51600,51,600,D,Owner,30.1-50% AMI,Moderate cost burden,standard
"Fairfax city, Virginia",55.0,54.0,23.0,05000US51600,51,600,S,Owner,30.1-50% AMI,Severe cost burden,All
"Fairfax city, Virginia",0.0,161.0,24.0,05000US51600,51,600,D,Owner,30.1-50% AMI,Severe cost burden,substandard
"Fairfax city, Virginia",55.0,54.0,25.0,05000US51600,51,600,D,Owner,30.1-50% AMI,Severe cost burden,standard
"Fairfax city, Virginia",0.0,161.0,26.0,05000US51600,51,600,S,Owner,30.1-50% AMI,N/A,All
"Fairfax city, Virginia",0.0,161.0,27.0,05000US51600,51,600,D,Owner,30.1-50% AMI,N/A,substandard
"Fairfax city, Virginia",0.0,161.0,28.0,05000US51600,51,600,D,Owner,30.1-50% AMI,N/A,standard
"Fairfax city, Virginia",935.0,236.0,29.0,05000US51600,51,600,S,Owner,50.1-80% AMI,All,All
"Fairfax city, Virginia",435.0,154.0,30.0,05000US51600,51,600,S,Owner,50.1-80% AMI,No cost burden,All
"Fairfax city, Virginia",0.0,161.0,31.0,05000US51600,51,600,D,Owner,50.1-80% AMI,No cost burden,substandard
"Fairfax city, Virginia",435.0,154.0,32.0,05000US51600,51,600,D,Owner,50.1-80% AMI,No cost burden,standard
"Fairfax city, Virginia",450.0,172.0,33.0,05000US51600,51,600,S,Owner,50.1-80% AMI,Moderate cost burden,All
"Fairfax city, Virginia",0.0,161.0,34.0,05000US51600,51,600,D,Owner,50.1-80% AMI,Moderate cost burden,substandard
