name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income
"Staunton city, Virginia",140.0,104.0,53.0,05000US51790,51,790,D,Renter,Yes,65.1-80% AMI
"Staunton city, Virginia",0.0,161.0,54.0,05000US51790,51,790,D,Renter,Yes,80.1-95% AMI
"Staunton city, Virginia",0.0,161.0,55.0,05000US51790,51,790,D,Renter,Yes,95.1-100% AMI
"Staunton city, Virginia",0.0,161.0,56.0,05000US51790,51,790,D,Renter,Yes,100.1-115% AMI
"Staunton city, Virginia",0.0,161.0,57.0,05000US51790,51,790,D,Renter,Yes,115.1-120% AMI
"Staunton city, Virginia",15.0,24.0,58.0,05000US51790,51,790,D,Renter,Yes,120.1-140% AMI
"Staunton city, Virginia",15.0,25.0,59.0,05000US51790,51,790,D,Renter,Yes,>140% AMI
"Staunton city, Virginia",1935.0,396.0,60.0,05000US51790,51,790,S,Renter,No,All
"Staunton city, Virginia",0.0,161.0,61.0,05000US51790,51,790,D,Renter,No,<=20% AMI
"Staunton city, Virginia",65.0,53.0,62.0,05000US51790,51,790,D,Renter,No,20.1-30% AMI
"Staunton city, Virginia",45.0,50.0,63.0,05000US51790,51,790,D,Renter,No,30.1-40% AMI
"Staunton city, Virginia",110.0,94.0,64.0,05000US51790,51,790,D,Renter,No,40.1-50% AMI
"Staunton city, Virginia",70.0,61.0,65.0,05000US51790,51,790,D,Renter,No,50.1-60% AMI
"Staunton city, Virginia",130.0,83.0,66.0,05000US51790,51,790,D,Renter,No,60.1-65% AMI
"Staunton city, Virginia",365.0,249.0,67.0,05000US51790,51,790,D,Renter,No,65.1-80% AMI
"Staunton city, Virginia",415.0,167.0,68.0,05000US51790,51,790,D,Renter,No,80.1-95% AMI
"Staunton city, Virginia",100.0,87.0,69.0,05000US51790,51,790,D,Renter,No,95.1-100% AMI
"Staunton city, Virginia",235.0,136.0,70.0,05000US51790,51,790,D,Renter,No,100.1-115% AMI
"Staunton city, Virginia",110.0,118.0,71.0,05000US51790,51,790,D,Renter,No,115.1-120% AMI
"Staunton city, Virginia",55.0,53.0,72.0,05000US51790,51,790,D,Renter,No,120.1-140% AMI
"Staunton city, Virginia",230.0,127.0,73.0,05000US51790,51,790,D,Renter,No,>140% AMI
"Staunton city, Virginia",355.0,174.0,74.0,05000US51790,51,790,S,Renter,N/A,All
"Staunton city, Virginia",265.0,168.0,75.0,05000US51790,51,790,D,Renter,N/A,<=20% AMI
"Staunton city, Virginia",20.0,41.0,76.0,05000US51790,51,790,D,Renter,N/A,20.1-30% AMI
"Staunton city, Virginia",15.0,28.0,77.0,05000US51790,51,790,D,Renter,N/A,30.1-40% AMI
"Staunton city, Virginia",15.0,24.0,78.0,05000US51790,51,790,D,Renter,N/A,40.1-50% AMI
"Staunton city, Virginia",35.0,47.0,79.0,05000US51790,51,790,D,Renter,N/A,50.1-60% AMI
"Staunton city, Virginia",0.0,161.0,80.0,05000US51790,51,790,D,Renter,N/A,60.1-65% AMI
"Staunton city, Virginia",0.0,161.0,81.0,05000US51790,51,790,D,Renter,N/A,65.1-80% AMI
"Staunton city, Virginia",0.0,161.0,82.0,05000US51790,51,790,D,Renter,N/A,80.1-95% AMI
"Staunton city, Virginia",0.0,161.0,83.0,05000US51790,51,790,D,Renter,N/A,95.1-100% AMI
"Staunton city, Virginia",0.0,161.0,84.0,05000US51790,51,790,D,Renter,N/A,100.1-115% AMI
"Staunton city, Virginia",0.0,161.0,85.0,05000US51790,51,790,D,Renter,N/A,115.1-120% AMI
"Staunton city, Virginia",0.0,161.0,86.0,05000US51790,51,790,D,Renter,N/A,120.1-140% AMI
"Staunton city, Virginia",0.0,161.0,87.0,05000US51790,51,790,D,Renter,N/A,>140% AMI
