name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income
"Loudoun County, Virginia",85655.0,1209.0,1.0,05000US51107,51,107,T,All,All,All
"Loudoun County, Virginia",71545.0,1186.0,2.0,05000US51107,51,107,S,Owner,All,All
"Loudoun County, Virginia",26380.0,1197.0,3.0,05000US51107,51,107,S,Owner,Yes,All
"Loudoun County, Virginia",1135.0,356.0,4.0,05000US51107,51,107,D,Owner,Yes,<=20% AMI
"Loudoun County, Virginia",530.0,184.0,5.0,05000US51107,51,107,D,Owner,Yes,20.1-30% AMI
"Loudoun County, Virginia",1110.0,293.0,6.0,05000US51107,51,107,D,Owner,Yes,30.1-40% AMI
"Loudoun County, Virginia",1275.0,336.0,7.0,05000US51107,51,107,D,Owner,Yes,40.1-50% AMI
"Loudoun County, Virginia",2425.0,451.0,8.0,05000US51107,51,107,D,Owner,Yes,50.1-60% AMI
"Loudoun County, Virginia",1020.0,288.0,9.0,05000US51107,51,107,D,Owner,Yes,60.1-65% AMI
"Loudoun County, Virginia",3405.0,589.0,10.0,05000US51107,51,107,D,Owner,Yes,65.1-80% AMI
"Loudoun County, Virginia",3070.0,526.0,11.0,05000US51107,51,107,D,Owner,Yes,80.1-95% AMI
"Loudoun County, Virginia",995.0,266.0,12.0,05000US51107,51,107,D,Owner,Yes,95.1-100% AMI
"Loudoun County, Virginia",2675.0,464.0,13.0,05000US51107,51,107,D,Owner,Yes,100.1-115% AMI
"Loudoun County, Virginia",985.0,262.0,14.0,05000US51107,51,107,D,Owner,Yes,115.1-120% AMI
"Loudoun County, Virginia",2875.0,425.0,15.0,05000US51107,51,107,D,Owner,Yes,120.1-140% AMI
"Loudoun County, Virginia",4885.0,630.0,16.0,05000US51107,51,107,D,Owner,Yes,>140% AMI
"Loudoun County, Virginia",44720.0,1215.0,17.0,05000US51107,51,107,S,Owner,No,All
"Loudoun County, Virginia",45.0,50.0,18.0,05000US51107,51,107,D,Owner,No,<=20% AMI
"Loudoun County, Virginia",65.0,56.0,19.0,05000US51107,51,107,D,Owner,No,20.1-30% AMI
"Loudoun County, Virginia",245.0,153.0,20.0,05000US51107,51,107,D,Owner,No,30.1-40% AMI
"Loudoun County, Virginia",315.0,137.0,21.0,05000US51107,51,107,D,Owner,No,40.1-50% AMI
"Loudoun County, Virginia",540.0,194.0,22.0,05000US51107,51,107,D,Owner,No,50.1-60% AMI
"Loudoun County, Virginia",320.0,130.0,23.0,05000US51107,51,107,D,Owner,No,60.1-65% AMI
"Loudoun County, Virginia",1200.0,292.0,24.0,05000US51107,51,107,D,Owner,No,65.1-80% AMI
"Loudoun County, Virginia",2245.0,420.0,25.0,05000US51107,51,107,D,Owner,No,80.1-95% AMI
"Loudoun County, Virginia",1075.0,272.0,26.0,05000US51107,51,107,D,Owner,No,95.1-100% AMI
"Loudoun County, Virginia",3385.0,455.0,27.0,05000US51107,51,107,D,Owner,No,100.1-115% AMI
"Loudoun County, Virginia",985.0,249.0,28.0,05000US51107,51,107,D,Owner,No,115.1-120% AMI
"Loudoun County, Virginia",5265.0,654.0,29.0,05000US51107,51,107,D,Owner,No,120.1-140% AMI
"Loudoun County, Virginia",29035.0,1114.0,30.0,05000US51107,51,107,D,Owner,No,>140% AMI
"Loudoun County, Virginia",445.0,231.0,31.0,05000US51107,51,107,S,Owner,N/A,All
"Loudoun County, Virginia",445.0,231.0,32.0,05000US51107,51,107,D,Owner,N/A,<=20% AMI
"Loudoun County, Virginia",0.0,161.0,33.0,05000US51107,51,107,D,Owner,N/A,20.1-30% AMI
"Loudoun County, Virginia",0.0,161.0,34.0,05000US51107,51,107,D,Owner,N/A,30.1-40% AMI
"Loudoun County, Virginia",0.0,161.0,35.0,05000US51107,51,107,D,Owner,N/A,40.1-50% AMI
"Loudoun County, Virginia",0.0,161.0,36.0,05000US51107,51,107,D,Owner,N/A,50.1-60% AMI
"Loudoun County, Virginia",0.0,161.0,37.0,05000US51107,51,107,D,Owner,N/A,60.1-65% AMI
"Loudoun County, Virginia",0.0,161.0,38.0,05000US51107,51,107,D,Owner,N/A,65.1-80% AMI
"Loudoun County, Virginia",0.0,161.0,39.0,05000US51107,51,107,D,Owner,N/A,80.1-95% AMI
"Loudoun County, Virginia",0.0,161.0,40.0,05000US51107,51,107,D,Owner,N/A,95.1-100% AMI
"Loudoun County, Virginia",0.0,161.0,41.0,05000US51107,51,107,D,Owner,N/A,100.1-115% AMI
"Loudoun County, Virginia",0.0,161.0,42.0,05000US51107,51,107,D,Owner,N/A,115.1-120% AMI
"Loudoun County, Virginia",0.0,161.0,43.0,05000US51107,51,107,D,Owner,N/A,120.1-140% AMI
"Loudoun County, Virginia",0.0,161.0,44.0,05000US51107,51,107,D,Owner,N/A,>140% AMI
"Loudoun County, Virginia",14115.0,992.0,45.0,05000US51107,51,107,S,Renter,All,All
"Loudoun County, Virginia",6215.0,697.0,46.0,05000US51107,51,107,S,Renter,Yes,All
"Loudoun County, Virginia",825.0,315.0,47.0,05000US51107,51,107,D,Renter,Yes,<=20% AMI
"Loudoun County, Virginia",660.0,225.0,48.0,05000US51107,51,107,D,Renter,Yes,20.1-30% AMI
"Loudoun County, Virginia",980.0,312.0,49.0,05000US51107,51,107,D,Renter,Yes,30.1-40% AMI
"Loudoun County, Virginia",920.0,303.0,50.0,05000US51107,51,107,D,Renter,Yes,40.1-50% AMI
"Loudoun County, Virginia",955.0,285.0,51.0,05000US51107,51,107,D,Renter,Yes,50.1-60% AMI
"Loudoun County, Virginia",215.0,125.0,52.0,05000US51107,51,107,D,Renter,Yes,60.1-65% AMI
"Loudoun County, Virginia",770.0,258.0,53.0,05000US51107,51,107,D,Renter,Yes,65.1-80% AMI
"Loudoun County, Virginia",360.0,190.0,54.0,05000US51107,51,107,D,Renter,Yes,80.1-95% AMI
"Loudoun County, Virginia",105.0,119.0,55.0,05000US51107,51,107,D,Renter,Yes,95.1-100% AMI
"Loudoun County, Virginia",275.0,178.0,56.0,05000US51107,51,107,D,Renter,Yes,100.1-115% AMI
"Loudoun County, Virginia",10.0,22.0,57.0,05000US51107,51,107,D,Renter,Yes,115.1-120% AMI
"Loudoun County, Virginia",35.0,44.0,58.0,05000US51107,51,107,D,Renter,Yes,120.1-140% AMI
"Loudoun County, Virginia",105.0,137.0,59.0,05000US51107,51,107,D,Renter,Yes,>140% AMI
"Loudoun County, Virginia",6785.0,681.0,60.0,05000US51107,51,107,S,Renter,No,All
"Loudoun County, Virginia",145.0,90.0,61.0,05000US51107,51,107,D,Renter,No,<=20% AMI
"Loudoun County, Virginia",30.0,48.0,62.0,05000US51107,51,107,D,Renter,No,20.1-30% AMI
"Loudoun County, Virginia",20.0,34.0,63.0,05000US51107,51,107,D,Renter,No,30.1-40% AMI
"Loudoun County, Virginia",115.0,90.0,64.0,05000US51107,51,107,D,Renter,No,40.1-50% AMI
"Loudoun County, Virginia",205.0,150.0,65.0,05000US51107,51,107,D,Renter,No,50.1-60% AMI
"Loudoun County, Virginia",205.0,159.0,66.0,05000US51107,51,107,D,Renter,No,60.1-65% AMI
"Loudoun County, Virginia",740.0,225.0,67.0,05000US51107,51,107,D,Renter,No,65.1-80% AMI
"Loudoun County, Virginia",975.0,269.0,68.0,05000US51107,51,107,D,Renter,No,80.1-95% AMI
"Loudoun County, Virginia",350.0,212.0,69.0,05000US51107,51,107,D,Renter,No,95.1-100% AMI
"Loudoun County, Virginia",970.0,257.0,70.0,05000US51107,51,107,D,Renter,No,100.1-115% AMI
"Loudoun County, Virginia",145.0,106.0,71.0,05000US51107,51,107,D,Renter,No,115.1-120% AMI
"Loudoun County, Virginia",845.0,246.0,72.0,05000US51107,51,107,D,Renter,No,120.1-140% AMI
"Loudoun County, Virginia",2035.0,399.0,73.0,05000US51107,51,107,D,Renter,No,>140% AMI
"Loudoun County, Virginia",1115.0,381.0,74.0,05000US51107,51,107,S,Renter,N/A,All
"Loudoun County, Virginia",350.0,223.0,75.0,05000US51107,51,107,D,Renter,N/A,<=20% AMI
"Loudoun County, Virginia",205.0,249.0,76.0,05000US51107,51,107,D,Renter,N/A,20.1-30% AMI
"Loudoun County, Virginia",105.0,73.0,77.0,05000US51107,51,107,D,Renter,N/A,30.1-40% AMI
"Loudoun County, Virginia",25.0,32.0,78.0,05000US51107,51,107,D,Renter,N/A,40.1-50% AMI
"Loudoun County, Virginia",70.0,59.0,79.0,05000US51107,51,107,D,Renter,N/A,50.1-60% AMI
"Loudoun County, Virginia",55.0,51.0,80.0,05000US51107,51,107,D,Renter,N/A,60.1-65% AMI
"Loudoun County, Virginia",25.0,40.0,81.0,05000US51107,51,107,D,Renter,N/A,65.1-80% AMI
"Loudoun County, Virginia",30.0,36.0,82.0,05000US51107,51,107,D,Renter,N/A,80.1-95% AMI
"Loudoun County, Virginia",20.0,32.0,83.0,05000US51107,51,107,D,Renter,N/A,95.1-100% AMI
"Loudoun County, Virginia",110.0,176.0,84.0,05000US51107,51,107,D,Renter,N/A,100.1-115% AMI
"Loudoun County, Virginia",40.0,51.0,85.0,05000US51107,51,107,D,Renter,N/A,115.1-120% AMI
"Loudoun County, Virginia",0.0,161.0,86.0,05000US51107,51,107,D,Renter,N/A,120.1-140% AMI
"Loudoun County, Virginia",80.0,84.0,87.0,05000US51107,51,107,D,Renter,N/A,>140% AMI
