name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income
"Washington County, Virginia",22135.0,557.0,1.0,05000US51191,51,191,T,All,All,All
"Washington County, Virginia",16715.0,653.0,2.0,05000US51191,51,191,S,Owner,All,All
"Washington County, Virginia",3060.0,456.0,3.0,05000US51191,51,191,S,Owner,Yes,All
"Washington County, Virginia",360.0,140.0,4.0,05000US51191,51,191,D,Owner,Yes,<=20% AMI
"Washington County, Virginia",575.0,235.0,5.0,05000US51191,51,191,D,Owner,Yes,20.1-30% AMI
"Washington County, Virginia",475.0,231.0,6.0,05000US51191,51,191,D,Owner,Yes,30.1-40% AMI
"Washington County, Virginia",225.0,118.0,7.0,05000US51191,51,191,D,Owner,Yes,40.1-50% AMI
"Washington County, Virginia",210.0,121.0,8.0,05000US51191,51,191,D,Owner,Yes,50.1-60% AMI
"Washington County, Virginia",70.0,72.0,9.0,05000US51191,51,191,D,Owner,Yes,60.1-65% AMI
"Washington County, Virginia",215.0,100.0,10.0,05000US51191,51,191,D,Owner,Yes,65.1-80% AMI
"Washington County, Virginia",130.0,67.0,11.0,05000US51191,51,191,D,Owner,Yes,80.1-95% AMI
"Washington County, Virginia",50.0,43.0,12.0,05000US51191,51,191,D,Owner,Yes,95.1-100% AMI
"Washington County, Virginia",165.0,122.0,13.0,05000US51191,51,191,D,Owner,Yes,100.1-115% AMI
"Washington County, Virginia",0.0,161.0,14.0,05000US51191,51,191,D,Owner,Yes,115.1-120% AMI
"Washington County, Virginia",225.0,146.0,15.0,05000US51191,51,191,D,Owner,Yes,120.1-140% AMI
"Washington County, Virginia",365.0,170.0,16.0,05000US51191,51,191,D,Owner,Yes,>140% AMI
"Washington County, Virginia",13635.0,600.0,17.0,05000US51191,51,191,S,Owner,No,All
"Washington County, Virginia",35.0,43.0,18.0,05000US51191,51,191,D,Owner,No,<=20% AMI
"Washington County, Virginia",125.0,88.0,19.0,05000US51191,51,191,D,Owner,No,20.1-30% AMI
"Washington County, Virginia",640.0,188.0,20.0,05000US51191,51,191,D,Owner,No,30.1-40% AMI
"Washington County, Virginia",580.0,168.0,21.0,05000US51191,51,191,D,Owner,No,40.1-50% AMI
"Washington County, Virginia",635.0,215.0,22.0,05000US51191,51,191,D,Owner,No,50.1-60% AMI
"Washington County, Virginia",315.0,157.0,23.0,05000US51191,51,191,D,Owner,No,60.1-65% AMI
"Washington County, Virginia",860.0,249.0,24.0,05000US51191,51,191,D,Owner,No,65.1-80% AMI
"Washington County, Virginia",985.0,320.0,25.0,05000US51191,51,191,D,Owner,No,80.1-95% AMI
"Washington County, Virginia",425.0,252.0,26.0,05000US51191,51,191,D,Owner,No,95.1-100% AMI
"Washington County, Virginia",1055.0,267.0,27.0,05000US51191,51,191,D,Owner,No,100.1-115% AMI
"Washington County, Virginia",265.0,160.0,28.0,05000US51191,51,191,D,Owner,No,115.1-120% AMI
"Washington County, Virginia",1480.0,335.0,29.0,05000US51191,51,191,D,Owner,No,120.1-140% AMI
"Washington County, Virginia",6235.0,495.0,30.0,05000US51191,51,191,D,Owner,No,>140% AMI
"Washington County, Virginia",25.0,35.0,31.0,05000US51191,51,191,S,Owner,N/A,All
"Washington County, Virginia",25.0,35.0,32.0,05000US51191,51,191,D,Owner,N/A,<=20% AMI
"Washington County, Virginia",0.0,161.0,33.0,05000US51191,51,191,D,Owner,N/A,20.1-30% AMI
"Washington County, Virginia",0.0,161.0,34.0,05000US51191,51,191,D,Owner,N/A,30.1-40% AMI
"Washington County, Virginia",0.0,161.0,35.0,05000US51191,51,191,D,Owner,N/A,40.1-50% AMI
"Washington County, Virginia",0.0,161.0,36.0,05000US51191,51,191,D,Owner,N/A,50.1-60% AMI
"Washington County, Virginia",0.0,161.0,37.0,05000US51191,51,191,D,Owner,N/A,60.1-65% AMI
"Washington County, Virginia",0.0,161.0,38.0,05000US51191,51,191,D,Owner,N/A,65.1-80% AMI
"Washington County, Virginia",0.0,161.0,39.0,05000US51191,51,191,D,Owner,N/A,80.1-95% AMI
"Washington County, Virginia",0.0,161.0,40.0,05000US51191,51,191,D,Owner,N/A,95.1-100% AMI
"Washington County, Virginia",0.0,161.0,41.0,05000US51191,51,191,D,Owner,N/A,100.1-115% AMI
"Washington County, Virginia",0.0,161.0,42.0,05000US51191,51,191,D,Owner,N/A,115.1-120% AMI
"Washington County, Virginia",0.0,161.0,43.0,05000US51191,51,191,D,Owner,N/A,120.1-140% AMI
"Washington County, Virginia",0.0,161.0,44.0,05000US51191,51,191,D,Owner,N/A,>140% AMI
"Washington County, Virginia",5420.0,677.0,45.0,05000US51191,51,191,S,Renter,All,All
"Washington County, Virginia",2440.0,605.0,46.0,05000US51191,51,191,S,Renter,Yes,All
"Washington County, Virginia",530.0,290.0,47.0,05000US51191,51,191,D,Renter,Yes,<=20% AMI
"Washington County, Virginia",515.0,201.0,48.0,05000US51191,51,191,D,Renter,Yes,20.1-30% AMI
"Washington County, Virginia",475.0,296.0,49.0,05000US51191,51,191,D,Renter,Yes,30.1-40% AMI
"Washington County, Virginia",155.0,127.0,50.0,05000US51191,51,191,D,Renter,Yes,40.1-50% AMI
"Washington County, Virginia",430.0,337.0,51.0,05000US51191,51,191,D,Renter,Yes,50.1-60% AMI
"Washington County, Virginia",100.0,93.0,52.0,05000US51191,51,191,D,Renter,Yes,60.1-65% AMI
"Washington County, Virginia",175.0,173.0,53.0,05000US51191,51,191,D,Renter,Yes,65.1-80% AMI
"Washington County, Virginia",25.0,43.0,54.0,05000US51191,51,191,D,Renter,Yes,80.1-95% AMI
"Washington County, Virginia",0.0,161.0,55.0,05000US51191,51,191,D,Renter,Yes,95.1-100% AMI
"Washington County, Virginia",0.0,161.0,56.0,05000US51191,51,191,D,Renter,Yes,100.1-115% AMI
"Washington County, Virginia",0.0,161.0,57.0,05000US51191,51,191,D,Renter,Yes,115.1-120% AMI
"Washington County, Virginia",0.0,161.0,58.0,05000US51191,51,191,D,Renter,Yes,120.1-140% AMI
"Washington County, Virginia",30.0,53.0,59.0,05000US51191,51,191,D,Renter,Yes,>140% AMI
"Washington County, Virginia",2240.0,444.0,60.0,05000US51191,51,191,S,Renter,No,All
"Washington County, Virginia",4.0,11.0,61.0,05000US51191,51,191,D,Renter,No,<=20% AMI
"Washington County, Virginia",35.0,35.0,62.0,05000US51191,51,191,D,Renter,No,20.1-30% AMI
"Washington County, Virginia",90.0,74.0,63.0,05000US51191,51,191,D,Renter,No,30.1-40% AMI
"Washington County, Virginia",165.0,103.0,64.0,05000US51191,51,191,D,Renter,No,40.1-50% AMI
