name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Virginia Beach city, Virginia",945.0,356.0,1.0,05000US51810,51,810,T,All,All,All
"Virginia Beach city, Virginia",15.0,27.0,2.0,05000US51810,51,810,S,Substandard,All,All
"Virginia Beach city, Virginia",930.0,353.0,3.0,05000US51810,51,810,S,Standard,All,All
"Virginia Beach city, Virginia",0.0,161.0,4.0,05000US51810,51,810,S,Standard,VHUD50,All
"Virginia Beach city, Virginia",0.0,161.0,5.0,05000US51810,51,810,D,Standard,VHUD50,0 or 1
"Virginia Beach city, Virginia",0.0,161.0,6.0,05000US51810,51,810,D,Standard,VHUD50,2
"Virginia Beach city, Virginia",0.0,161.0,7.0,05000US51810,51,810,D,Standard,VHUD50,3 or more
"Virginia Beach city, Virginia",110.0,133.0,8.0,05000US51810,51,810,S,Standard,VHUD80,All
"Virginia Beach city, Virginia",0.0,161.0,9.0,05000US51810,51,810,D,Standard,VHUD80,0 or 1
"Virginia Beach city, Virginia",0.0,161.0,10.0,05000US51810,51,810,D,Standard,VHUD80,2
"Virginia Beach city, Virginia",110.0,133.0,11.0,05000US51810,51,810,D,Standard,VHUD80,3 or more
"Virginia Beach city, Virginia",85.0,94.0,12.0,05000US51810,51,810,S,Standard,VHUD100,All
"Virginia Beach city, Virginia",0.0,161.0,13.0,05000US51810,51,810,D,Standard,VHUD100,0 or 1
"Virginia Beach city, Virginia",50.0,84.0,14.0,05000US51810,51,810,D,Standard,VHUD100,2
"Virginia Beach city, Virginia",35.0,44.0,15.0,05000US51810,51,810,D,Standard,VHUD100,3 or more
"Virginia Beach city, Virginia",730.0,317.0,16.0,05000US51810,51,810,S,Standard,Greater than VHUD100,All
"Virginia Beach city, Virginia",15.0,25.0,17.0,05000US51810,51,810,D,Standard,Greater than VHUD100,0 or 1
"Virginia Beach city, Virginia",70.0,119.0,18.0,05000US51810,51,810,D,Standard,Greater than VHUD100,2
"Virginia Beach city, Virginia",640.0,295.0,19.0,05000US51810,51,810,D,Standard,Greater than VHUD100,3 or more
