name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Washington County, Virginia",135.0,151.0,1.0,05000US51191,51,191,T,All,All,All
"Washington County, Virginia",0.0,161.0,2.0,05000US51191,51,191,S,Substandard,All,All
"Washington County, Virginia",135.0,151.0,3.0,05000US51191,51,191,S,Standard,All,All
"Washington County, Virginia",10.0,13.0,4.0,05000US51191,51,191,S,Standard,VHUD50,All
"Washington County, Virginia",0.0,161.0,5.0,05000US51191,51,191,D,Standard,VHUD50,0 or 1
"Washington County, Virginia",10.0,13.0,6.0,05000US51191,51,191,D,Standard,VHUD50,2
"Washington County, Virginia",0.0,161.0,7.0,05000US51191,51,191,D,Standard,VHUD50,3 or more
"Washington County, Virginia",0.0,161.0,8.0,05000US51191,51,191,S,Standard,VHUD80,All
"Washington County, Virginia",0.0,161.0,9.0,05000US51191,51,191,D,Standard,VHUD80,0 or 1
"Washington County, Virginia",0.0,161.0,10.0,05000US51191,51,191,D,Standard,VHUD80,2
"Washington County, Virginia",0.0,161.0,11.0,05000US51191,51,191,D,Standard,VHUD80,3 or more
"Washington County, Virginia",80.0,127.0,12.0,05000US51191,51,191,S,Standard,VHUD100,All
"Washington County, Virginia",0.0,161.0,13.0,05000US51191,51,191,D,Standard,VHUD100,0 or 1
"Washington County, Virginia",0.0,161.0,14.0,05000US51191,51,191,D,Standard,VHUD100,2
"Washington County, Virginia",80.0,127.0,15.0,05000US51191,51,191,D,Standard,VHUD100,3 or more
"Washington County, Virginia",50.0,79.0,16.0,05000US51191,51,191,S,Standard,Greater than VHUD100,All
"Washington County, Virginia",0.0,161.0,17.0,05000US51191,51,191,D,Standard,Greater than VHUD100,0 or 1
"Washington County, Virginia",50.0,79.0,18.0,05000US51191,51,191,D,Standard,Greater than VHUD100,2
"Washington County, Virginia",0.0,161.0,19.0,05000US51191,51,191,D,Standard,Greater than VHUD100,3 or more
