name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Suffolk city, Virginia",0.0,161.0,34.0,05000US51800,51,800,D,Owner,Moderate overcrowding,50.1-80% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,35.0,05000US51800,51,800,D,Owner,Moderate overcrowding,50.1-80% AMI,2+ families in household
"Suffolk city, Virginia",0.0,161.0,36.0,05000US51800,51,800,D,Owner,Moderate overcrowding,50.1-80% AMI,Non-family household
"Suffolk city, Virginia",15.0,28.0,37.0,05000US51800,51,800,S,Owner,Moderate overcrowding,80.1-95% AMI,All
"Suffolk city, Virginia",15.0,28.0,38.0,05000US51800,51,800,D,Owner,Moderate overcrowding,80.1-95% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,39.0,05000US51800,51,800,D,Owner,Moderate overcrowding,80.1-95% AMI,2+ families in household
"Suffolk city, Virginia",0.0,161.0,40.0,05000US51800,51,800,D,Owner,Moderate overcrowding,80.1-95% AMI,Non-family household
"Suffolk city, Virginia",100.0,108.0,41.0,05000US51800,51,800,S,Owner,Moderate overcrowding,95.1% AMI and above,All
"Suffolk city, Virginia",20.0,39.0,42.0,05000US51800,51,800,D,Owner,Moderate overcrowding,95.1% AMI and above,1 family household
"Suffolk city, Virginia",80.0,101.0,43.0,05000US51800,51,800,D,Owner,Moderate overcrowding,95.1% AMI and above,2+ families in household
"Suffolk city, Virginia",0.0,161.0,44.0,05000US51800,51,800,D,Owner,Moderate overcrowding,95.1% AMI and above,Non-family household
"Suffolk city, Virginia",0.0,161.0,45.0,05000US51800,51,800,S,Owner,Severe overcrowding,All,All
"Suffolk city, Virginia",0.0,161.0,46.0,05000US51800,51,800,S,Owner,Severe overcrowding,30% AMI or less,All
"Suffolk city, Virginia",0.0,161.0,47.0,05000US51800,51,800,D,Owner,Severe overcrowding,30% AMI or less,1 family household
"Suffolk city, Virginia",0.0,161.0,48.0,05000US51800,51,800,D,Owner,Severe overcrowding,30% AMI or less,2+ families in household
"Suffolk city, Virginia",0.0,161.0,49.0,05000US51800,51,800,D,Owner,Severe overcrowding,30% AMI or less,Non-family household
"Suffolk city, Virginia",0.0,161.0,50.0,05000US51800,51,800,S,Owner,Severe overcrowding,30.1-50% AMI,All
"Suffolk city, Virginia",0.0,161.0,51.0,05000US51800,51,800,D,Owner,Severe overcrowding,30.1-50% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,52.0,05000US51800,51,800,D,Owner,Severe overcrowding,30.1-50% AMI,2+ families in household
"Suffolk city, Virginia",0.0,161.0,53.0,05000US51800,51,800,D,Owner,Severe overcrowding,30.1-50% AMI,Non-family household
"Suffolk city, Virginia",0.0,161.0,54.0,05000US51800,51,800,S,Owner,Severe overcrowding,50.1-80% AMI,All
"Suffolk city, Virginia",0.0,161.0,55.0,05000US51800,51,800,D,Owner,Severe overcrowding,50.1-80% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,56.0,05000US51800,51,800,D,Owner,Severe overcrowding,50.1-80% AMI,2+ families in household
"Suffolk city, Virginia",0.0,161.0,57.0,05000US51800,51,800,D,Owner,Severe overcrowding,50.1-80% AMI,Non-family household
"Suffolk city, Virginia",0.0,161.0,58.0,05000US51800,51,800,S,Owner,Severe overcrowding,80.1-95% AMI,All
"Suffolk city, Virginia",0.0,161.0,59.0,05000US51800,51,800,D,Owner,Severe overcrowding,80.1-95% AMI,1 family household
"Suffolk city, Virginia",0.0,161.0,60.0,05000US51800,51,800,D,Owner,Severe overcrowding,80.1-95% AMI,2+ families in household
"Suffolk city, Virginia",0.0,161.0,61.0,05000US51800,51,800,D,Owner,Severe overcrowding,80.1-95% AMI,Non-family household
"Suffolk city, Virginia",0.0,161.0,62.0,05000US51800,51,800,S,Owner,Severe overcrowding,95.1% AMI and above,All
"Suffolk city, Virginia",0.0,161.0,63.0,05000US51800,51,800,D,Owner,Severe overcrowding,95.1% AMI and above,1 family household
"Suffolk city, Virginia",0.0,161.0,64.0,05000US51800,51,800,D,Owner,Severe overcrowding,95.1% AMI and above,2+ families in household
"Suffolk city, Virginia",0.0,161.0,65.0,05000US51800,51,800,D,Owner,Severe overcrowding,95.1% AMI and above,Non-family household
"Suffolk city, Virginia",8570.0,698.0,66.0,05000US51800,51,800,S,Renter,All,All,All
"Suffolk city, Virginia",8320.0,701.0,67.0,05000US51800,51,800,S,Renter,No overcrowding,All,All
