"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Tenure","Overcrowding","Household_Income","Family_Structure"
"Accomack County, Virginia","14920.0","633.0","1.0","05000US51001","51","001","T","All","All","All","All"
"Accomack County, Virginia","11585.0","623.0","2.0","05000US51001","51","001","S","Owner","All","All","All"
"Accomack County, Virginia","11455.0","642.0","3.0","05000US51001","51","001","S","Owner","No overcrowding","All","All"
"Accomack County, Virginia","1530.0","378.0","4.0","05000US51001","51","001","S","Owner","No overcrowding","30% AMI or less","All"
"Accomack County, Virginia","445.0","211.0","5.0","05000US51001","51","001","D","Owner","No overcrowding","30% AMI or less","1 family household"
"Accomack County, Virginia","4.0","10.0","6.0","05000US51001","51","001","D","Owner","No overcrowding","30% AMI or less","2+ families in household"
"Accomack County, Virginia","1080.0","304.0","7.0","05000US51001","51","001","D","Owner","No overcrowding","30% AMI or less","Non-family household"
"Accomack County, Virginia","1320.0","341.0","8.0","05000US51001","51","001","S","Owner","No overcrowding","30.1-50% AMI","All"
"Accomack County, Virginia","645.0","276.0","9.0","05000US51001","51","001","D","Owner","No overcrowding","30.1-50% AMI","1 family household"
"Accomack County, Virginia","75.0","80.0","10.0","05000US51001","51","001","D","Owner","No overcrowding","30.1-50% AMI","2+ families in household"
"Accomack County, Virginia","595.0","204.0","11.0","05000US51001","51","001","D","Owner","No overcrowding","30.1-50% AMI","Non-family household"
"Accomack County, Virginia","2225.0","469.0","12.0","05000US51001","51","001","S","Owner","No overcrowding","50.1-80% AMI","All"
"Accomack County, Virginia","1150.0","372.0","13.0","05000US51001","51","001","D","Owner","No overcrowding","50.1-80% AMI","1 family household"
"Accomack County, Virginia","260.0","236.0","14.0","05000US51001","51","001","D","Owner","No overcrowding","50.1-80% AMI","2+ families in household"
"Accomack County, Virginia","815.0","248.0","15.0","05000US51001","51","001","D","Owner","No overcrowding","50.1-80% AMI","Non-family household"
"Accomack County, Virginia","680.0","233.0","16.0","05000US51001","51","001","S","Owner","No overcrowding","80.1-95% AMI","All"
"Accomack County, Virginia","465.0","212.0","17.0","05000US51001","51","001","D","Owner","No overcrowding","80.1-95% AMI","1 family household"
"Accomack County, Virginia","50.0","81.0","18.0","05000US51001","51","001","D","Owner","No overcrowding","80.1-95% AMI","2+ families in household"
"Accomack County, Virginia","170.0","83.0","19.0","05000US51001","51","001","D","Owner","No overcrowding","80.1-95% AMI","Non-family household"
"Accomack County, Virginia","5705.0","588.0","20.0","05000US51001","51","001","S","Owner","No overcrowding","95.1% AMI and above","All"
"Accomack County, Virginia","4575.0","490.0","21.0","05000US51001","51","001","D","Owner","No overcrowding","95.1% AMI and above","1 family household"
"Accomack County, Virginia","135.0","87.0","22.0","05000US51001","51","001","D","Owner","No overcrowding","95.1% AMI and above","2+ families in household"
"Accomack County, Virginia","995.0","269.0","23.0","05000US51001","51","001","D","Owner","No overcrowding","95.1% AMI and above","Non-family household"
"Accomack County, Virginia","130.0","91.0","24.0","05000US51001","51","001","S","Owner","Moderate overcrowding","All","All"
"Accomack County, Virginia","0.0","161.0","25.0","05000US51001","51","001","S","Owner","Moderate overcrowding","30% AMI or less","All"
"Accomack County, Virginia","0.0","161.0","26.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30% AMI or less","1 family household"
"Accomack County, Virginia","0.0","161.0","27.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30% AMI or less","2+ families in household"
"Accomack County, Virginia","0.0","161.0","28.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30% AMI or less","Non-family household"
"Accomack County, Virginia","20.0","34.0","29.0","05000US51001","51","001","S","Owner","Moderate overcrowding","30.1-50% AMI","All"
"Accomack County, Virginia","20.0","34.0","30.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30.1-50% AMI","1 family household"
"Accomack County, Virginia","0.0","161.0","31.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30.1-50% AMI","2+ families in household"
"Accomack County, Virginia","0.0","161.0","32.0","05000US51001","51","001","D","Owner","Moderate overcrowding","30.1-50% AMI","Non-family household"
"Accomack County, Virginia","4.0","13.0","33.0","05000US51001","51","001","S","Owner","Moderate overcrowding","50.1-80% AMI","All"
"Accomack County, Virginia","0.0","161.0","34.0","05000US51001","51","001","D","Owner","Moderate overcrowding","50.1-80% AMI","1 family household"
"Accomack County, Virginia","4.0","13.0","35.0","05000US51001","51","001","D","Owner","Moderate overcrowding","50.1-80% AMI","2+ families in household"
"Accomack County, Virginia","0.0","161.0","36.0","05000US51001","51","001","D","Owner","Moderate overcrowding","50.1-80% AMI","Non-family household"
"Accomack County, Virginia","4.0","4.0","37.0","05000US51001","51","001","S","Owner","Moderate overcrowding","80.1-95% AMI","All"
"Accomack County, Virginia","4.0","4.0","38.0","05000US51001","51","001","D","Owner","Moderate overcrowding","80.1-95% AMI","1 family household"
"Accomack County, Virginia","0.0","161.0","39.0","05000US51001","51","001","D","Owner","Moderate overcrowding","80.1-95% AMI","2+ families in household"
"Accomack County, Virginia","0.0","161.0","40.0","05000US51001","51","001","D","Owner","Moderate overcrowding","80.1-95% AMI","Non-family household"
