name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Newport News city, Virginia",73275.0,721.0,1.0,05000US51700,51,700,T,All,All,All,All
"Newport News city, Virginia",38530.0,1070.0,2.0,05000US51700,51,700,S,Owner,All,All,All
"Newport News city, Virginia",38310.0,1111.0,3.0,05000US51700,51,700,S,Owner,No overcrowding,All,All
"Newport News city, Virginia",2540.0,477.0,4.0,05000US51700,51,700,S,Owner,No overcrowding,30% AMI or less,All
"Newport News city, Virginia",980.0,273.0,5.0,05000US51700,51,700,D,Owner,No overcrowding,30% AMI or less,1 family household
"Newport News city, Virginia",35.0,40.0,6.0,05000US51700,51,700,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Newport News city, Virginia",1525.0,362.0,7.0,05000US51700,51,700,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Newport News city, Virginia",2715.0,487.0,8.0,05000US51700,51,700,S,Owner,No overcrowding,30.1-50% AMI,All
"Newport News city, Virginia",1240.0,374.0,9.0,05000US51700,51,700,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Newport News city, Virginia",50.0,49.0,10.0,05000US51700,51,700,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Newport News city, Virginia",1425.0,322.0,11.0,05000US51700,51,700,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Newport News city, Virginia",5890.0,604.0,12.0,05000US51700,51,700,S,Owner,No overcrowding,50.1-80% AMI,All
"Newport News city, Virginia",3550.0,572.0,13.0,05000US51700,51,700,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Newport News city, Virginia",160.0,125.0,14.0,05000US51700,51,700,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Newport News city, Virginia",2175.0,348.0,15.0,05000US51700,51,700,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Newport News city, Virginia",3180.0,529.0,16.0,05000US51700,51,700,S,Owner,No overcrowding,80.1-95% AMI,All
"Newport News city, Virginia",1945.0,369.0,17.0,05000US51700,51,700,D,Owner,No overcrowding,80.1-95% AMI,1 family household
"Newport News city, Virginia",130.0,91.0,18.0,05000US51700,51,700,D,Owner,No overcrowding,80.1-95% AMI,2+ families in household
"Newport News city, Virginia",1110.0,344.0,19.0,05000US51700,51,700,D,Owner,No overcrowding,80.1-95% AMI,Non-family household
"Newport News city, Virginia",23990.0,1140.0,20.0,05000US51700,51,700,S,Owner,No overcrowding,95.1% AMI and above,All
"Newport News city, Virginia",18935.0,1145.0,21.0,05000US51700,51,700,D,Owner,No overcrowding,95.1% AMI and above,1 family household
"Newport News city, Virginia",925.0,307.0,22.0,05000US51700,51,700,D,Owner,No overcrowding,95.1% AMI and above,2+ families in household
"Newport News city, Virginia",4130.0,462.0,23.0,05000US51700,51,700,D,Owner,No overcrowding,95.1% AMI and above,Non-family household
"Newport News city, Virginia",200.0,114.0,24.0,05000US51700,51,700,S,Owner,Moderate overcrowding,All,All
"Newport News city, Virginia",60.0,63.0,25.0,05000US51700,51,700,S,Owner,Moderate overcrowding,30% AMI or less,All
"Newport News city, Virginia",45.0,57.0,26.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30% AMI or less,1 family household
"Newport News city, Virginia",15.0,25.0,27.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30% AMI or less,2+ families in household
"Newport News city, Virginia",0.0,161.0,28.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30% AMI or less,Non-family household
"Newport News city, Virginia",15.0,27.0,29.0,05000US51700,51,700,S,Owner,Moderate overcrowding,30.1-50% AMI,All
"Newport News city, Virginia",15.0,27.0,30.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30.1-50% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,31.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30.1-50% AMI,2+ families in household
"Newport News city, Virginia",0.0,161.0,32.0,05000US51700,51,700,D,Owner,Moderate overcrowding,30.1-50% AMI,Non-family household
"Newport News city, Virginia",40.0,47.0,33.0,05000US51700,51,700,S,Owner,Moderate overcrowding,50.1-80% AMI,All
"Newport News city, Virginia",20.0,34.0,34.0,05000US51700,51,700,D,Owner,Moderate overcrowding,50.1-80% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,35.0,05000US51700,51,700,D,Owner,Moderate overcrowding,50.1-80% AMI,2+ families in household
"Newport News city, Virginia",20.0,38.0,36.0,05000US51700,51,700,D,Owner,Moderate overcrowding,50.1-80% AMI,Non-family household
"Newport News city, Virginia",0.0,161.0,37.0,05000US51700,51,700,S,Owner,Moderate overcrowding,80.1-95% AMI,All
"Newport News city, Virginia",0.0,161.0,38.0,05000US51700,51,700,D,Owner,Moderate overcrowding,80.1-95% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,39.0,05000US51700,51,700,D,Owner,Moderate overcrowding,80.1-95% AMI,2+ families in household
"Newport News city, Virginia",0.0,161.0,40.0,05000US51700,51,700,D,Owner,Moderate overcrowding,80.1-95% AMI,Non-family household
"Newport News city, Virginia",80.0,68.0,41.0,05000US51700,51,700,S,Owner,Moderate overcrowding,95.1% AMI and above,All
"Newport News city, Virginia",35.0,60.0,42.0,05000US51700,51,700,D,Owner,Moderate overcrowding,95.1% AMI and above,1 family household
"Newport News city, Virginia",45.0,52.0,43.0,05000US51700,51,700,D,Owner,Moderate overcrowding,95.1% AMI and above,2+ families in household
"Newport News city, Virginia",0.0,161.0,44.0,05000US51700,51,700,D,Owner,Moderate overcrowding,95.1% AMI and above,Non-family household
"Newport News city, Virginia",20.0,34.0,45.0,05000US51700,51,700,S,Owner,Severe overcrowding,All,All
"Newport News city, Virginia",20.0,34.0,46.0,05000US51700,51,700,S,Owner,Severe overcrowding,30% AMI or less,All
"Newport News city, Virginia",20.0,34.0,47.0,05000US51700,51,700,D,Owner,Severe overcrowding,30% AMI or less,1 family household
"Newport News city, Virginia",0.0,161.0,48.0,05000US51700,51,700,D,Owner,Severe overcrowding,30% AMI or less,2+ families in household
"Newport News city, Virginia",0.0,161.0,49.0,05000US51700,51,700,D,Owner,Severe overcrowding,30% AMI or less,Non-family household
"Newport News city, Virginia",0.0,161.0,50.0,05000US51700,51,700,S,Owner,Severe overcrowding,30.1-50% AMI,All
"Newport News city, Virginia",0.0,161.0,51.0,05000US51700,51,700,D,Owner,Severe overcrowding,30.1-50% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,52.0,05000US51700,51,700,D,Owner,Severe overcrowding,30.1-50% AMI,2+ families in household
"Newport News city, Virginia",0.0,161.0,53.0,05000US51700,51,700,D,Owner,Severe overcrowding,30.1-50% AMI,Non-family household
"Newport News city, Virginia",0.0,161.0,54.0,05000US51700,51,700,S,Owner,Severe overcrowding,50.1-80% AMI,All
"Newport News city, Virginia",0.0,161.0,55.0,05000US51700,51,700,D,Owner,Severe overcrowding,50.1-80% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,56.0,05000US51700,51,700,D,Owner,Severe overcrowding,50.1-80% AMI,2+ families in household
"Newport News city, Virginia",0.0,161.0,57.0,05000US51700,51,700,D,Owner,Severe overcrowding,50.1-80% AMI,Non-family household
"Newport News city, Virginia",0.0,161.0,58.0,05000US51700,51,700,S,Owner,Severe overcrowding,80.1-95% AMI,All
"Newport News city, Virginia",0.0,161.0,59.0,05000US51700,51,700,D,Owner,Severe overcrowding,80.1-95% AMI,1 family household
"Newport News city, Virginia",0.0,161.0,60.0,05000US51700,51,700,D,Owner,Severe overcrowding,80.1-95% AMI,2+ families in household
"Newport News city, Virginia",0.0,161.0,61.0,05000US51700,51,700,D,Owner,Severe overcrowding,80.1-95% AMI,Non-family household
"Newport News city, Virginia",0.0,161.0,62.0,05000US51700,51,700,S,Owner,Severe overcrowding,95.1% AMI and above,All
"Newport News city, Virginia",0.0,161.0,63.0,05000US51700,51,700,D,Owner,Severe overcrowding,95.1% AMI and above,1 family household
"Newport News city, Virginia",0.0,161.0,64.0,05000US51700,51,700,D,Owner,Severe overcrowding,95.1% AMI and above,2+ families in household
"Newport News city, Virginia",0.0,161.0,65.0,05000US51700,51,700,D,Owner,Severe overcrowding,95.1% AMI and above,Non-family household
"Newport News city, Virginia",34745.0,1133.0,66.0,05000US51700,51,700,S,Renter,All,All,All
"Newport News city, Virginia",33955.0,1135.0,67.0,05000US51700,51,700,S,Renter,No overcrowding,All,All
"Newport News city, Virginia",7810.0,788.0,68.0,05000US51700,51,700,S,Renter,No overcrowding,30% AMI or less,All
"Newport News city, Virginia",4070.0,711.0,69.0,05000US51700,51,700,D,Renter,No overcrowding,30% AMI or less,1 family household
"Newport News city, Virginia",75.0,92.0,70.0,05000US51700,51,700,D,Renter,No overcrowding,30% AMI or less,2+ families in household
"Newport News city, Virginia",3665.0,496.0,71.0,05000US51700,51,700,D,Renter,No overcrowding,30% AMI or less,Non-family household
"Newport News city, Virginia",6030.0,789.0,72.0,05000US51700,51,700,S,Renter,No overcrowding,30.1-50% AMI,All
"Newport News city, Virginia",2655.0,510.0,73.0,05000US51700,51,700,D,Renter,No overcrowding,30.1-50% AMI,1 family household
"Newport News city, Virginia",45.0,58.0,74.0,05000US51700,51,700,D,Renter,No overcrowding,30.1-50% AMI,2+ families in household
"Newport News city, Virginia",3325.0,563.0,75.0,05000US51700,51,700,D,Renter,No overcrowding,30.1-50% AMI,Non-family household
