name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Overcrowding,Household_Income,Family_Structure
"Staunton city, Virginia",9710.0,381.0,1.0,05000US51790,51,790,T,All,All,All,All
"Staunton city, Virginia",5780.0,380.0,2.0,05000US51790,51,790,S,Owner,All,All,All
"Staunton city, Virginia",5780.0,380.0,3.0,05000US51790,51,790,S,Owner,No overcrowding,All,All
"Staunton city, Virginia",485.0,207.0,4.0,05000US51790,51,790,S,Owner,No overcrowding,30% AMI or less,All
"Staunton city, Virginia",120.0,76.0,5.0,05000US51790,51,790,D,Owner,No overcrowding,30% AMI or less,1 family household
"Staunton city, Virginia",95.0,120.0,6.0,05000US51790,51,790,D,Owner,No overcrowding,30% AMI or less,2+ families in household
"Staunton city, Virginia",270.0,153.0,7.0,05000US51790,51,790,D,Owner,No overcrowding,30% AMI or less,Non-family household
"Staunton city, Virginia",475.0,164.0,8.0,05000US51790,51,790,S,Owner,No overcrowding,30.1-50% AMI,All
"Staunton city, Virginia",220.0,125.0,9.0,05000US51790,51,790,D,Owner,No overcrowding,30.1-50% AMI,1 family household
"Staunton city, Virginia",0.0,161.0,10.0,05000US51790,51,790,D,Owner,No overcrowding,30.1-50% AMI,2+ families in household
"Staunton city, Virginia",255.0,123.0,11.0,05000US51790,51,790,D,Owner,No overcrowding,30.1-50% AMI,Non-family household
"Staunton city, Virginia",825.0,224.0,12.0,05000US51790,51,790,S,Owner,No overcrowding,50.1-80% AMI,All
"Staunton city, Virginia",465.0,160.0,13.0,05000US51790,51,790,D,Owner,No overcrowding,50.1-80% AMI,1 family household
"Staunton city, Virginia",45.0,66.0,14.0,05000US51790,51,790,D,Owner,No overcrowding,50.1-80% AMI,2+ families in household
"Staunton city, Virginia",315.0,113.0,15.0,05000US51790,51,790,D,Owner,No overcrowding,50.1-80% AMI,Non-family household
"Staunton city, Virginia",565.0,190.0,16.0,05000US51790,51,790,S,Owner,No overcrowding,80.1-95% AMI,All
"Staunton city, Virginia",240.0,123.0,17.0,05000US51790,51,790,D,Owner,No overcrowding,80.1-95% AMI,1 family household
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Owner,No overcrowding,80.1-95% AMI,2+ families in household
"Staunton city, Virginia",325.0,161.0,19.0,05000US51790,51,790,D,Owner,No overcrowding,80.1-95% AMI,Non-family household
"Staunton city, Virginia",3430.0,347.0,20.0,05000US51790,51,790,S,Owner,No overcrowding,95.1% AMI and above,All
"Staunton city, Virginia",2635.0,322.0,21.0,05000US51790,51,790,D,Owner,No overcrowding,95.1% AMI and above,1 family household
"Staunton city, Virginia",80.0,100.0,22.0,05000US51790,51,790,D,Owner,No overcrowding,95.1% AMI and above,2+ families in household
"Staunton city, Virginia",715.0,204.0,23.0,05000US51790,51,790,D,Owner,No overcrowding,95.1% AMI and above,Non-family household
"Staunton city, Virginia",0.0,161.0,24.0,05000US51790,51,790,S,Owner,Moderate overcrowding,All,All
"Staunton city, Virginia",0.0,161.0,25.0,05000US51790,51,790,S,Owner,Moderate overcrowding,30% AMI or less,All
"Staunton city, Virginia",0.0,161.0,26.0,05000US51790,51,790,D,Owner,Moderate overcrowding,30% AMI or less,1 family household
"Staunton city, Virginia",0.0,161.0,27.0,05000US51790,51,790,D,Owner,Moderate overcrowding,30% AMI or less,2+ families in household
"Staunton city, Virginia",0.0,161.0,28.0,05000US51790,51,790,D,Owner,Moderate overcrowding,30% AMI or less,Non-family household
