name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Roanoke County, Virginia",7630.0,748.0,1.0,05000US51161,51,161,T,All,All,All,All
"Roanoke County, Virginia",100.0,78.0,2.0,05000US51161,51,161,S,Substandard,All,All,All
"Roanoke County, Virginia",7530.0,755.0,3.0,05000US51161,51,161,S,Standard,All,All,All
"Roanoke County, Virginia",795.0,233.0,4.0,05000US51161,51,161,S,Standard,RHUD30,All,All
"Roanoke County, Virginia",335.0,172.0,5.0,05000US51161,51,161,S,Standard,RHUD30,30% AMI or less,All
"Roanoke County, Virginia",190.0,125.0,6.0,05000US51161,51,161,D,Standard,RHUD30,30% AMI or less,0 or 1
"Roanoke County, Virginia",25.0,43.0,7.0,05000US51161,51,161,D,Standard,RHUD30,30% AMI or less,2
"Roanoke County, Virginia",120.0,115.0,8.0,05000US51161,51,161,D,Standard,RHUD30,30% AMI or less,3 or more
"Roanoke County, Virginia",125.0,87.0,9.0,05000US51161,51,161,S,Standard,RHUD30,30.1-50% AMI,All
"Roanoke County, Virginia",70.0,64.0,10.0,05000US51161,51,161,D,Standard,RHUD30,30.1-50% AMI,0 or 1
"Roanoke County, Virginia",60.0,61.0,11.0,05000US51161,51,161,D,Standard,RHUD30,30.1-50% AMI,2
"Roanoke County, Virginia",0.0,161.0,12.0,05000US51161,51,161,D,Standard,RHUD30,30.1-50% AMI,3 or more
"Roanoke County, Virginia",195.0,123.0,13.0,05000US51161,51,161,S,Standard,RHUD30,50.1-80% AMI,All
"Roanoke County, Virginia",0.0,161.0,14.0,05000US51161,51,161,D,Standard,RHUD30,50.1-80% AMI,0 or 1
"Roanoke County, Virginia",35.0,41.0,15.0,05000US51161,51,161,D,Standard,RHUD30,50.1-80% AMI,2
"Roanoke County, Virginia",160.0,115.0,16.0,05000US51161,51,161,D,Standard,RHUD30,50.1-80% AMI,3 or more
"Roanoke County, Virginia",20.0,42.0,17.0,05000US51161,51,161,S,Standard,RHUD30,80.1-95% AMI,All
"Roanoke County, Virginia",0.0,161.0,18.0,05000US51161,51,161,D,Standard,RHUD30,80.1-95% AMI,0 or 1
"Roanoke County, Virginia",20.0,42.0,19.0,05000US51161,51,161,D,Standard,RHUD30,80.1-95% AMI,2
"Roanoke County, Virginia",0.0,161.0,20.0,05000US51161,51,161,D,Standard,RHUD30,80.1-95% AMI,3 or more
"Roanoke County, Virginia",115.0,79.0,21.0,05000US51161,51,161,S,Standard,RHUD30,95.1% AMI and above,All
"Roanoke County, Virginia",0.0,161.0,22.0,05000US51161,51,161,D,Standard,RHUD30,95.1% AMI and above,0 or 1
"Roanoke County, Virginia",35.0,42.0,23.0,05000US51161,51,161,D,Standard,RHUD30,95.1% AMI and above,2
"Roanoke County, Virginia",80.0,67.0,24.0,05000US51161,51,161,D,Standard,RHUD30,95.1% AMI and above,3 or more
"Roanoke County, Virginia",2065.0,437.0,25.0,05000US51161,51,161,S,Standard,RHUD50,All,All
"Roanoke County, Virginia",385.0,241.0,26.0,05000US51161,51,161,S,Standard,RHUD50,30% AMI or less,All
"Roanoke County, Virginia",0.0,161.0,27.0,05000US51161,51,161,D,Standard,RHUD50,30% AMI or less,0 or 1
"Roanoke County, Virginia",235.0,178.0,28.0,05000US51161,51,161,D,Standard,RHUD50,30% AMI or less,2
"Roanoke County, Virginia",150.0,166.0,29.0,05000US51161,51,161,D,Standard,RHUD50,30% AMI or less,3 or more
"Roanoke County, Virginia",360.0,198.0,30.0,05000US51161,51,161,S,Standard,RHUD50,30.1-50% AMI,All
"Roanoke County, Virginia",175.0,129.0,31.0,05000US51161,51,161,D,Standard,RHUD50,30.1-50% AMI,0 or 1
"Roanoke County, Virginia",65.0,66.0,32.0,05000US51161,51,161,D,Standard,RHUD50,30.1-50% AMI,2
"Roanoke County, Virginia",120.0,130.0,33.0,05000US51161,51,161,D,Standard,RHUD50,30.1-50% AMI,3 or more
"Roanoke County, Virginia",520.0,204.0,34.0,05000US51161,51,161,S,Standard,RHUD50,50.1-80% AMI,All
"Roanoke County, Virginia",60.0,60.0,35.0,05000US51161,51,161,D,Standard,RHUD50,50.1-80% AMI,0 or 1
"Roanoke County, Virginia",430.0,208.0,36.0,05000US51161,51,161,D,Standard,RHUD50,50.1-80% AMI,2
"Roanoke County, Virginia",30.0,33.0,37.0,05000US51161,51,161,D,Standard,RHUD50,50.1-80% AMI,3 or more
"Roanoke County, Virginia",280.0,199.0,38.0,05000US51161,51,161,S,Standard,RHUD50,80.1-95% AMI,All
"Roanoke County, Virginia",105.0,115.0,39.0,05000US51161,51,161,D,Standard,RHUD50,80.1-95% AMI,0 or 1
"Roanoke County, Virginia",165.0,152.0,40.0,05000US51161,51,161,D,Standard,RHUD50,80.1-95% AMI,2
