name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Salem city, Virginia",155.0,120.0,49.0,05000US51775,51,775,D,Standard,RHUD80,30% AMI or less,2
"Salem city, Virginia",0.0,161.0,50.0,05000US51775,51,775,D,Standard,RHUD80,30% AMI or less,3 or more
"Salem city, Virginia",255.0,161.0,51.0,05000US51775,51,775,S,Standard,RHUD80,30.1-50% AMI,All
"Salem city, Virginia",45.0,58.0,52.0,05000US51775,51,775,D,Standard,RHUD80,30.1-50% AMI,0 or 1
"Salem city, Virginia",120.0,84.0,53.0,05000US51775,51,775,D,Standard,RHUD80,30.1-50% AMI,2
"Salem city, Virginia",95.0,103.0,54.0,05000US51775,51,775,D,Standard,RHUD80,30.1-50% AMI,3 or more
"Salem city, Virginia",260.0,114.0,55.0,05000US51775,51,775,S,Standard,RHUD80,50.1-80% AMI,All
"Salem city, Virginia",30.0,48.0,56.0,05000US51775,51,775,D,Standard,RHUD80,50.1-80% AMI,0 or 1
"Salem city, Virginia",150.0,108.0,57.0,05000US51775,51,775,D,Standard,RHUD80,50.1-80% AMI,2
"Salem city, Virginia",80.0,72.0,58.0,05000US51775,51,775,D,Standard,RHUD80,50.1-80% AMI,3 or more
"Salem city, Virginia",135.0,114.0,59.0,05000US51775,51,775,S,Standard,RHUD80,80.1-95% AMI,All
"Salem city, Virginia",15.0,24.0,60.0,05000US51775,51,775,D,Standard,RHUD80,80.1-95% AMI,0 or 1
"Salem city, Virginia",75.0,92.0,61.0,05000US51775,51,775,D,Standard,RHUD80,80.1-95% AMI,2
"Salem city, Virginia",45.0,61.0,62.0,05000US51775,51,775,D,Standard,RHUD80,80.1-95% AMI,3 or more
"Salem city, Virginia",490.0,214.0,63.0,05000US51775,51,775,S,Standard,RHUD80,95.1% AMI and above,All
"Salem city, Virginia",90.0,87.0,64.0,05000US51775,51,775,D,Standard,RHUD80,95.1% AMI and above,0 or 1
"Salem city, Virginia",285.0,195.0,65.0,05000US51775,51,775,D,Standard,RHUD80,95.1% AMI and above,2
"Salem city, Virginia",110.0,134.0,66.0,05000US51775,51,775,D,Standard,RHUD80,95.1% AMI and above,3 or more
"Salem city, Virginia",55.0,57.0,67.0,05000US51775,51,775,S,Standard,Greater than RHUD80,All,All
"Salem city, Virginia",0.0,161.0,68.0,05000US51775,51,775,S,Standard,Greater than RHUD80,30% AMI or less,All
"Salem city, Virginia",0.0,161.0,69.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30% AMI or less,0 or 1
"Salem city, Virginia",0.0,161.0,70.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30% AMI or less,2
"Salem city, Virginia",0.0,161.0,71.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30% AMI or less,3 or more
"Salem city, Virginia",0.0,161.0,72.0,05000US51775,51,775,S,Standard,Greater than RHUD80,30.1-50% AMI,All
"Salem city, Virginia",0.0,161.0,73.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30.1-50% AMI,0 or 1
"Salem city, Virginia",0.0,161.0,74.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30.1-50% AMI,2
"Salem city, Virginia",0.0,161.0,75.0,05000US51775,51,775,D,Standard,Greater than RHUD80,30.1-50% AMI,3 or more
"Salem city, Virginia",20.0,37.0,76.0,05000US51775,51,775,S,Standard,Greater than RHUD80,50.1-80% AMI,All
"Salem city, Virginia",0.0,161.0,77.0,05000US51775,51,775,D,Standard,Greater than RHUD80,50.1-80% AMI,0 or 1
"Salem city, Virginia",0.0,161.0,78.0,05000US51775,51,775,D,Standard,Greater than RHUD80,50.1-80% AMI,2
"Salem city, Virginia",20.0,37.0,79.0,05000US51775,51,775,D,Standard,Greater than RHUD80,50.1-80% AMI,3 or more
"Salem city, Virginia",0.0,161.0,80.0,05000US51775,51,775,S,Standard,Greater than RHUD80,80.1-95% AMI,All
"Salem city, Virginia",0.0,161.0,81.0,05000US51775,51,775,D,Standard,Greater than RHUD80,80.1-95% AMI,0 or 1
"Salem city, Virginia",0.0,161.0,82.0,05000US51775,51,775,D,Standard,Greater than RHUD80,80.1-95% AMI,2
"Salem city, Virginia",0.0,161.0,83.0,05000US51775,51,775,D,Standard,Greater than RHUD80,80.1-95% AMI,3 or more
"Salem city, Virginia",35.0,44.0,84.0,05000US51775,51,775,S,Standard,Greater than RHUD80,95.1% AMI and above,All
"Salem city, Virginia",0.0,161.0,85.0,05000US51775,51,775,D,Standard,Greater than RHUD80,95.1% AMI and above,0 or 1
"Salem city, Virginia",20.0,36.0,86.0,05000US51775,51,775,D,Standard,Greater than RHUD80,95.1% AMI and above,2
"Salem city, Virginia",15.0,28.0,87.0,05000US51775,51,775,D,Standard,Greater than RHUD80,95.1% AMI and above,3 or more
