name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Newport News city, Virginia",34745.0,1133.0,1.0,05000US51700,51,700,T,All,All,All,All
"Newport News city, Virginia",470.0,217.0,2.0,05000US51700,51,700,S,Substandard,All,All,All
"Newport News city, Virginia",34275.0,1174.0,3.0,05000US51700,51,700,S,Standard,All,All,All
"Newport News city, Virginia",5360.0,604.0,4.0,05000US51700,51,700,S,Standard,RHUD30,All,All
"Newport News city, Virginia",3045.0,397.0,5.0,05000US51700,51,700,S,Standard,RHUD30,30% AMI or less,All
"Newport News city, Virginia",1570.0,294.0,6.0,05000US51700,51,700,D,Standard,RHUD30,30% AMI or less,0 or 1
"Newport News city, Virginia",1135.0,336.0,7.0,05000US51700,51,700,D,Standard,RHUD30,30% AMI or less,2
"Newport News city, Virginia",340.0,143.0,8.0,05000US51700,51,700,D,Standard,RHUD30,30% AMI or less,3 or more
"Newport News city, Virginia",710.0,235.0,9.0,05000US51700,51,700,S,Standard,RHUD30,30.1-50% AMI,All
"Newport News city, Virginia",185.0,116.0,10.0,05000US51700,51,700,D,Standard,RHUD30,30.1-50% AMI,0 or 1
"Newport News city, Virginia",300.0,159.0,11.0,05000US51700,51,700,D,Standard,RHUD30,30.1-50% AMI,2
"Newport News city, Virginia",225.0,156.0,12.0,05000US51700,51,700,D,Standard,RHUD30,30.1-50% AMI,3 or more
"Newport News city, Virginia",685.0,278.0,13.0,05000US51700,51,700,S,Standard,RHUD30,50.1-80% AMI,All
"Newport News city, Virginia",50.0,58.0,14.0,05000US51700,51,700,D,Standard,RHUD30,50.1-80% AMI,0 or 1
"Newport News city, Virginia",460.0,238.0,15.0,05000US51700,51,700,D,Standard,RHUD30,50.1-80% AMI,2
"Newport News city, Virginia",175.0,124.0,16.0,05000US51700,51,700,D,Standard,RHUD30,50.1-80% AMI,3 or more
"Newport News city, Virginia",345.0,196.0,17.0,05000US51700,51,700,S,Standard,RHUD30,80.1-95% AMI,All
"Newport News city, Virginia",20.0,32.0,18.0,05000US51700,51,700,D,Standard,RHUD30,80.1-95% AMI,0 or 1
"Newport News city, Virginia",240.0,165.0,19.0,05000US51700,51,700,D,Standard,RHUD30,80.1-95% AMI,2
"Newport News city, Virginia",85.0,102.0,20.0,05000US51700,51,700,D,Standard,RHUD30,80.1-95% AMI,3 or more
"Newport News city, Virginia",580.0,304.0,21.0,05000US51700,51,700,S,Standard,RHUD30,95.1% AMI and above,All
"Newport News city, Virginia",25.0,48.0,22.0,05000US51700,51,700,D,Standard,RHUD30,95.1% AMI and above,0 or 1
"Newport News city, Virginia",330.0,220.0,23.0,05000US51700,51,700,D,Standard,RHUD30,95.1% AMI and above,2
"Newport News city, Virginia",220.0,135.0,24.0,05000US51700,51,700,D,Standard,RHUD30,95.1% AMI and above,3 or more
"Newport News city, Virginia",7150.0,750.0,25.0,05000US51700,51,700,S,Standard,RHUD50,All,All
"Newport News city, Virginia",1580.0,342.0,26.0,05000US51700,51,700,S,Standard,RHUD50,30% AMI or less,All
"Newport News city, Virginia",255.0,163.0,27.0,05000US51700,51,700,D,Standard,RHUD50,30% AMI or less,0 or 1
"Newport News city, Virginia",955.0,297.0,28.0,05000US51700,51,700,D,Standard,RHUD50,30% AMI or less,2
