name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Portsmouth city, Virginia",8210.0,815.0,46.0,05000US51740,51,740,S,Standard,RHUD80,All,All
"Portsmouth city, Virginia",1685.0,402.0,47.0,05000US51740,51,740,S,Standard,RHUD80,30% AMI or less,All
"Portsmouth city, Virginia",155.0,101.0,48.0,05000US51740,51,740,D,Standard,RHUD80,30% AMI or less,0 or 1
"Portsmouth city, Virginia",1155.0,332.0,49.0,05000US51740,51,740,D,Standard,RHUD80,30% AMI or less,2
"Portsmouth city, Virginia",375.0,224.0,50.0,05000US51740,51,740,D,Standard,RHUD80,30% AMI or less,3 or more
"Portsmouth city, Virginia",1640.0,461.0,51.0,05000US51740,51,740,S,Standard,RHUD80,30.1-50% AMI,All
"Portsmouth city, Virginia",300.0,218.0,52.0,05000US51740,51,740,D,Standard,RHUD80,30.1-50% AMI,0 or 1
"Portsmouth city, Virginia",845.0,307.0,53.0,05000US51740,51,740,D,Standard,RHUD80,30.1-50% AMI,2
"Portsmouth city, Virginia",495.0,266.0,54.0,05000US51740,51,740,D,Standard,RHUD80,30.1-50% AMI,3 or more
"Portsmouth city, Virginia",1675.0,420.0,55.0,05000US51740,51,740,S,Standard,RHUD80,50.1-80% AMI,All
"Portsmouth city, Virginia",305.0,172.0,56.0,05000US51740,51,740,D,Standard,RHUD80,50.1-80% AMI,0 or 1
"Portsmouth city, Virginia",850.0,333.0,57.0,05000US51740,51,740,D,Standard,RHUD80,50.1-80% AMI,2
"Portsmouth city, Virginia",520.0,241.0,58.0,05000US51740,51,740,D,Standard,RHUD80,50.1-80% AMI,3 or more
"Portsmouth city, Virginia",695.0,304.0,59.0,05000US51740,51,740,S,Standard,RHUD80,80.1-95% AMI,All
"Portsmouth city, Virginia",100.0,94.0,60.0,05000US51740,51,740,D,Standard,RHUD80,80.1-95% AMI,0 or 1
"Portsmouth city, Virginia",375.0,216.0,61.0,05000US51740,51,740,D,Standard,RHUD80,80.1-95% AMI,2
"Portsmouth city, Virginia",220.0,162.0,62.0,05000US51740,51,740,D,Standard,RHUD80,80.1-95% AMI,3 or more
"Portsmouth city, Virginia",2520.0,585.0,63.0,05000US51740,51,740,S,Standard,RHUD80,95.1% AMI and above,All
"Portsmouth city, Virginia",330.0,248.0,64.0,05000US51740,51,740,D,Standard,RHUD80,95.1% AMI and above,0 or 1
"Portsmouth city, Virginia",1585.0,412.0,65.0,05000US51740,51,740,D,Standard,RHUD80,95.1% AMI and above,2
"Portsmouth city, Virginia",605.0,277.0,66.0,05000US51740,51,740,D,Standard,RHUD80,95.1% AMI and above,3 or more
"Portsmouth city, Virginia",1095.0,323.0,67.0,05000US51740,51,740,S,Standard,Greater than RHUD80,All,All
"Portsmouth city, Virginia",25.0,39.0,68.0,05000US51740,51,740,S,Standard,Greater than RHUD80,30% AMI or less,All
"Portsmouth city, Virginia",10.0,18.0,69.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30% AMI or less,0 or 1
"Portsmouth city, Virginia",15.0,32.0,70.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30% AMI or less,2
"Portsmouth city, Virginia",0.0,161.0,71.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30% AMI or less,3 or more
"Portsmouth city, Virginia",120.0,113.0,72.0,05000US51740,51,740,S,Standard,Greater than RHUD80,30.1-50% AMI,All
"Portsmouth city, Virginia",0.0,161.0,73.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30.1-50% AMI,0 or 1
"Portsmouth city, Virginia",45.0,52.0,74.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30.1-50% AMI,2
"Portsmouth city, Virginia",80.0,99.0,75.0,05000US51740,51,740,D,Standard,Greater than RHUD80,30.1-50% AMI,3 or more
"Portsmouth city, Virginia",155.0,93.0,76.0,05000US51740,51,740,S,Standard,Greater than RHUD80,50.1-80% AMI,All
"Portsmouth city, Virginia",15.0,25.0,77.0,05000US51740,51,740,D,Standard,Greater than RHUD80,50.1-80% AMI,0 or 1
"Portsmouth city, Virginia",25.0,30.0,78.0,05000US51740,51,740,D,Standard,Greater than RHUD80,50.1-80% AMI,2
"Portsmouth city, Virginia",120.0,86.0,79.0,05000US51740,51,740,D,Standard,Greater than RHUD80,50.1-80% AMI,3 or more
"Portsmouth city, Virginia",130.0,96.0,80.0,05000US51740,51,740,S,Standard,Greater than RHUD80,80.1-95% AMI,All
"Portsmouth city, Virginia",0.0,161.0,81.0,05000US51740,51,740,D,Standard,Greater than RHUD80,80.1-95% AMI,0 or 1
"Portsmouth city, Virginia",50.0,63.0,82.0,05000US51740,51,740,D,Standard,Greater than RHUD80,80.1-95% AMI,2
"Portsmouth city, Virginia",75.0,73.0,83.0,05000US51740,51,740,D,Standard,Greater than RHUD80,80.1-95% AMI,3 or more
"Portsmouth city, Virginia",665.0,262.0,84.0,05000US51740,51,740,S,Standard,Greater than RHUD80,95.1% AMI and above,All
"Portsmouth city, Virginia",200.0,143.0,85.0,05000US51740,51,740,D,Standard,Greater than RHUD80,95.1% AMI and above,0 or 1
"Portsmouth city, Virginia",275.0,174.0,86.0,05000US51740,51,740,D,Standard,Greater than RHUD80,95.1% AMI and above,2
"Portsmouth city, Virginia",185.0,124.0,87.0,05000US51740,51,740,D,Standard,Greater than RHUD80,95.1% AMI and above,3 or more
