name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Race
"Gloucester County, Virginia",14380.0,432.0,1.0,05000US51073,51,073,T,All,All,All,All
"Gloucester County, Virginia",11495.0,586.0,2.0,05000US51073,51,073,S,Owner,All,All,All
"Gloucester County, Virginia",2610.0,395.0,3.0,05000US51073,51,073,S,Owner,Yes,All,All
"Gloucester County, Virginia",285.0,124.0,4.0,05000US51073,51,073,S,Owner,Yes,30% AMI or less,All
"Gloucester County, Virginia",245.0,120.0,5.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,White
"Gloucester County, Virginia",35.0,43.0,6.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,Black
"Gloucester County, Virginia",0.0,161.0,7.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,Asian
"Gloucester County, Virginia",0.0,161.0,8.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,American Indian
"Gloucester County, Virginia",0.0,161.0,9.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,10.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,Hispanic
"Gloucester County, Virginia",0.0,161.0,11.0,05000US51073,51,073,D,Owner,Yes,30% AMI or less,Other
"Gloucester County, Virginia",400.0,139.0,12.0,05000US51073,51,073,S,Owner,Yes,30.1-50% AMI,All
"Gloucester County, Virginia",300.0,129.0,13.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,White
"Gloucester County, Virginia",55.0,59.0,14.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,Black
"Gloucester County, Virginia",0.0,161.0,15.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,Asian
"Gloucester County, Virginia",0.0,161.0,16.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,American Indian
"Gloucester County, Virginia",0.0,161.0,17.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,18.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,Hispanic
"Gloucester County, Virginia",45.0,55.0,19.0,05000US51073,51,073,D,Owner,Yes,30.1-50% AMI,Other
"Gloucester County, Virginia",760.0,243.0,20.0,05000US51073,51,073,S,Owner,Yes,50.1-80% AMI,All
"Gloucester County, Virginia",600.0,222.0,21.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,White
"Gloucester County, Virginia",95.0,91.0,22.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,Black
"Gloucester County, Virginia",0.0,161.0,23.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,Asian
"Gloucester County, Virginia",30.0,45.0,24.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,American Indian
"Gloucester County, Virginia",0.0,161.0,25.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"Gloucester County, Virginia",35.0,53.0,26.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,Hispanic
"Gloucester County, Virginia",0.0,161.0,27.0,05000US51073,51,073,D,Owner,Yes,50.1-80% AMI,Other
"Gloucester County, Virginia",440.0,215.0,28.0,05000US51073,51,073,S,Owner,Yes,80.1-95% AMI,All
"Gloucester County, Virginia",405.0,212.0,29.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,White
"Gloucester County, Virginia",0.0,161.0,30.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,Black
"Gloucester County, Virginia",0.0,161.0,31.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,Asian
"Gloucester County, Virginia",0.0,161.0,32.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,American Indian
"Gloucester County, Virginia",0.0,161.0,33.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,Pacific Islander
"Gloucester County, Virginia",35.0,54.0,34.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,Hispanic
"Gloucester County, Virginia",0.0,161.0,35.0,05000US51073,51,073,D,Owner,Yes,80.1-95% AMI,Other
"Gloucester County, Virginia",725.0,244.0,36.0,05000US51073,51,073,S,Owner,Yes,95.1% AMI and above,All
"Gloucester County, Virginia",675.0,239.0,37.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,White
"Gloucester County, Virginia",20.0,36.0,38.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,Black
"Gloucester County, Virginia",0.0,161.0,39.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,Asian
"Gloucester County, Virginia",0.0,161.0,40.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,American Indian
"Gloucester County, Virginia",0.0,161.0,41.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,42.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,Hispanic
"Gloucester County, Virginia",30.0,46.0,43.0,05000US51073,51,073,D,Owner,Yes,95.1% AMI and above,Other
"Gloucester County, Virginia",8775.0,575.0,44.0,05000US51073,51,073,S,Owner,No,All,All
"Gloucester County, Virginia",160.0,96.0,45.0,05000US51073,51,073,S,Owner,No,30% AMI or less,All
"Gloucester County, Virginia",140.0,89.0,46.0,05000US51073,51,073,D,Owner,No,30% AMI or less,White
"Gloucester County, Virginia",20.0,38.0,47.0,05000US51073,51,073,D,Owner,No,30% AMI or less,Black
"Gloucester County, Virginia",0.0,161.0,48.0,05000US51073,51,073,D,Owner,No,30% AMI or less,Asian
"Gloucester County, Virginia",0.0,161.0,49.0,05000US51073,51,073,D,Owner,No,30% AMI or less,American Indian
"Gloucester County, Virginia",0.0,161.0,50.0,05000US51073,51,073,D,Owner,No,30% AMI or less,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,51.0,05000US51073,51,073,D,Owner,No,30% AMI or less,Hispanic
"Gloucester County, Virginia",0.0,161.0,52.0,05000US51073,51,073,D,Owner,No,30% AMI or less,Other
"Gloucester County, Virginia",485.0,178.0,53.0,05000US51073,51,073,S,Owner,No,30.1-50% AMI,All
"Gloucester County, Virginia",405.0,160.0,54.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,White
"Gloucester County, Virginia",80.0,103.0,55.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,Black
"Gloucester County, Virginia",0.0,161.0,56.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,Asian
"Gloucester County, Virginia",0.0,161.0,57.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,American Indian
"Gloucester County, Virginia",0.0,161.0,58.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,59.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,Hispanic
"Gloucester County, Virginia",0.0,161.0,60.0,05000US51073,51,073,D,Owner,No,30.1-50% AMI,Other
"Gloucester County, Virginia",1270.0,365.0,61.0,05000US51073,51,073,S,Owner,No,50.1-80% AMI,All
"Gloucester County, Virginia",1055.0,341.0,62.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,White
"Gloucester County, Virginia",215.0,133.0,63.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,Black
"Gloucester County, Virginia",0.0,161.0,64.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,Asian
"Gloucester County, Virginia",0.0,161.0,65.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,American Indian
"Gloucester County, Virginia",0.0,161.0,66.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,Pacific Islander
"Gloucester County, Virginia",0.0,161.0,67.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,Hispanic
"Gloucester County, Virginia",0.0,161.0,68.0,05000US51073,51,073,D,Owner,No,50.1-80% AMI,Other
"Gloucester County, Virginia",465.0,182.0,69.0,05000US51073,51,073,S,Owner,No,80.1-95% AMI,All
