name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Race
"Henrico County, Virginia",116620.0,1288.0,1.0,05000US51087,51,087,T,All,All,All,All
"Henrico County, Virginia",78365.0,1269.0,2.0,05000US51087,51,087,S,Owner,All,All,All
"Henrico County, Virginia",20345.0,1195.0,3.0,05000US51087,51,087,S,Owner,Yes,All,All
"Henrico County, Virginia",2615.0,481.0,4.0,05000US51087,51,087,S,Owner,Yes,30% AMI or less,All
"Henrico County, Virginia",1905.0,462.0,5.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,White
"Henrico County, Virginia",525.0,164.0,6.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,Black
"Henrico County, Virginia",100.0,65.0,7.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,Asian
"Henrico County, Virginia",0.0,161.0,8.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,American Indian
"Henrico County, Virginia",0.0,161.0,9.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,Pacific Islander
"Henrico County, Virginia",4.0,13.0,10.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,Hispanic
"Henrico County, Virginia",85.0,108.0,11.0,05000US51087,51,087,D,Owner,Yes,30% AMI or less,Other
"Henrico County, Virginia",3110.0,455.0,12.0,05000US51087,51,087,S,Owner,Yes,30.1-50% AMI,All
"Henrico County, Virginia",1685.0,335.0,13.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,White
"Henrico County, Virginia",1060.0,277.0,14.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,Black
"Henrico County, Virginia",280.0,137.0,15.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,Asian
"Henrico County, Virginia",0.0,161.0,16.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,American Indian
"Henrico County, Virginia",0.0,161.0,17.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Henrico County, Virginia",35.0,44.0,18.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,Hispanic
"Henrico County, Virginia",50.0,68.0,19.0,05000US51087,51,087,D,Owner,Yes,30.1-50% AMI,Other
"Henrico County, Virginia",7075.0,730.0,20.0,05000US51087,51,087,S,Owner,Yes,50.1-80% AMI,All
"Henrico County, Virginia",3950.0,554.0,21.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,White
"Henrico County, Virginia",2365.0,485.0,22.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,Black
"Henrico County, Virginia",565.0,227.0,23.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,Asian
"Henrico County, Virginia",10.0,25.0,24.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,American Indian
"Henrico County, Virginia",0.0,161.0,25.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"Henrico County, Virginia",95.0,66.0,26.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,Hispanic
"Henrico County, Virginia",90.0,77.0,27.0,05000US51087,51,087,D,Owner,Yes,50.1-80% AMI,Other
"Henrico County, Virginia",2370.0,487.0,28.0,05000US51087,51,087,S,Owner,Yes,80.1-95% AMI,All
"Henrico County, Virginia",1370.0,339.0,29.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,White
"Henrico County, Virginia",790.0,312.0,30.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,Black
"Henrico County, Virginia",60.0,48.0,31.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,Asian
"Henrico County, Virginia",10.0,16.0,32.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,American Indian
"Henrico County, Virginia",0.0,161.0,33.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,Pacific Islander
"Henrico County, Virginia",110.0,113.0,34.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,Hispanic
"Henrico County, Virginia",30.0,54.0,35.0,05000US51087,51,087,D,Owner,Yes,80.1-95% AMI,Other
"Henrico County, Virginia",5170.0,585.0,36.0,05000US51087,51,087,S,Owner,Yes,95.1% AMI and above,All
"Henrico County, Virginia",3415.0,454.0,37.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,White
"Henrico County, Virginia",1235.0,294.0,38.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,Black
"Henrico County, Virginia",335.0,127.0,39.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,Asian
"Henrico County, Virginia",20.0,39.0,40.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,American Indian
"Henrico County, Virginia",0.0,161.0,41.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,Pacific Islander
"Henrico County, Virginia",115.0,116.0,42.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,Hispanic
"Henrico County, Virginia",45.0,51.0,43.0,05000US51087,51,087,D,Owner,Yes,95.1% AMI and above,Other
"Henrico County, Virginia",57765.0,1482.0,44.0,05000US51087,51,087,S,Owner,No,All,All
"Henrico County, Virginia",350.0,141.0,45.0,05000US51087,51,087,S,Owner,No,30% AMI or less,All
"Henrico County, Virginia",280.0,131.0,46.0,05000US51087,51,087,D,Owner,No,30% AMI or less,White
"Henrico County, Virginia",65.0,58.0,47.0,05000US51087,51,087,D,Owner,No,30% AMI or less,Black
"Henrico County, Virginia",0.0,161.0,48.0,05000US51087,51,087,D,Owner,No,30% AMI or less,Asian
"Henrico County, Virginia",0.0,161.0,49.0,05000US51087,51,087,D,Owner,No,30% AMI or less,American Indian
"Henrico County, Virginia",0.0,161.0,50.0,05000US51087,51,087,D,Owner,No,30% AMI or less,Pacific Islander
"Henrico County, Virginia",0.0,161.0,51.0,05000US51087,51,087,D,Owner,No,30% AMI or less,Hispanic
"Henrico County, Virginia",0.0,161.0,52.0,05000US51087,51,087,D,Owner,No,30% AMI or less,Other
"Henrico County, Virginia",1735.0,347.0,53.0,05000US51087,51,087,S,Owner,No,30.1-50% AMI,All
"Henrico County, Virginia",1405.0,331.0,54.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,White
"Henrico County, Virginia",220.0,103.0,55.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,Black
"Henrico County, Virginia",55.0,45.0,56.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,Asian
"Henrico County, Virginia",0.0,161.0,57.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,American Indian
"Henrico County, Virginia",0.0,161.0,58.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,Pacific Islander
"Henrico County, Virginia",40.0,55.0,59.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,Hispanic
"Henrico County, Virginia",20.0,35.0,60.0,05000US51087,51,087,D,Owner,No,30.1-50% AMI,Other
"Henrico County, Virginia",4950.0,573.0,61.0,05000US51087,51,087,S,Owner,No,50.1-80% AMI,All
"Henrico County, Virginia",3915.0,476.0,62.0,05000US51087,51,087,D,Owner,No,50.1-80% AMI,White
"Henrico County, Virginia",765.0,279.0,63.0,05000US51087,51,087,D,Owner,No,50.1-80% AMI,Black
"Henrico County, Virginia",80.0,64.0,64.0,05000US51087,51,087,D,Owner,No,50.1-80% AMI,Asian
