name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Race
"Roanoke city, Virginia",41820.0,717.0,1.0,05000US51770,51,770,T,All,All,All,All
"Roanoke city, Virginia",24765.0,983.0,2.0,05000US51770,51,770,S,Owner,All,All,All
"Roanoke city, Virginia",6065.0,699.0,3.0,05000US51770,51,770,S,Owner,Yes,All,All
"Roanoke city, Virginia",1375.0,266.0,4.0,05000US51770,51,770,S,Owner,Yes,30% AMI or less,All
"Roanoke city, Virginia",930.0,251.0,5.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,White
"Roanoke city, Virginia",365.0,125.0,6.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,Black
"Roanoke city, Virginia",0.0,161.0,7.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,Asian
"Roanoke city, Virginia",0.0,161.0,8.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,American Indian
"Roanoke city, Virginia",0.0,161.0,9.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,Pacific Islander
"Roanoke city, Virginia",0.0,161.0,10.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,Hispanic
"Roanoke city, Virginia",75.0,81.0,11.0,05000US51770,51,770,D,Owner,Yes,30% AMI or less,Other
"Roanoke city, Virginia",1320.0,315.0,12.0,05000US51770,51,770,S,Owner,Yes,30.1-50% AMI,All
"Roanoke city, Virginia",835.0,262.0,13.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,White
"Roanoke city, Virginia",450.0,203.0,14.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,Black
"Roanoke city, Virginia",0.0,161.0,15.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,Asian
"Roanoke city, Virginia",0.0,161.0,16.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,American Indian
"Roanoke city, Virginia",0.0,161.0,17.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Roanoke city, Virginia",40.0,47.0,18.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,Hispanic
"Roanoke city, Virginia",0.0,161.0,19.0,05000US51770,51,770,D,Owner,Yes,30.1-50% AMI,Other
"Roanoke city, Virginia",1965.0,452.0,20.0,05000US51770,51,770,S,Owner,Yes,50.1-80% AMI,All
"Roanoke city, Virginia",1495.0,399.0,21.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,White
"Roanoke city, Virginia",400.0,196.0,22.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,Black
"Roanoke city, Virginia",15.0,28.0,23.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,Asian
"Roanoke city, Virginia",0.0,161.0,24.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,American Indian
"Roanoke city, Virginia",0.0,161.0,25.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"Roanoke city, Virginia",55.0,51.0,26.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,Hispanic
"Roanoke city, Virginia",0.0,161.0,27.0,05000US51770,51,770,D,Owner,Yes,50.1-80% AMI,Other
"Roanoke city, Virginia",550.0,209.0,28.0,05000US51770,51,770,S,Owner,Yes,80.1-95% AMI,All
"Roanoke city, Virginia",340.0,182.0,29.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,White
"Roanoke city, Virginia",165.0,94.0,30.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,Black
"Roanoke city, Virginia",0.0,161.0,31.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,Asian
"Roanoke city, Virginia",0.0,161.0,32.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,American Indian
"Roanoke city, Virginia",0.0,161.0,33.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,Pacific Islander
"Roanoke city, Virginia",15.0,33.0,34.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,Hispanic
"Roanoke city, Virginia",30.0,46.0,35.0,05000US51770,51,770,D,Owner,Yes,80.1-95% AMI,Other
"Roanoke city, Virginia",860.0,233.0,36.0,05000US51770,51,770,S,Owner,Yes,95.1% AMI and above,All
"Roanoke city, Virginia",675.0,183.0,37.0,05000US51770,51,770,D,Owner,Yes,95.1% AMI and above,White
"Roanoke city, Virginia",145.0,114.0,38.0,05000US51770,51,770,D,Owner,Yes,95.1% AMI and above,Black
"Roanoke city, Virginia",40.0,68.0,39.0,05000US51770,51,770,D,Owner,Yes,95.1% AMI and above,Asian
"Roanoke city, Virginia",0.0,161.0,40.0,05000US51770,51,770,D,Owner,Yes,95.1% AMI and above,American Indian
"Roanoke city, Virginia",0.0,161.0,41.0,05000US51770,51,770,D,Owner,Yes,95.1% AMI and above,Pacific Islander
