name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Virginia Beach city, Virginia",161815.0,1317.0,1.0,05000US51810,51,810,T,All,All,All,All
"Virginia Beach city, Virginia",111055.0,1430.0,2.0,05000US51810,51,810,S,Owner,All,All,All
"Virginia Beach city, Virginia",34550.0,1618.0,3.0,05000US51810,51,810,S,Owner,yes,All,All
"Virginia Beach city, Virginia",3240.0,468.0,4.0,05000US51810,51,810,S,Owner,yes,30% AMI or less,All
"Virginia Beach city, Virginia",690.0,202.0,5.0,05000US51810,51,810,D,Owner,yes,30% AMI or less,Elderly
"Virginia Beach city, Virginia",740.0,253.0,6.0,05000US51810,51,810,D,Owner,yes,30% AMI or less,Extra-elderly
"Virginia Beach city, Virginia",1805.0,367.0,7.0,05000US51810,51,810,D,Owner,yes,30% AMI or less,Non-elderly
"Virginia Beach city, Virginia",3620.0,539.0,8.0,05000US51810,51,810,S,Owner,yes,30.1-50% AMI,All
"Virginia Beach city, Virginia",665.0,197.0,9.0,05000US51810,51,810,D,Owner,yes,30.1-50% AMI,Elderly
"Virginia Beach city, Virginia",570.0,181.0,10.0,05000US51810,51,810,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Virginia Beach city, Virginia",2385.0,430.0,11.0,05000US51810,51,810,D,Owner,yes,30.1-50% AMI,Non-elderly
"Virginia Beach city, Virginia",8565.0,926.0,12.0,05000US51810,51,810,S,Owner,yes,50.1-80% AMI,All
"Virginia Beach city, Virginia",1030.0,251.0,13.0,05000US51810,51,810,D,Owner,yes,50.1-80% AMI,Elderly
"Virginia Beach city, Virginia",890.0,231.0,14.0,05000US51810,51,810,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Virginia Beach city, Virginia",6645.0,775.0,15.0,05000US51810,51,810,D,Owner,yes,50.1-80% AMI,Non-elderly
"Virginia Beach city, Virginia",4655.0,585.0,16.0,05000US51810,51,810,S,Owner,yes,80.1-95% AMI,All
"Virginia Beach city, Virginia",470.0,164.0,17.0,05000US51810,51,810,D,Owner,yes,80.1-95% AMI,Elderly
"Virginia Beach city, Virginia",175.0,86.0,18.0,05000US51810,51,810,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Virginia Beach city, Virginia",4010.0,561.0,19.0,05000US51810,51,810,D,Owner,yes,80.1-95% AMI,Non-elderly
"Virginia Beach city, Virginia",14470.0,1194.0,20.0,05000US51810,51,810,S,Owner,yes,95.1% AMI and above,All
"Virginia Beach city, Virginia",1900.0,363.0,21.0,05000US51810,51,810,D,Owner,yes,95.1% AMI and above,Elderly
"Virginia Beach city, Virginia",680.0,192.0,22.0,05000US51810,51,810,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Virginia Beach city, Virginia",11890.0,1076.0,23.0,05000US51810,51,810,D,Owner,yes,95.1% AMI and above,Non-elderly
"Virginia Beach city, Virginia",76065.0,1798.0,24.0,05000US51810,51,810,S,Owner,no,All,All
"Virginia Beach city, Virginia",290.0,111.0,25.0,05000US51810,51,810,S,Owner,no,30% AMI or less,All
"Virginia Beach city, Virginia",140.0,79.0,26.0,05000US51810,51,810,D,Owner,no,30% AMI or less,Elderly
"Virginia Beach city, Virginia",140.0,81.0,27.0,05000US51810,51,810,D,Owner,no,30% AMI or less,Extra-elderly
"Virginia Beach city, Virginia",15.0,29.0,28.0,05000US51810,51,810,D,Owner,no,30% AMI or less,Non-elderly
"Virginia Beach city, Virginia",1475.0,323.0,29.0,05000US51810,51,810,S,Owner,no,30.1-50% AMI,All
"Virginia Beach city, Virginia",440.0,155.0,30.0,05000US51810,51,810,D,Owner,no,30.1-50% AMI,Elderly
"Virginia Beach city, Virginia",665.0,180.0,31.0,05000US51810,51,810,D,Owner,no,30.1-50% AMI,Extra-elderly
"Virginia Beach city, Virginia",370.0,192.0,32.0,05000US51810,51,810,D,Owner,no,30.1-50% AMI,Non-elderly
"Virginia Beach city, Virginia",5220.0,596.0,33.0,05000US51810,51,810,S,Owner,no,50.1-80% AMI,All
