name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Staunton city, Virginia",9710.0,381.0,1.0,05000US51790,51,790,T,All,All,All,All
"Staunton city, Virginia",5780.0,380.0,2.0,05000US51790,51,790,S,Owner,All,All,All
"Staunton city, Virginia",1115.0,310.0,3.0,05000US51790,51,790,S,Owner,yes,All,All
"Staunton city, Virginia",370.0,186.0,4.0,05000US51790,51,790,S,Owner,yes,30% AMI or less,All
"Staunton city, Virginia",50.0,44.0,5.0,05000US51790,51,790,D,Owner,yes,30% AMI or less,Elderly
"Staunton city, Virginia",75.0,53.0,6.0,05000US51790,51,790,D,Owner,yes,30% AMI or less,Extra-elderly
"Staunton city, Virginia",240.0,179.0,7.0,05000US51790,51,790,D,Owner,yes,30% AMI or less,Non-elderly
"Staunton city, Virginia",200.0,102.0,8.0,05000US51790,51,790,S,Owner,yes,30.1-50% AMI,All
"Staunton city, Virginia",55.0,60.0,9.0,05000US51790,51,790,D,Owner,yes,30.1-50% AMI,Elderly
"Staunton city, Virginia",35.0,33.0,10.0,05000US51790,51,790,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Staunton city, Virginia",110.0,78.0,11.0,05000US51790,51,790,D,Owner,yes,30.1-50% AMI,Non-elderly
"Staunton city, Virginia",220.0,125.0,12.0,05000US51790,51,790,S,Owner,yes,50.1-80% AMI,All
"Staunton city, Virginia",85.0,77.0,13.0,05000US51790,51,790,D,Owner,yes,50.1-80% AMI,Elderly
"Staunton city, Virginia",0.0,161.0,14.0,05000US51790,51,790,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Staunton city, Virginia",130.0,91.0,15.0,05000US51790,51,790,D,Owner,yes,50.1-80% AMI,Non-elderly
"Staunton city, Virginia",195.0,142.0,16.0,05000US51790,51,790,S,Owner,yes,80.1-95% AMI,All
"Staunton city, Virginia",0.0,161.0,17.0,05000US51790,51,790,D,Owner,yes,80.1-95% AMI,Elderly
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Staunton city, Virginia",195.0,142.0,19.0,05000US51790,51,790,D,Owner,yes,80.1-95% AMI,Non-elderly
"Staunton city, Virginia",135.0,87.0,20.0,05000US51790,51,790,S,Owner,yes,95.1% AMI and above,All
"Staunton city, Virginia",25.0,34.0,21.0,05000US51790,51,790,D,Owner,yes,95.1% AMI and above,Elderly
"Staunton city, Virginia",15.0,32.0,22.0,05000US51790,51,790,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Staunton city, Virginia",90.0,76.0,23.0,05000US51790,51,790,D,Owner,yes,95.1% AMI and above,Non-elderly
"Staunton city, Virginia",4625.0,386.0,24.0,05000US51790,51,790,S,Owner,no,All,All
"Staunton city, Virginia",75.0,76.0,25.0,05000US51790,51,790,S,Owner,no,30% AMI or less,All
"Staunton city, Virginia",55.0,66.0,26.0,05000US51790,51,790,D,Owner,no,30% AMI or less,Elderly
"Staunton city, Virginia",20.0,37.0,27.0,05000US51790,51,790,D,Owner,no,30% AMI or less,Extra-elderly
"Staunton city, Virginia",0.0,161.0,28.0,05000US51790,51,790,D,Owner,no,30% AMI or less,Non-elderly
"Staunton city, Virginia",275.0,131.0,29.0,05000US51790,51,790,S,Owner,no,30.1-50% AMI,All
"Staunton city, Virginia",60.0,66.0,30.0,05000US51790,51,790,D,Owner,no,30.1-50% AMI,Elderly
