name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Income,Elderly_Status
"Fairfax city, Virginia",8310.0,184.0,1.0,05000US51600,51,600,T,All,All,All,All
"Fairfax city, Virginia",6365.0,271.0,2.0,05000US51600,51,600,S,Owner,All,All,All
"Fairfax city, Virginia",1995.0,339.0,3.0,05000US51600,51,600,S,Owner,yes,All,All
"Fairfax city, Virginia",225.0,123.0,4.0,05000US51600,51,600,S,Owner,yes,30% AMI or less,All
"Fairfax city, Virginia",100.0,76.0,5.0,05000US51600,51,600,D,Owner,yes,30% AMI or less,Elderly
"Fairfax city, Virginia",45.0,71.0,6.0,05000US51600,51,600,D,Owner,yes,30% AMI or less,Extra-elderly
"Fairfax city, Virginia",75.0,63.0,7.0,05000US51600,51,600,D,Owner,yes,30% AMI or less,Non-elderly
"Fairfax city, Virginia",145.0,89.0,8.0,05000US51600,51,600,S,Owner,yes,30.1-50% AMI,All
"Fairfax city, Virginia",15.0,25.0,9.0,05000US51600,51,600,D,Owner,yes,30.1-50% AMI,Elderly
"Fairfax city, Virginia",10.0,18.0,10.0,05000US51600,51,600,D,Owner,yes,30.1-50% AMI,Extra-elderly
"Fairfax city, Virginia",120.0,86.0,11.0,05000US51600,51,600,D,Owner,yes,30.1-50% AMI,Non-elderly
"Fairfax city, Virginia",500.0,187.0,12.0,05000US51600,51,600,S,Owner,yes,50.1-80% AMI,All
"Fairfax city, Virginia",85.0,79.0,13.0,05000US51600,51,600,D,Owner,yes,50.1-80% AMI,Elderly
"Fairfax city, Virginia",25.0,37.0,14.0,05000US51600,51,600,D,Owner,yes,50.1-80% AMI,Extra-elderly
"Fairfax city, Virginia",385.0,149.0,15.0,05000US51600,51,600,D,Owner,yes,50.1-80% AMI,Non-elderly
"Fairfax city, Virginia",315.0,144.0,16.0,05000US51600,51,600,S,Owner,yes,80.1-95% AMI,All
"Fairfax city, Virginia",65.0,68.0,17.0,05000US51600,51,600,D,Owner,yes,80.1-95% AMI,Elderly
"Fairfax city, Virginia",60.0,61.0,18.0,05000US51600,51,600,D,Owner,yes,80.1-95% AMI,Extra-elderly
"Fairfax city, Virginia",190.0,105.0,19.0,05000US51600,51,600,D,Owner,yes,80.1-95% AMI,Non-elderly
"Fairfax city, Virginia",815.0,251.0,20.0,05000US51600,51,600,S,Owner,yes,95.1% AMI and above,All
"Fairfax city, Virginia",80.0,68.0,21.0,05000US51600,51,600,D,Owner,yes,95.1% AMI and above,Elderly
"Fairfax city, Virginia",40.0,49.0,22.0,05000US51600,51,600,D,Owner,yes,95.1% AMI and above,Extra-elderly
"Fairfax city, Virginia",690.0,227.0,23.0,05000US51600,51,600,D,Owner,yes,95.1% AMI and above,Non-elderly
"Fairfax city, Virginia",4350.0,331.0,24.0,05000US51600,51,600,S,Owner,no,All,All
"Fairfax city, Virginia",10.0,16.0,25.0,05000US51600,51,600,S,Owner,no,30% AMI or less,All
"Fairfax city, Virginia",0.0,161.0,26.0,05000US51600,51,600,D,Owner,no,30% AMI or less,Elderly
"Fairfax city, Virginia",10.0,16.0,27.0,05000US51600,51,600,D,Owner,no,30% AMI or less,Extra-elderly
"Fairfax city, Virginia",0.0,161.0,28.0,05000US51600,51,600,D,Owner,no,30% AMI or less,Non-elderly
"Fairfax city, Virginia",50.0,48.0,29.0,05000US51600,51,600,S,Owner,no,30.1-50% AMI,All
"Fairfax city, Virginia",0.0,161.0,30.0,05000US51600,51,600,D,Owner,no,30.1-50% AMI,Elderly
"Fairfax city, Virginia",50.0,48.0,31.0,05000US51600,51,600,D,Owner,no,30.1-50% AMI,Extra-elderly
"Fairfax city, Virginia",0.0,161.0,32.0,05000US51600,51,600,D,Owner,no,30.1-50% AMI,Non-elderly
"Fairfax city, Virginia",435.0,154.0,33.0,05000US51600,51,600,S,Owner,no,50.1-80% AMI,All
"Fairfax city, Virginia",185.0,97.0,34.0,05000US51600,51,600,D,Owner,no,50.1-80% AMI,Elderly
"Fairfax city, Virginia",90.0,68.0,35.0,05000US51600,51,600,D,Owner,no,50.1-80% AMI,Extra-elderly
