name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Prince William County, Virginia",2445.0,652.0,1.0,05000US51153,51,153,T,All,All,All
"Prince William County, Virginia",0.0,161.0,2.0,05000US51153,51,153,S,Substandard,All,All
"Prince William County, Virginia",2445.0,652.0,3.0,05000US51153,51,153,S,Standard,All,All
"Prince William County, Virginia",55.0,79.0,4.0,05000US51153,51,153,S,Standard,RHUD30,All
"Prince William County, Virginia",0.0,161.0,5.0,05000US51153,51,153,D,Standard,RHUD30,0 or 1
"Prince William County, Virginia",10.0,13.0,6.0,05000US51153,51,153,D,Standard,RHUD30,2
"Prince William County, Virginia",45.0,76.0,7.0,05000US51153,51,153,D,Standard,RHUD30,3 or more
"Prince William County, Virginia",1215.0,427.0,8.0,05000US51153,51,153,S,Standard,RHUD50,All
"Prince William County, Virginia",145.0,156.0,9.0,05000US51153,51,153,D,Standard,RHUD50,0 or 1
"Prince William County, Virginia",635.0,298.0,10.0,05000US51153,51,153,D,Standard,RHUD50,2
"Prince William County, Virginia",440.0,305.0,11.0,05000US51153,51,153,D,Standard,RHUD50,3 or more
"Prince William County, Virginia",1040.0,421.0,12.0,05000US51153,51,153,S,Standard,RHUD80,All
"Prince William County, Virginia",125.0,134.0,13.0,05000US51153,51,153,D,Standard,RHUD80,0 or 1
"Prince William County, Virginia",445.0,288.0,14.0,05000US51153,51,153,D,Standard,RHUD80,2
"Prince William County, Virginia",475.0,295.0,15.0,05000US51153,51,153,D,Standard,RHUD80,3 or more
"Prince William County, Virginia",130.0,153.0,16.0,05000US51153,51,153,S,Standard,Greater than RHUD80,All
"Prince William County, Virginia",0.0,161.0,17.0,05000US51153,51,153,D,Standard,Greater than RHUD80,0 or 1
"Prince William County, Virginia",0.0,161.0,18.0,05000US51153,51,153,D,Standard,Greater than RHUD80,2
"Prince William County, Virginia",130.0,153.0,19.0,05000US51153,51,153,D,Standard,Greater than RHUD80,3 or more
