name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Wise County, Virginia",390.0,191.0,1.0,05000US51195,51,195,T,All,All,All
"Wise County, Virginia",0.0,161.0,2.0,05000US51195,51,195,S,Substandard,All,All
"Wise County, Virginia",390.0,191.0,3.0,05000US51195,51,195,S,Standard,All,All
"Wise County, Virginia",90.0,102.0,4.0,05000US51195,51,195,S,Standard,RHUD30,All
"Wise County, Virginia",20.0,34.0,5.0,05000US51195,51,195,D,Standard,RHUD30,0 or 1
"Wise County, Virginia",55.0,95.0,6.0,05000US51195,51,195,D,Standard,RHUD30,2
"Wise County, Virginia",15.0,25.0,7.0,05000US51195,51,195,D,Standard,RHUD30,3 or more
"Wise County, Virginia",300.0,192.0,8.0,05000US51195,51,195,S,Standard,RHUD50,All
"Wise County, Virginia",130.0,131.0,9.0,05000US51195,51,195,D,Standard,RHUD50,0 or 1
"Wise County, Virginia",175.0,142.0,10.0,05000US51195,51,195,D,Standard,RHUD50,2
"Wise County, Virginia",0.0,161.0,11.0,05000US51195,51,195,D,Standard,RHUD50,3 or more
"Wise County, Virginia",0.0,161.0,12.0,05000US51195,51,195,S,Standard,RHUD80,All
"Wise County, Virginia",0.0,161.0,13.0,05000US51195,51,195,D,Standard,RHUD80,0 or 1
"Wise County, Virginia",0.0,161.0,14.0,05000US51195,51,195,D,Standard,RHUD80,2
"Wise County, Virginia",0.0,161.0,15.0,05000US51195,51,195,D,Standard,RHUD80,3 or more
"Wise County, Virginia",0.0,161.0,16.0,05000US51195,51,195,S,Standard,Greater than RHUD80,All
"Wise County, Virginia",0.0,161.0,17.0,05000US51195,51,195,D,Standard,Greater than RHUD80,0 or 1
"Wise County, Virginia",0.0,161.0,18.0,05000US51195,51,195,D,Standard,Greater than RHUD80,2
"Wise County, Virginia",0.0,161.0,19.0,05000US51195,51,195,D,Standard,Greater than RHUD80,3 or more
