name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Mecklenburg County, Virginia",455.0,259.0,1.0,05000US51117,51,117,T,All,All,All
"Mecklenburg County, Virginia",135.0,150.0,2.0,05000US51117,51,117,S,Substandard,All,All
"Mecklenburg County, Virginia",320.0,238.0,3.0,05000US51117,51,117,S,Standard,All,All
"Mecklenburg County, Virginia",190.0,145.0,4.0,05000US51117,51,117,S,Standard,RHUD30,All
"Mecklenburg County, Virginia",35.0,56.0,5.0,05000US51117,51,117,D,Standard,RHUD30,0 or 1
"Mecklenburg County, Virginia",105.0,101.0,6.0,05000US51117,51,117,D,Standard,RHUD30,2
"Mecklenburg County, Virginia",55.0,85.0,7.0,05000US51117,51,117,D,Standard,RHUD30,3 or more
"Mecklenburg County, Virginia",55.0,93.0,8.0,05000US51117,51,117,S,Standard,RHUD50,All
"Mecklenburg County, Virginia",0.0,161.0,9.0,05000US51117,51,117,D,Standard,RHUD50,0 or 1
"Mecklenburg County, Virginia",55.0,93.0,10.0,05000US51117,51,117,D,Standard,RHUD50,2
"Mecklenburg County, Virginia",0.0,161.0,11.0,05000US51117,51,117,D,Standard,RHUD50,3 or more
"Mecklenburg County, Virginia",75.0,117.0,12.0,05000US51117,51,117,S,Standard,RHUD80,All
"Mecklenburg County, Virginia",0.0,161.0,13.0,05000US51117,51,117,D,Standard,RHUD80,0 or 1
"Mecklenburg County, Virginia",0.0,161.0,14.0,05000US51117,51,117,D,Standard,RHUD80,2
"Mecklenburg County, Virginia",75.0,117.0,15.0,05000US51117,51,117,D,Standard,RHUD80,3 or more
"Mecklenburg County, Virginia",0.0,161.0,16.0,05000US51117,51,117,S,Standard,Greater than RHUD80,All
"Mecklenburg County, Virginia",0.0,161.0,17.0,05000US51117,51,117,D,Standard,Greater than RHUD80,0 or 1
"Mecklenburg County, Virginia",0.0,161.0,18.0,05000US51117,51,117,D,Standard,Greater than RHUD80,2
"Mecklenburg County, Virginia",0.0,161.0,19.0,05000US51117,51,117,D,Standard,Greater than RHUD80,3 or more
