name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Arlington County, Virginia",3295.0,698.0,1.0,05000US51013,51,013,T,All,All,All
"Arlington County, Virginia",40.0,45.0,2.0,05000US51013,51,013,S,Substandard,All,All
"Arlington County, Virginia",3255.0,690.0,3.0,05000US51013,51,013,S,Standard,All,All
"Arlington County, Virginia",130.0,148.0,4.0,05000US51013,51,013,S,Standard,RHUD30,All
"Arlington County, Virginia",65.0,105.0,5.0,05000US51013,51,013,D,Standard,RHUD30,0 or 1
"Arlington County, Virginia",65.0,102.0,6.0,05000US51013,51,013,D,Standard,RHUD30,2
"Arlington County, Virginia",0.0,161.0,7.0,05000US51013,51,013,D,Standard,RHUD30,3 or more
"Arlington County, Virginia",735.0,336.0,8.0,05000US51013,51,013,S,Standard,RHUD50,All
"Arlington County, Virginia",450.0,258.0,9.0,05000US51013,51,013,D,Standard,RHUD50,0 or 1
"Arlington County, Virginia",285.0,217.0,10.0,05000US51013,51,013,D,Standard,RHUD50,2
"Arlington County, Virginia",0.0,161.0,11.0,05000US51013,51,013,D,Standard,RHUD50,3 or more
"Arlington County, Virginia",1185.0,456.0,12.0,05000US51013,51,013,S,Standard,RHUD80,All
"Arlington County, Virginia",625.0,301.0,13.0,05000US51013,51,013,D,Standard,RHUD80,0 or 1
"Arlington County, Virginia",560.0,304.0,14.0,05000US51013,51,013,D,Standard,RHUD80,2
"Arlington County, Virginia",0.0,161.0,15.0,05000US51013,51,013,D,Standard,RHUD80,3 or more
"Arlington County, Virginia",1210.0,433.0,16.0,05000US51013,51,013,S,Standard,Greater than RHUD80,All
"Arlington County, Virginia",710.0,365.0,17.0,05000US51013,51,013,D,Standard,Greater than RHUD80,0 or 1
"Arlington County, Virginia",435.0,255.0,18.0,05000US51013,51,013,D,Standard,Greater than RHUD80,2
"Arlington County, Virginia",60.0,102.0,19.0,05000US51013,51,013,D,Standard,Greater than RHUD80,3 or more
