name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Pittsylvania County, Virginia",295.0,202.0,1.0,05000US51143,51,143,T,All,All,All
"Pittsylvania County, Virginia",0.0,161.0,2.0,05000US51143,51,143,S,Substandard,All,All
"Pittsylvania County, Virginia",295.0,202.0,3.0,05000US51143,51,143,S,Standard,All,All
"Pittsylvania County, Virginia",45.0,76.0,4.0,05000US51143,51,143,S,Standard,RHUD30,All
"Pittsylvania County, Virginia",0.0,161.0,5.0,05000US51143,51,143,D,Standard,RHUD30,0 or 1
"Pittsylvania County, Virginia",0.0,161.0,6.0,05000US51143,51,143,D,Standard,RHUD30,2
"Pittsylvania County, Virginia",45.0,76.0,7.0,05000US51143,51,143,D,Standard,RHUD30,3 or more
"Pittsylvania County, Virginia",230.0,178.0,8.0,05000US51143,51,143,S,Standard,RHUD50,All
"Pittsylvania County, Virginia",15.0,24.0,9.0,05000US51143,51,143,D,Standard,RHUD50,0 or 1
"Pittsylvania County, Virginia",165.0,156.0,10.0,05000US51143,51,143,D,Standard,RHUD50,2
"Pittsylvania County, Virginia",50.0,84.0,11.0,05000US51143,51,143,D,Standard,RHUD50,3 or more
"Pittsylvania County, Virginia",15.0,23.0,12.0,05000US51143,51,143,S,Standard,RHUD80,All
"Pittsylvania County, Virginia",0.0,161.0,13.0,05000US51143,51,143,D,Standard,RHUD80,0 or 1
"Pittsylvania County, Virginia",15.0,23.0,14.0,05000US51143,51,143,D,Standard,RHUD80,2
"Pittsylvania County, Virginia",0.0,161.0,15.0,05000US51143,51,143,D,Standard,RHUD80,3 or more
"Pittsylvania County, Virginia",0.0,161.0,16.0,05000US51143,51,143,S,Standard,Greater than RHUD80,All
"Pittsylvania County, Virginia",0.0,161.0,17.0,05000US51143,51,143,D,Standard,Greater than RHUD80,0 or 1
"Pittsylvania County, Virginia",0.0,161.0,18.0,05000US51143,51,143,D,Standard,Greater than RHUD80,2
"Pittsylvania County, Virginia",0.0,161.0,19.0,05000US51143,51,143,D,Standard,Greater than RHUD80,3 or more
