name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Winchester city, Virginia",10025.0,385.0,1.0,05000US51840,51,840,T,All,All,All
"Winchester city, Virginia",5095.0,416.0,2.0,05000US51840,51,840,S,Owner,All,All
"Winchester city, Virginia",4380.0,391.0,3.0,05000US51840,51,840,S,Owner,White,All
"Winchester city, Virginia",3565.0,369.0,4.0,05000US51840,51,840,D,Owner,White,No cost burden
"Winchester city, Virginia",510.0,163.0,5.0,05000US51840,51,840,D,Owner,White,Moderate cost burden
"Winchester city, Virginia",290.0,146.0,6.0,05000US51840,51,840,D,Owner,White,Severe cost burden
"Winchester city, Virginia",15.0,32.0,7.0,05000US51840,51,840,D,Owner,White,N/A
"Winchester city, Virginia",315.0,144.0,8.0,05000US51840,51,840,S,Owner,Black,All
"Winchester city, Virginia",175.0,103.0,9.0,05000US51840,51,840,D,Owner,Black,No cost burden
"Winchester city, Virginia",80.0,83.0,10.0,05000US51840,51,840,D,Owner,Black,Moderate cost burden
"Winchester city, Virginia",65.0,88.0,11.0,05000US51840,51,840,D,Owner,Black,Severe cost burden
"Winchester city, Virginia",0.0,161.0,12.0,05000US51840,51,840,D,Owner,Black,N/A
"Winchester city, Virginia",115.0,56.0,13.0,05000US51840,51,840,S,Owner,Asian,All
"Winchester city, Virginia",80.0,54.0,14.0,05000US51840,51,840,D,Owner,Asian,No cost burden
"Winchester city, Virginia",20.0,38.0,15.0,05000US51840,51,840,D,Owner,Asian,Moderate cost burden
"Winchester city, Virginia",10.0,43.0,16.0,05000US51840,51,840,D,Owner,Asian,Severe cost burden
"Winchester city, Virginia",0.0,161.0,17.0,05000US51840,51,840,D,Owner,Asian,N/A
"Winchester city, Virginia",25.0,42.0,18.0,05000US51840,51,840,S,Owner,American Indian,All
"Winchester city, Virginia",0.0,161.0,19.0,05000US51840,51,840,D,Owner,American Indian,No cost burden
"Winchester city, Virginia",0.0,161.0,20.0,05000US51840,51,840,D,Owner,American Indian,Moderate cost burden
"Winchester city, Virginia",25.0,42.0,21.0,05000US51840,51,840,D,Owner,American Indian,Severe cost burden
"Winchester city, Virginia",0.0,161.0,22.0,05000US51840,51,840,D,Owner,American Indian,N/A
"Winchester city, Virginia",0.0,161.0,23.0,05000US51840,51,840,S,Owner,Pacific Islander,All
"Winchester city, Virginia",0.0,161.0,24.0,05000US51840,51,840,D,Owner,Pacific Islander,No cost burden
"Winchester city, Virginia",0.0,161.0,25.0,05000US51840,51,840,D,Owner,Pacific Islander,Moderate cost burden
"Winchester city, Virginia",0.0,161.0,26.0,05000US51840,51,840,D,Owner,Pacific Islander,Severe cost burden
"Winchester city, Virginia",0.0,161.0,27.0,05000US51840,51,840,D,Owner,Pacific Islander,N/A
"Winchester city, Virginia",190.0,145.0,28.0,05000US51840,51,840,S,Owner,Hispanic,All
"Winchester city, Virginia",60.0,68.0,29.0,05000US51840,51,840,D,Owner,Hispanic,No cost burden
"Winchester city, Virginia",0.0,161.0,30.0,05000US51840,51,840,D,Owner,Hispanic,Moderate cost burden
"Winchester city, Virginia",130.0,122.0,31.0,05000US51840,51,840,D,Owner,Hispanic,Severe cost burden
"Winchester city, Virginia",0.0,161.0,32.0,05000US51840,51,840,D,Owner,Hispanic,N/A
"Winchester city, Virginia",60.0,68.0,33.0,05000US51840,51,840,S,Owner,Other,All
"Winchester city, Virginia",45.0,50.0,34.0,05000US51840,51,840,D,Owner,Other,No cost burden
"Winchester city, Virginia",20.0,32.0,35.0,05000US51840,51,840,D,Owner,Other,Moderate cost burden
"Winchester city, Virginia",0.0,161.0,36.0,05000US51840,51,840,D,Owner,Other,Severe cost burden
"Winchester city, Virginia",0.0,161.0,37.0,05000US51840,51,840,D,Owner,Other,N/A
"Winchester city, Virginia",4935.0,459.0,38.0,05000US51840,51,840,S,Renter,All,All
"Winchester city, Virginia",3835.0,413.0,39.0,05000US51840,51,840,S,Renter,White,All
"Winchester city, Virginia",2125.0,347.0,40.0,05000US51840,51,840,D,Renter,White,No cost burden
"Winchester city, Virginia",725.0,267.0,41.0,05000US51840,51,840,D,Renter,White,Moderate cost burden
"Winchester city, Virginia",650.0,222.0,42.0,05000US51840,51,840,D,Renter,White,Severe cost burden
"Winchester city, Virginia",330.0,178.0,43.0,05000US51840,51,840,D,Renter,White,N/A
"Winchester city, Virginia",470.0,130.0,44.0,05000US51840,51,840,S,Renter,Black,All
"Winchester city, Virginia",145.0,92.0,45.0,05000US51840,51,840,D,Renter,Black,No cost burden
"Winchester city, Virginia",125.0,79.0,46.0,05000US51840,51,840,D,Renter,Black,Moderate cost burden
"Winchester city, Virginia",205.0,101.0,47.0,05000US51840,51,840,D,Renter,Black,Severe cost burden
"Winchester city, Virginia",0.0,161.0,48.0,05000US51840,51,840,D,Renter,Black,N/A
"Winchester city, Virginia",40.0,49.0,49.0,05000US51840,51,840,S,Renter,Asian,All
"Winchester city, Virginia",15.0,22.0,50.0,05000US51840,51,840,D,Renter,Asian,No cost burden
"Winchester city, Virginia",0.0,161.0,51.0,05000US51840,51,840,D,Renter,Asian,Moderate cost burden
"Winchester city, Virginia",25.0,42.0,52.0,05000US51840,51,840,D,Renter,Asian,Severe cost burden
"Winchester city, Virginia",0.0,161.0,53.0,05000US51840,51,840,D,Renter,Asian,N/A
"Winchester city, Virginia",0.0,161.0,54.0,05000US51840,51,840,S,Renter,American Indian,All
"Winchester city, Virginia",0.0,161.0,55.0,05000US51840,51,840,D,Renter,American Indian,No cost burden
"Winchester city, Virginia",0.0,161.0,56.0,05000US51840,51,840,D,Renter,American Indian,Moderate cost burden
"Winchester city, Virginia",0.0,161.0,57.0,05000US51840,51,840,D,Renter,American Indian,Severe cost burden
"Winchester city, Virginia",0.0,161.0,58.0,05000US51840,51,840,D,Renter,American Indian,N/A
"Winchester city, Virginia",0.0,161.0,59.0,05000US51840,51,840,S,Renter,Pacific Islander,All
"Winchester city, Virginia",0.0,161.0,60.0,05000US51840,51,840,D,Renter,Pacific Islander,No cost burden
"Winchester city, Virginia",0.0,161.0,61.0,05000US51840,51,840,D,Renter,Pacific Islander,Moderate cost burden
"Winchester city, Virginia",0.0,161.0,62.0,05000US51840,51,840,D,Renter,Pacific Islander,Severe cost burden
"Winchester city, Virginia",0.0,161.0,63.0,05000US51840,51,840,D,Renter,Pacific Islander,N/A
"Winchester city, Virginia",540.0,186.0,64.0,05000US51840,51,840,S,Renter,Hispanic,All
"Winchester city, Virginia",175.0,96.0,65.0,05000US51840,51,840,D,Renter,Hispanic,No cost burden
"Winchester city, Virginia",260.0,192.0,66.0,05000US51840,51,840,D,Renter,Hispanic,Moderate cost burden
"Winchester city, Virginia",110.0,123.0,67.0,05000US51840,51,840,D,Renter,Hispanic,Severe cost burden
