name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Petersburg city, Virginia",0.0,161.0,55.0,05000US51730,51,730,D,Renter,American Indian,No cost burden
"Petersburg city, Virginia",0.0,161.0,56.0,05000US51730,51,730,D,Renter,American Indian,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,57.0,05000US51730,51,730,D,Renter,American Indian,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,58.0,05000US51730,51,730,D,Renter,American Indian,N/A
"Petersburg city, Virginia",55.0,88.0,59.0,05000US51730,51,730,S,Renter,Pacific Islander,All
"Petersburg city, Virginia",55.0,88.0,60.0,05000US51730,51,730,D,Renter,Pacific Islander,No cost burden
"Petersburg city, Virginia",0.0,161.0,61.0,05000US51730,51,730,D,Renter,Pacific Islander,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,62.0,05000US51730,51,730,D,Renter,Pacific Islander,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,63.0,05000US51730,51,730,D,Renter,Pacific Islander,N/A
"Petersburg city, Virginia",175.0,71.0,64.0,05000US51730,51,730,S,Renter,Hispanic,All
"Petersburg city, Virginia",85.0,76.0,65.0,05000US51730,51,730,D,Renter,Hispanic,No cost burden
"Petersburg city, Virginia",90.0,99.0,66.0,05000US51730,51,730,D,Renter,Hispanic,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,67.0,05000US51730,51,730,D,Renter,Hispanic,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,68.0,05000US51730,51,730,D,Renter,Hispanic,N/A
"Petersburg city, Virginia",25.0,37.0,69.0,05000US51730,51,730,S,Renter,Other,All
"Petersburg city, Virginia",25.0,37.0,70.0,05000US51730,51,730,D,Renter,Other,No cost burden
"Petersburg city, Virginia",0.0,161.0,71.0,05000US51730,51,730,D,Renter,Other,Moderate cost burden
"Petersburg city, Virginia",0.0,161.0,72.0,05000US51730,51,730,D,Renter,Other,Severe cost burden
"Petersburg city, Virginia",0.0,161.0,73.0,05000US51730,51,730,D,Renter,Other,N/A
