name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Portsmouth city, Virginia",38850.0,754.0,1.0,05000US51740,51,740,T,All,All,All
"Portsmouth city, Virginia",24145.0,837.0,2.0,05000US51740,51,740,S,Owner,All,All
"Portsmouth city, Virginia",13795.0,589.0,3.0,05000US51740,51,740,S,Owner,White,All
"Portsmouth city, Virginia",9445.0,545.0,4.0,05000US51740,51,740,D,Owner,White,No cost burden
"Portsmouth city, Virginia",2855.0,448.0,5.0,05000US51740,51,740,D,Owner,White,Moderate cost burden
"Portsmouth city, Virginia",1475.0,316.0,6.0,05000US51740,51,740,D,Owner,White,Severe cost burden
"Portsmouth city, Virginia",20.0,34.0,7.0,05000US51740,51,740,D,Owner,White,N/A
"Portsmouth city, Virginia",9325.0,720.0,8.0,05000US51740,51,740,S,Owner,Black,All
"Portsmouth city, Virginia",5020.0,528.0,9.0,05000US51740,51,740,D,Owner,Black,No cost burden
"Portsmouth city, Virginia",2405.0,510.0,10.0,05000US51740,51,740,D,Owner,Black,Moderate cost burden
"Portsmouth city, Virginia",1890.0,462.0,11.0,05000US51740,51,740,D,Owner,Black,Severe cost burden
"Portsmouth city, Virginia",10.0,23.0,12.0,05000US51740,51,740,D,Owner,Black,N/A
"Portsmouth city, Virginia",165.0,101.0,13.0,05000US51740,51,740,S,Owner,Asian,All
"Portsmouth city, Virginia",50.0,57.0,14.0,05000US51740,51,740,D,Owner,Asian,No cost burden
"Portsmouth city, Virginia",30.0,45.0,15.0,05000US51740,51,740,D,Owner,Asian,Moderate cost burden
"Portsmouth city, Virginia",85.0,80.0,16.0,05000US51740,51,740,D,Owner,Asian,Severe cost burden
"Portsmouth city, Virginia",0.0,161.0,17.0,05000US51740,51,740,D,Owner,Asian,N/A
"Portsmouth city, Virginia",235.0,111.0,18.0,05000US51740,51,740,S,Owner,American Indian,All
"Portsmouth city, Virginia",195.0,100.0,19.0,05000US51740,51,740,D,Owner,American Indian,No cost burden
"Portsmouth city, Virginia",0.0,161.0,20.0,05000US51740,51,740,D,Owner,American Indian,Moderate cost burden
"Portsmouth city, Virginia",40.0,50.0,21.0,05000US51740,51,740,D,Owner,American Indian,Severe cost burden
"Portsmouth city, Virginia",0.0,161.0,22.0,05000US51740,51,740,D,Owner,American Indian,N/A
"Portsmouth city, Virginia",0.0,161.0,23.0,05000US51740,51,740,S,Owner,Pacific Islander,All
"Portsmouth city, Virginia",0.0,161.0,24.0,05000US51740,51,740,D,Owner,Pacific Islander,No cost burden
"Portsmouth city, Virginia",0.0,161.0,25.0,05000US51740,51,740,D,Owner,Pacific Islander,Moderate cost burden
"Portsmouth city, Virginia",0.0,161.0,26.0,05000US51740,51,740,D,Owner,Pacific Islander,Severe cost burden
"Portsmouth city, Virginia",0.0,161.0,27.0,05000US51740,51,740,D,Owner,Pacific Islander,N/A
"Portsmouth city, Virginia",400.0,159.0,28.0,05000US51740,51,740,S,Owner,Hispanic,All
"Portsmouth city, Virginia",225.0,159.0,29.0,05000US51740,51,740,D,Owner,Hispanic,No cost burden
"Portsmouth city, Virginia",70.0,64.0,30.0,05000US51740,51,740,D,Owner,Hispanic,Moderate cost burden
"Portsmouth city, Virginia",105.0,107.0,31.0,05000US51740,51,740,D,Owner,Hispanic,Severe cost burden
"Portsmouth city, Virginia",0.0,161.0,32.0,05000US51740,51,740,D,Owner,Hispanic,N/A
"Portsmouth city, Virginia",220.0,121.0,33.0,05000US51740,51,740,S,Owner,Other,All
"Portsmouth city, Virginia",110.0,81.0,34.0,05000US51740,51,740,D,Owner,Other,No cost burden
"Portsmouth city, Virginia",0.0,161.0,35.0,05000US51740,51,740,D,Owner,Other,Moderate cost burden
"Portsmouth city, Virginia",110.0,84.0,36.0,05000US51740,51,740,D,Owner,Other,Severe cost burden
"Portsmouth city, Virginia",0.0,161.0,37.0,05000US51740,51,740,D,Owner,Other,N/A
"Portsmouth city, Virginia",14700.0,906.0,38.0,05000US51740,51,740,S,Renter,All,All
"Portsmouth city, Virginia",4330.0,546.0,39.0,05000US51740,51,740,S,Renter,White,All
"Portsmouth city, Virginia",2225.0,381.0,40.0,05000US51740,51,740,D,Renter,White,No cost burden
"Portsmouth city, Virginia",965.0,308.0,41.0,05000US51740,51,740,D,Renter,White,Moderate cost burden
