name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Race,Cost_Burden
"Richmond city, Virginia",81610.0,1156.0,1.0,05000US51760,51,760,T,All,All,All
"Richmond city, Virginia",38915.0,1326.0,2.0,05000US51760,51,760,S,Owner,All,All
"Richmond city, Virginia",22410.0,752.0,3.0,05000US51760,51,760,S,Owner,White,All
"Richmond city, Virginia",16565.0,712.0,4.0,05000US51760,51,760,D,Owner,White,No cost burden
"Richmond city, Virginia",3520.0,472.0,5.0,05000US51760,51,760,D,Owner,White,Moderate cost burden
"Richmond city, Virginia",2270.0,416.0,6.0,05000US51760,51,760,D,Owner,White,Severe cost burden
"Richmond city, Virginia",50.0,45.0,7.0,05000US51760,51,760,D,Owner,White,N/A
"Richmond city, Virginia",14825.0,985.0,8.0,05000US51760,51,760,S,Owner,Black,All
"Richmond city, Virginia",8420.0,712.0,9.0,05000US51760,51,760,D,Owner,Black,No cost burden
"Richmond city, Virginia",3195.0,517.0,10.0,05000US51760,51,760,D,Owner,Black,Moderate cost burden
"Richmond city, Virginia",3130.0,488.0,11.0,05000US51760,51,760,D,Owner,Black,Severe cost burden
"Richmond city, Virginia",80.0,82.0,12.0,05000US51760,51,760,D,Owner,Black,N/A
"Richmond city, Virginia",285.0,120.0,13.0,05000US51760,51,760,S,Owner,Asian,All
"Richmond city, Virginia",165.0,89.0,14.0,05000US51760,51,760,D,Owner,Asian,No cost burden
"Richmond city, Virginia",70.0,68.0,15.0,05000US51760,51,760,D,Owner,Asian,Moderate cost burden
"Richmond city, Virginia",50.0,56.0,16.0,05000US51760,51,760,D,Owner,Asian,Severe cost burden
"Richmond city, Virginia",0.0,161.0,17.0,05000US51760,51,760,D,Owner,Asian,N/A
"Richmond city, Virginia",150.0,126.0,18.0,05000US51760,51,760,S,Owner,American Indian,All
"Richmond city, Virginia",120.0,110.0,19.0,05000US51760,51,760,D,Owner,American Indian,No cost burden
"Richmond city, Virginia",0.0,161.0,20.0,05000US51760,51,760,D,Owner,American Indian,Moderate cost burden
"Richmond city, Virginia",35.0,56.0,21.0,05000US51760,51,760,D,Owner,American Indian,Severe cost burden
"Richmond city, Virginia",0.0,161.0,22.0,05000US51760,51,760,D,Owner,American Indian,N/A
"Richmond city, Virginia",0.0,161.0,23.0,05000US51760,51,760,S,Owner,Pacific Islander,All
"Richmond city, Virginia",0.0,161.0,24.0,05000US51760,51,760,D,Owner,Pacific Islander,No cost burden
"Richmond city, Virginia",0.0,161.0,25.0,05000US51760,51,760,D,Owner,Pacific Islander,Moderate cost burden
"Richmond city, Virginia",0.0,161.0,26.0,05000US51760,51,760,D,Owner,Pacific Islander,Severe cost burden
"Richmond city, Virginia",0.0,161.0,27.0,05000US51760,51,760,D,Owner,Pacific Islander,N/A
"Richmond city, Virginia",580.0,184.0,28.0,05000US51760,51,760,S,Owner,Hispanic,All
"Richmond city, Virginia",275.0,144.0,29.0,05000US51760,51,760,D,Owner,Hispanic,No cost burden
"Richmond city, Virginia",145.0,96.0,30.0,05000US51760,51,760,D,Owner,Hispanic,Moderate cost burden
"Richmond city, Virginia",160.0,115.0,31.0,05000US51760,51,760,D,Owner,Hispanic,Severe cost burden
"Richmond city, Virginia",0.0,161.0,32.0,05000US51760,51,760,D,Owner,Hispanic,N/A
"Richmond city, Virginia",670.0,288.0,33.0,05000US51760,51,760,S,Owner,Other,All
"Richmond city, Virginia",525.0,244.0,34.0,05000US51760,51,760,D,Owner,Other,No cost burden
"Richmond city, Virginia",85.0,85.0,35.0,05000US51760,51,760,D,Owner,Other,Moderate cost burden
"Richmond city, Virginia",60.0,60.0,36.0,05000US51760,51,760,D,Owner,Other,Severe cost burden
"Richmond city, Virginia",0.0,161.0,37.0,05000US51760,51,760,D,Owner,Other,N/A
"Richmond city, Virginia",42695.0,1426.0,38.0,05000US51760,51,760,S,Renter,All,All
"Richmond city, Virginia",15015.0,951.0,39.0,05000US51760,51,760,S,Renter,White,All
"Richmond city, Virginia",6645.0,753.0,40.0,05000US51760,51,760,D,Renter,White,No cost burden
"Richmond city, Virginia",3795.0,708.0,41.0,05000US51760,51,760,D,Renter,White,Moderate cost burden
"Richmond city, Virginia",3825.0,545.0,42.0,05000US51760,51,760,D,Renter,White,Severe cost burden
"Richmond city, Virginia",755.0,192.0,43.0,05000US51760,51,760,D,Renter,White,N/A
"Richmond city, Virginia",23880.0,1222.0,44.0,05000US51760,51,760,S,Renter,Black,All
"Richmond city, Virginia",11655.0,1166.0,45.0,05000US51760,51,760,D,Renter,Black,No cost burden
"Richmond city, Virginia",5870.0,785.0,46.0,05000US51760,51,760,D,Renter,Black,Moderate cost burden
"Richmond city, Virginia",5330.0,773.0,47.0,05000US51760,51,760,D,Renter,Black,Severe cost burden
"Richmond city, Virginia",1025.0,228.0,48.0,05000US51760,51,760,D,Renter,Black,N/A
"Richmond city, Virginia",895.0,202.0,49.0,05000US51760,51,760,S,Renter,Asian,All
"Richmond city, Virginia",375.0,171.0,50.0,05000US51760,51,760,D,Renter,Asian,No cost burden
"Richmond city, Virginia",155.0,115.0,51.0,05000US51760,51,760,D,Renter,Asian,Moderate cost burden
"Richmond city, Virginia",145.0,105.0,52.0,05000US51760,51,760,D,Renter,Asian,Severe cost burden
"Richmond city, Virginia",220.0,129.0,53.0,05000US51760,51,760,D,Renter,Asian,N/A
"Richmond city, Virginia",280.0,133.0,54.0,05000US51760,51,760,S,Renter,American Indian,All
"Richmond city, Virginia",65.0,70.0,55.0,05000US51760,51,760,D,Renter,American Indian,No cost burden
"Richmond city, Virginia",0.0,161.0,56.0,05000US51760,51,760,D,Renter,American Indian,Moderate cost burden
"Richmond city, Virginia",215.0,140.0,57.0,05000US51760,51,760,D,Renter,American Indian,Severe cost burden
"Richmond city, Virginia",0.0,161.0,58.0,05000US51760,51,760,D,Renter,American Indian,N/A
"Richmond city, Virginia",15.0,27.0,59.0,05000US51760,51,760,S,Renter,Pacific Islander,All
"Richmond city, Virginia",0.0,161.0,60.0,05000US51760,51,760,D,Renter,Pacific Islander,No cost burden
"Richmond city, Virginia",0.0,161.0,61.0,05000US51760,51,760,D,Renter,Pacific Islander,Moderate cost burden
"Richmond city, Virginia",15.0,27.0,62.0,05000US51760,51,760,D,Renter,Pacific Islander,Severe cost burden
"Richmond city, Virginia",0.0,161.0,63.0,05000US51760,51,760,D,Renter,Pacific Islander,N/A
"Richmond city, Virginia",1470.0,260.0,64.0,05000US51760,51,760,S,Renter,Hispanic,All
"Richmond city, Virginia",980.0,243.0,65.0,05000US51760,51,760,D,Renter,Hispanic,No cost burden
"Richmond city, Virginia",165.0,144.0,66.0,05000US51760,51,760,D,Renter,Hispanic,Moderate cost burden
"Richmond city, Virginia",265.0,160.0,67.0,05000US51760,51,760,D,Renter,Hispanic,Severe cost burden
"Richmond city, Virginia",55.0,52.0,68.0,05000US51760,51,760,D,Renter,Hispanic,N/A
"Richmond city, Virginia",1135.0,374.0,69.0,05000US51760,51,760,S,Renter,Other,All
"Richmond city, Virginia",540.0,263.0,70.0,05000US51760,51,760,D,Renter,Other,No cost burden
"Richmond city, Virginia",285.0,233.0,71.0,05000US51760,51,760,D,Renter,Other,Moderate cost burden
"Richmond city, Virginia",255.0,166.0,72.0,05000US51760,51,760,D,Renter,Other,Severe cost burden
"Richmond city, Virginia",50.0,61.0,73.0,05000US51760,51,760,D,Renter,Other,N/A
