name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Household_Income,Cost_Burden
"Newport News city, Virginia",73275.0,721.0,1.0,05000US51700,51,700,T,All,All,All,All
"Newport News city, Virginia",38530.0,1070.0,2.0,05000US51700,51,700,S,Owner,All,All,All
"Newport News city, Virginia",1965.0,424.0,3.0,05000US51700,51,700,S,Owner,2000+,All,All
"Newport News city, Virginia",135.0,95.0,4.0,05000US51700,51,700,S,Owner,2000+,<=50% AMI,All
"Newport News city, Virginia",15.0,29.0,5.0,05000US51700,51,700,D,Owner,2000+,<=50% AMI,No cost burden
"Newport News city, Virginia",15.0,30.0,6.0,05000US51700,51,700,D,Owner,2000+,<=50% AMI,Moderate cost burden
"Newport News city, Virginia",105.0,84.0,7.0,05000US51700,51,700,D,Owner,2000+,<=50% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,8.0,05000US51700,51,700,D,Owner,2000+,<=50% AMI,N/A
"Newport News city, Virginia",360.0,216.0,9.0,05000US51700,51,700,S,Owner,2000+,50.1-80% AMI,All
"Newport News city, Virginia",170.0,159.0,10.0,05000US51700,51,700,D,Owner,2000+,50.1-80% AMI,No cost burden
"Newport News city, Virginia",150.0,128.0,11.0,05000US51700,51,700,D,Owner,2000+,50.1-80% AMI,Moderate cost burden
"Newport News city, Virginia",40.0,48.0,12.0,05000US51700,51,700,D,Owner,2000+,50.1-80% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,13.0,05000US51700,51,700,D,Owner,2000+,50.1-80% AMI,N/A
"Newport News city, Virginia",350.0,177.0,14.0,05000US51700,51,700,S,Owner,2000+,80.1-120% AMI,All
"Newport News city, Virginia",205.0,114.0,15.0,05000US51700,51,700,D,Owner,2000+,80.1-120% AMI,No cost burden
"Newport News city, Virginia",100.0,117.0,16.0,05000US51700,51,700,D,Owner,2000+,80.1-120% AMI,Moderate cost burden
"Newport News city, Virginia",50.0,82.0,17.0,05000US51700,51,700,D,Owner,2000+,80.1-120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,18.0,05000US51700,51,700,D,Owner,2000+,80.1-120% AMI,N/A
"Newport News city, Virginia",1115.0,338.0,19.0,05000US51700,51,700,S,Owner,2000+,>120% AMI,All
"Newport News city, Virginia",1050.0,309.0,20.0,05000US51700,51,700,D,Owner,2000+,>120% AMI,No cost burden
"Newport News city, Virginia",65.0,70.0,21.0,05000US51700,51,700,D,Owner,2000+,>120% AMI,Moderate cost burden
"Newport News city, Virginia",0.0,161.0,22.0,05000US51700,51,700,D,Owner,2000+,>120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,23.0,05000US51700,51,700,D,Owner,2000+,>120% AMI,N/A
"Newport News city, Virginia",13005.0,770.0,24.0,05000US51700,51,700,S,Owner,1980 to 1999,All,All
"Newport News city, Virginia",1295.0,335.0,25.0,05000US51700,51,700,S,Owner,1980 to 1999,<=50% AMI,All
"Newport News city, Virginia",220.0,132.0,26.0,05000US51700,51,700,D,Owner,1980 to 1999,<=50% AMI,No cost burden
"Newport News city, Virginia",205.0,114.0,27.0,05000US51700,51,700,D,Owner,1980 to 1999,<=50% AMI,Moderate cost burden
"Newport News city, Virginia",820.0,262.0,28.0,05000US51700,51,700,D,Owner,1980 to 1999,<=50% AMI,Severe cost burden
"Newport News city, Virginia",50.0,48.0,29.0,05000US51700,51,700,D,Owner,1980 to 1999,<=50% AMI,N/A
"Newport News city, Virginia",1670.0,338.0,30.0,05000US51700,51,700,S,Owner,1980 to 1999,50.1-80% AMI,All
"Newport News city, Virginia",670.0,203.0,31.0,05000US51700,51,700,D,Owner,1980 to 1999,50.1-80% AMI,No cost burden
"Newport News city, Virginia",735.0,214.0,32.0,05000US51700,51,700,D,Owner,1980 to 1999,50.1-80% AMI,Moderate cost burden
"Newport News city, Virginia",265.0,130.0,33.0,05000US51700,51,700,D,Owner,1980 to 1999,50.1-80% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,34.0,05000US51700,51,700,D,Owner,1980 to 1999,50.1-80% AMI,N/A
"Newport News city, Virginia",3430.0,558.0,35.0,05000US51700,51,700,S,Owner,1980 to 1999,80.1-120% AMI,All
"Newport News city, Virginia",2440.0,487.0,36.0,05000US51700,51,700,D,Owner,1980 to 1999,80.1-120% AMI,No cost burden
"Newport News city, Virginia",870.0,269.0,37.0,05000US51700,51,700,D,Owner,1980 to 1999,80.1-120% AMI,Moderate cost burden
"Newport News city, Virginia",120.0,93.0,38.0,05000US51700,51,700,D,Owner,1980 to 1999,80.1-120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,39.0,05000US51700,51,700,D,Owner,1980 to 1999,80.1-120% AMI,N/A
"Newport News city, Virginia",6615.0,557.0,40.0,05000US51700,51,700,S,Owner,1980 to 1999,>120% AMI,All
"Newport News city, Virginia",6190.0,546.0,41.0,05000US51700,51,700,D,Owner,1980 to 1999,>120% AMI,No cost burden
"Newport News city, Virginia",400.0,164.0,42.0,05000US51700,51,700,D,Owner,1980 to 1999,>120% AMI,Moderate cost burden
"Newport News city, Virginia",30.0,48.0,43.0,05000US51700,51,700,D,Owner,1980 to 1999,>120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,44.0,05000US51700,51,700,D,Owner,1980 to 1999,>120% AMI,N/A
"Newport News city, Virginia",13050.0,863.0,45.0,05000US51700,51,700,S,Owner,1960 to 1979,All,All
"Newport News city, Virginia",1570.0,351.0,46.0,05000US51700,51,700,S,Owner,1960 to 1979,<=50% AMI,All
"Newport News city, Virginia",440.0,201.0,47.0,05000US51700,51,700,D,Owner,1960 to 1979,<=50% AMI,No cost burden
"Newport News city, Virginia",360.0,166.0,48.0,05000US51700,51,700,D,Owner,1960 to 1979,<=50% AMI,Moderate cost burden
"Newport News city, Virginia",725.0,207.0,49.0,05000US51700,51,700,D,Owner,1960 to 1979,<=50% AMI,Severe cost burden
"Newport News city, Virginia",50.0,53.0,50.0,05000US51700,51,700,D,Owner,1960 to 1979,<=50% AMI,N/A
"Newport News city, Virginia",1860.0,377.0,51.0,05000US51700,51,700,S,Owner,1960 to 1979,50.1-80% AMI,All
"Newport News city, Virginia",1050.0,270.0,52.0,05000US51700,51,700,D,Owner,1960 to 1979,50.1-80% AMI,No cost burden
"Newport News city, Virginia",610.0,213.0,53.0,05000US51700,51,700,D,Owner,1960 to 1979,50.1-80% AMI,Moderate cost burden
"Newport News city, Virginia",200.0,109.0,54.0,05000US51700,51,700,D,Owner,1960 to 1979,50.1-80% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,55.0,05000US51700,51,700,D,Owner,1960 to 1979,50.1-80% AMI,N/A
"Newport News city, Virginia",2880.0,428.0,56.0,05000US51700,51,700,S,Owner,1960 to 1979,80.1-120% AMI,All
"Newport News city, Virginia",2075.0,372.0,57.0,05000US51700,51,700,D,Owner,1960 to 1979,80.1-120% AMI,No cost burden
"Newport News city, Virginia",790.0,254.0,58.0,05000US51700,51,700,D,Owner,1960 to 1979,80.1-120% AMI,Moderate cost burden
"Newport News city, Virginia",15.0,30.0,59.0,05000US51700,51,700,D,Owner,1960 to 1979,80.1-120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,60.0,05000US51700,51,700,D,Owner,1960 to 1979,80.1-120% AMI,N/A
"Newport News city, Virginia",6735.0,758.0,61.0,05000US51700,51,700,S,Owner,1960 to 1979,>120% AMI,All
"Newport News city, Virginia",6210.0,697.0,62.0,05000US51700,51,700,D,Owner,1960 to 1979,>120% AMI,No cost burden
"Newport News city, Virginia",525.0,323.0,63.0,05000US51700,51,700,D,Owner,1960 to 1979,>120% AMI,Moderate cost burden
"Newport News city, Virginia",0.0,161.0,64.0,05000US51700,51,700,D,Owner,1960 to 1979,>120% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,65.0,05000US51700,51,700,D,Owner,1960 to 1979,>120% AMI,N/A
"Newport News city, Virginia",8285.0,879.0,66.0,05000US51700,51,700,S,Owner,1940 to 1959,All,All
"Newport News city, Virginia",1810.0,473.0,67.0,05000US51700,51,700,S,Owner,1940 to 1959,<=50% AMI,All
"Newport News city, Virginia",365.0,191.0,68.0,05000US51700,51,700,D,Owner,1940 to 1959,<=50% AMI,No cost burden
"Newport News city, Virginia",415.0,188.0,69.0,05000US51700,51,700,D,Owner,1940 to 1959,<=50% AMI,Moderate cost burden
"Newport News city, Virginia",925.0,350.0,70.0,05000US51700,51,700,D,Owner,1940 to 1959,<=50% AMI,Severe cost burden
"Newport News city, Virginia",105.0,80.0,71.0,05000US51700,51,700,D,Owner,1940 to 1959,<=50% AMI,N/A
"Newport News city, Virginia",1345.0,311.0,72.0,05000US51700,51,700,S,Owner,1940 to 1959,50.1-80% AMI,All
"Newport News city, Virginia",1010.0,259.0,73.0,05000US51700,51,700,D,Owner,1940 to 1959,50.1-80% AMI,No cost burden
"Newport News city, Virginia",295.0,148.0,74.0,05000US51700,51,700,D,Owner,1940 to 1959,50.1-80% AMI,Moderate cost burden
"Newport News city, Virginia",35.0,45.0,75.0,05000US51700,51,700,D,Owner,1940 to 1959,50.1-80% AMI,Severe cost burden
"Newport News city, Virginia",0.0,161.0,76.0,05000US51700,51,700,D,Owner,1940 to 1959,50.1-80% AMI,N/A
"Newport News city, Virginia",2410.0,477.0,77.0,05000US51700,51,700,S,Owner,1940 to 1959,80.1-120% AMI,All
