name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Household_Income,Cost_Burden
"Staunton city, Virginia",9710.0,381.0,1.0,05000US51790,51,790,T,All,All,All,All
"Staunton city, Virginia",5780.0,380.0,2.0,05000US51790,51,790,S,Owner,All,All,All
"Staunton city, Virginia",390.0,183.0,3.0,05000US51790,51,790,S,Owner,2000+,All,All
"Staunton city, Virginia",90.0,98.0,4.0,05000US51790,51,790,S,Owner,2000+,<=50% AMI,All
"Staunton city, Virginia",20.0,35.0,5.0,05000US51790,51,790,D,Owner,2000+,<=50% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,6.0,05000US51790,51,790,D,Owner,2000+,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",70.0,104.0,7.0,05000US51790,51,790,D,Owner,2000+,<=50% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,8.0,05000US51790,51,790,D,Owner,2000+,<=50% AMI,N/A
"Staunton city, Virginia",20.0,37.0,9.0,05000US51790,51,790,S,Owner,2000+,50.1-80% AMI,All
"Staunton city, Virginia",0.0,161.0,10.0,05000US51790,51,790,D,Owner,2000+,50.1-80% AMI,No cost burden
"Staunton city, Virginia",20.0,37.0,11.0,05000US51790,51,790,D,Owner,2000+,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,12.0,05000US51790,51,790,D,Owner,2000+,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,13.0,05000US51790,51,790,D,Owner,2000+,50.1-80% AMI,N/A
"Staunton city, Virginia",115.0,99.0,14.0,05000US51790,51,790,S,Owner,2000+,80.1-120% AMI,All
"Staunton city, Virginia",65.0,74.0,15.0,05000US51790,51,790,D,Owner,2000+,80.1-120% AMI,No cost burden
"Staunton city, Virginia",40.0,64.0,16.0,05000US51790,51,790,D,Owner,2000+,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",10.0,16.0,17.0,05000US51790,51,790,D,Owner,2000+,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,18.0,05000US51790,51,790,D,Owner,2000+,80.1-120% AMI,N/A
"Staunton city, Virginia",170.0,102.0,19.0,05000US51790,51,790,S,Owner,2000+,>120% AMI,All
"Staunton city, Virginia",155.0,98.0,20.0,05000US51790,51,790,D,Owner,2000+,>120% AMI,No cost burden
"Staunton city, Virginia",15.0,30.0,21.0,05000US51790,51,790,D,Owner,2000+,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,22.0,05000US51790,51,790,D,Owner,2000+,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,23.0,05000US51790,51,790,D,Owner,2000+,>120% AMI,N/A
"Staunton city, Virginia",380.0,148.0,24.0,05000US51790,51,790,S,Owner,1980 to 1999,All,All
"Staunton city, Virginia",30.0,33.0,25.0,05000US51790,51,790,S,Owner,1980 to 1999,<=50% AMI,All
"Staunton city, Virginia",0.0,161.0,26.0,05000US51790,51,790,D,Owner,1980 to 1999,<=50% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,27.0,05000US51790,51,790,D,Owner,1980 to 1999,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",30.0,33.0,28.0,05000US51790,51,790,D,Owner,1980 to 1999,<=50% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,29.0,05000US51790,51,790,D,Owner,1980 to 1999,<=50% AMI,N/A
