name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Year_Structure_Built,Household_Income,Cost_Burden
"Staunton city, Virginia",95.0,72.0,30.0,05000US51790,51,790,S,Owner,1980 to 1999,50.1-80% AMI,All
"Staunton city, Virginia",70.0,64.0,31.0,05000US51790,51,790,D,Owner,1980 to 1999,50.1-80% AMI,No cost burden
"Staunton city, Virginia",25.0,34.0,32.0,05000US51790,51,790,D,Owner,1980 to 1999,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,33.0,05000US51790,51,790,D,Owner,1980 to 1999,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,34.0,05000US51790,51,790,D,Owner,1980 to 1999,50.1-80% AMI,N/A
"Staunton city, Virginia",135.0,100.0,35.0,05000US51790,51,790,S,Owner,1980 to 1999,80.1-120% AMI,All
"Staunton city, Virginia",115.0,91.0,36.0,05000US51790,51,790,D,Owner,1980 to 1999,80.1-120% AMI,No cost burden
"Staunton city, Virginia",20.0,33.0,37.0,05000US51790,51,790,D,Owner,1980 to 1999,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,38.0,05000US51790,51,790,D,Owner,1980 to 1999,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,39.0,05000US51790,51,790,D,Owner,1980 to 1999,80.1-120% AMI,N/A
"Staunton city, Virginia",120.0,77.0,40.0,05000US51790,51,790,S,Owner,1980 to 1999,>120% AMI,All
"Staunton city, Virginia",120.0,77.0,41.0,05000US51790,51,790,D,Owner,1980 to 1999,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,42.0,05000US51790,51,790,D,Owner,1980 to 1999,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,43.0,05000US51790,51,790,D,Owner,1980 to 1999,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,44.0,05000US51790,51,790,D,Owner,1980 to 1999,>120% AMI,N/A
"Staunton city, Virginia",1880.0,274.0,45.0,05000US51790,51,790,S,Owner,1960 to 1979,All,All
"Staunton city, Virginia",270.0,150.0,46.0,05000US51790,51,790,S,Owner,1960 to 1979,<=50% AMI,All
"Staunton city, Virginia",80.0,76.0,47.0,05000US51790,51,790,D,Owner,1960 to 1979,<=50% AMI,No cost burden
"Staunton city, Virginia",60.0,64.0,48.0,05000US51790,51,790,D,Owner,1960 to 1979,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",135.0,119.0,49.0,05000US51790,51,790,D,Owner,1960 to 1979,<=50% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,50.0,05000US51790,51,790,D,Owner,1960 to 1979,<=50% AMI,N/A
"Staunton city, Virginia",255.0,135.0,51.0,05000US51790,51,790,S,Owner,1960 to 1979,50.1-80% AMI,All
"Staunton city, Virginia",160.0,118.0,52.0,05000US51790,51,790,D,Owner,1960 to 1979,50.1-80% AMI,No cost burden
"Staunton city, Virginia",25.0,29.0,53.0,05000US51790,51,790,D,Owner,1960 to 1979,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",70.0,82.0,54.0,05000US51790,51,790,D,Owner,1960 to 1979,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,55.0,05000US51790,51,790,D,Owner,1960 to 1979,50.1-80% AMI,N/A
"Staunton city, Virginia",520.0,166.0,56.0,05000US51790,51,790,S,Owner,1960 to 1979,80.1-120% AMI,All
"Staunton city, Virginia",445.0,159.0,57.0,05000US51790,51,790,D,Owner,1960 to 1979,80.1-120% AMI,No cost burden
"Staunton city, Virginia",75.0,65.0,58.0,05000US51790,51,790,D,Owner,1960 to 1979,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,59.0,05000US51790,51,790,D,Owner,1960 to 1979,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,60.0,05000US51790,51,790,D,Owner,1960 to 1979,80.1-120% AMI,N/A
"Staunton city, Virginia",835.0,195.0,61.0,05000US51790,51,790,S,Owner,1960 to 1979,>120% AMI,All
"Staunton city, Virginia",835.0,195.0,62.0,05000US51790,51,790,D,Owner,1960 to 1979,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,63.0,05000US51790,51,790,D,Owner,1960 to 1979,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,64.0,05000US51790,51,790,D,Owner,1960 to 1979,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,65.0,05000US51790,51,790,D,Owner,1960 to 1979,>120% AMI,N/A
"Staunton city, Virginia",1910.0,297.0,66.0,05000US51790,51,790,S,Owner,1940 to 1959,All,All
"Staunton city, Virginia",345.0,142.0,67.0,05000US51790,51,790,S,Owner,1940 to 1959,<=50% AMI,All
"Staunton city, Virginia",165.0,103.0,68.0,05000US51790,51,790,D,Owner,1940 to 1959,<=50% AMI,No cost burden
"Staunton city, Virginia",25.0,24.0,69.0,05000US51790,51,790,D,Owner,1940 to 1959,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",115.0,71.0,70.0,05000US51790,51,790,D,Owner,1940 to 1959,<=50% AMI,Severe cost burden
"Staunton city, Virginia",40.0,51.0,71.0,05000US51790,51,790,D,Owner,1940 to 1959,<=50% AMI,N/A
"Staunton city, Virginia",290.0,120.0,72.0,05000US51790,51,790,S,Owner,1940 to 1959,50.1-80% AMI,All
"Staunton city, Virginia",235.0,108.0,73.0,05000US51790,51,790,D,Owner,1940 to 1959,50.1-80% AMI,No cost burden
"Staunton city, Virginia",40.0,47.0,74.0,05000US51790,51,790,D,Owner,1940 to 1959,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",20.0,33.0,75.0,05000US51790,51,790,D,Owner,1940 to 1959,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,76.0,05000US51790,51,790,D,Owner,1940 to 1959,50.1-80% AMI,N/A
"Staunton city, Virginia",535.0,174.0,77.0,05000US51790,51,790,S,Owner,1940 to 1959,80.1-120% AMI,All
"Staunton city, Virginia",515.0,175.0,78.0,05000US51790,51,790,D,Owner,1940 to 1959,80.1-120% AMI,No cost burden
"Staunton city, Virginia",20.0,40.0,79.0,05000US51790,51,790,D,Owner,1940 to 1959,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,80.0,05000US51790,51,790,D,Owner,1940 to 1959,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,81.0,05000US51790,51,790,D,Owner,1940 to 1959,80.1-120% AMI,N/A
"Staunton city, Virginia",735.0,188.0,82.0,05000US51790,51,790,S,Owner,1940 to 1959,>120% AMI,All
"Staunton city, Virginia",735.0,188.0,83.0,05000US51790,51,790,D,Owner,1940 to 1959,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,84.0,05000US51790,51,790,D,Owner,1940 to 1959,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,85.0,05000US51790,51,790,D,Owner,1940 to 1959,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,86.0,05000US51790,51,790,D,Owner,1940 to 1959,>120% AMI,N/A
"Staunton city, Virginia",1220.0,235.0,87.0,05000US51790,51,790,S,Owner,1939-,All,All
"Staunton city, Virginia",225.0,113.0,88.0,05000US51790,51,790,S,Owner,1939-,<=50% AMI,All
"Staunton city, Virginia",90.0,75.0,89.0,05000US51790,51,790,D,Owner,1939-,<=50% AMI,No cost burden
"Staunton city, Virginia",85.0,60.0,90.0,05000US51790,51,790,D,Owner,1939-,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",50.0,51.0,91.0,05000US51790,51,790,D,Owner,1939-,<=50% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,92.0,05000US51790,51,790,D,Owner,1939-,<=50% AMI,N/A
"Staunton city, Virginia",165.0,89.0,93.0,05000US51790,51,790,S,Owner,1939-,50.1-80% AMI,All
"Staunton city, Virginia",145.0,87.0,94.0,05000US51790,51,790,D,Owner,1939-,50.1-80% AMI,No cost burden
"Staunton city, Virginia",20.0,37.0,95.0,05000US51790,51,790,D,Owner,1939-,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,96.0,05000US51790,51,790,D,Owner,1939-,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,97.0,05000US51790,51,790,D,Owner,1939-,50.1-80% AMI,N/A
"Staunton city, Virginia",355.0,161.0,98.0,05000US51790,51,790,S,Owner,1939-,80.1-120% AMI,All
"Staunton city, Virginia",235.0,113.0,99.0,05000US51790,51,790,D,Owner,1939-,80.1-120% AMI,No cost burden
"Staunton city, Virginia",120.0,115.0,100.0,05000US51790,51,790,D,Owner,1939-,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,101.0,05000US51790,51,790,D,Owner,1939-,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,102.0,05000US51790,51,790,D,Owner,1939-,80.1-120% AMI,N/A
"Staunton city, Virginia",475.0,151.0,103.0,05000US51790,51,790,S,Owner,1939-,>120% AMI,All
"Staunton city, Virginia",450.0,152.0,104.0,05000US51790,51,790,D,Owner,1939-,>120% AMI,No cost burden
"Staunton city, Virginia",4.0,17.0,105.0,05000US51790,51,790,D,Owner,1939-,>120% AMI,Moderate cost burden
"Staunton city, Virginia",20.0,32.0,106.0,05000US51790,51,790,D,Owner,1939-,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,107.0,05000US51790,51,790,D,Owner,1939-,>120% AMI,N/A
"Staunton city, Virginia",3930.0,422.0,108.0,05000US51790,51,790,S,Renter,All,All,All
"Staunton city, Virginia",160.0,96.0,109.0,05000US51790,51,790,S,Renter,2000+,All,All
"Staunton city, Virginia",50.0,57.0,110.0,05000US51790,51,790,S,Renter,2000+,<=50% AMI,All
"Staunton city, Virginia",0.0,161.0,111.0,05000US51790,51,790,D,Renter,2000+,<=50% AMI,No cost burden
"Staunton city, Virginia",20.0,32.0,112.0,05000US51790,51,790,D,Renter,2000+,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,113.0,05000US51790,51,790,D,Renter,2000+,<=50% AMI,Severe cost burden
"Staunton city, Virginia",30.0,46.0,114.0,05000US51790,51,790,D,Renter,2000+,<=50% AMI,N/A
"Staunton city, Virginia",90.0,74.0,115.0,05000US51790,51,790,S,Renter,2000+,50.1-80% AMI,All
"Staunton city, Virginia",15.0,25.0,116.0,05000US51790,51,790,D,Renter,2000+,50.1-80% AMI,No cost burden
"Staunton city, Virginia",75.0,66.0,117.0,05000US51790,51,790,D,Renter,2000+,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,118.0,05000US51790,51,790,D,Renter,2000+,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,119.0,05000US51790,51,790,D,Renter,2000+,50.1-80% AMI,N/A
"Staunton city, Virginia",10.0,17.0,120.0,05000US51790,51,790,S,Renter,2000+,80.1-120% AMI,All
"Staunton city, Virginia",10.0,17.0,121.0,05000US51790,51,790,D,Renter,2000+,80.1-120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,122.0,05000US51790,51,790,D,Renter,2000+,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,123.0,05000US51790,51,790,D,Renter,2000+,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,124.0,05000US51790,51,790,D,Renter,2000+,80.1-120% AMI,N/A
"Staunton city, Virginia",15.0,24.0,125.0,05000US51790,51,790,S,Renter,2000+,>120% AMI,All
"Staunton city, Virginia",0.0,161.0,126.0,05000US51790,51,790,D,Renter,2000+,>120% AMI,No cost burden
"Staunton city, Virginia",15.0,24.0,127.0,05000US51790,51,790,D,Renter,2000+,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,128.0,05000US51790,51,790,D,Renter,2000+,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,129.0,05000US51790,51,790,D,Renter,2000+,>120% AMI,N/A
"Staunton city, Virginia",860.0,254.0,130.0,05000US51790,51,790,S,Renter,1980 to 1999,All,All
"Staunton city, Virginia",570.0,219.0,131.0,05000US51790,51,790,S,Renter,1980 to 1999,<=50% AMI,All
"Staunton city, Virginia",125.0,81.0,132.0,05000US51790,51,790,D,Renter,1980 to 1999,<=50% AMI,No cost burden
"Staunton city, Virginia",205.0,157.0,133.0,05000US51790,51,790,D,Renter,1980 to 1999,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",130.0,117.0,134.0,05000US51790,51,790,D,Renter,1980 to 1999,<=50% AMI,Severe cost burden
"Staunton city, Virginia",115.0,114.0,135.0,05000US51790,51,790,D,Renter,1980 to 1999,<=50% AMI,N/A
"Staunton city, Virginia",90.0,77.0,136.0,05000US51790,51,790,S,Renter,1980 to 1999,50.1-80% AMI,All
"Staunton city, Virginia",75.0,75.0,137.0,05000US51790,51,790,D,Renter,1980 to 1999,50.1-80% AMI,No cost burden
"Staunton city, Virginia",15.0,27.0,138.0,05000US51790,51,790,D,Renter,1980 to 1999,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,139.0,05000US51790,51,790,D,Renter,1980 to 1999,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,140.0,05000US51790,51,790,D,Renter,1980 to 1999,50.1-80% AMI,N/A
"Staunton city, Virginia",140.0,98.0,141.0,05000US51790,51,790,S,Renter,1980 to 1999,80.1-120% AMI,All
"Staunton city, Virginia",140.0,98.0,142.0,05000US51790,51,790,D,Renter,1980 to 1999,80.1-120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,143.0,05000US51790,51,790,D,Renter,1980 to 1999,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,144.0,05000US51790,51,790,D,Renter,1980 to 1999,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,145.0,05000US51790,51,790,D,Renter,1980 to 1999,80.1-120% AMI,N/A
"Staunton city, Virginia",60.0,59.0,146.0,05000US51790,51,790,S,Renter,1980 to 1999,>120% AMI,All
"Staunton city, Virginia",45.0,51.0,147.0,05000US51790,51,790,D,Renter,1980 to 1999,>120% AMI,No cost burden
"Staunton city, Virginia",15.0,25.0,148.0,05000US51790,51,790,D,Renter,1980 to 1999,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,149.0,05000US51790,51,790,D,Renter,1980 to 1999,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,150.0,05000US51790,51,790,D,Renter,1980 to 1999,>120% AMI,N/A
"Staunton city, Virginia",1065.0,254.0,151.0,05000US51790,51,790,S,Renter,1960 to 1979,All,All
"Staunton city, Virginia",505.0,200.0,152.0,05000US51790,51,790,S,Renter,1960 to 1979,<=50% AMI,All
"Staunton city, Virginia",35.0,46.0,153.0,05000US51790,51,790,D,Renter,1960 to 1979,<=50% AMI,No cost burden
"Staunton city, Virginia",185.0,110.0,154.0,05000US51790,51,790,D,Renter,1960 to 1979,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",170.0,121.0,155.0,05000US51790,51,790,D,Renter,1960 to 1979,<=50% AMI,Severe cost burden
"Staunton city, Virginia",110.0,123.0,156.0,05000US51790,51,790,D,Renter,1960 to 1979,<=50% AMI,N/A
"Staunton city, Virginia",185.0,110.0,157.0,05000US51790,51,790,S,Renter,1960 to 1979,50.1-80% AMI,All
"Staunton city, Virginia",85.0,66.0,158.0,05000US51790,51,790,D,Renter,1960 to 1979,50.1-80% AMI,No cost burden
"Staunton city, Virginia",65.0,76.0,159.0,05000US51790,51,790,D,Renter,1960 to 1979,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,160.0,05000US51790,51,790,D,Renter,1960 to 1979,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",35.0,47.0,161.0,05000US51790,51,790,D,Renter,1960 to 1979,50.1-80% AMI,N/A
"Staunton city, Virginia",195.0,130.0,162.0,05000US51790,51,790,S,Renter,1960 to 1979,80.1-120% AMI,All
"Staunton city, Virginia",195.0,130.0,163.0,05000US51790,51,790,D,Renter,1960 to 1979,80.1-120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,164.0,05000US51790,51,790,D,Renter,1960 to 1979,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,165.0,05000US51790,51,790,D,Renter,1960 to 1979,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,166.0,05000US51790,51,790,D,Renter,1960 to 1979,80.1-120% AMI,N/A
"Staunton city, Virginia",180.0,118.0,167.0,05000US51790,51,790,S,Renter,1960 to 1979,>120% AMI,All
"Staunton city, Virginia",180.0,118.0,168.0,05000US51790,51,790,D,Renter,1960 to 1979,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,169.0,05000US51790,51,790,D,Renter,1960 to 1979,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,170.0,05000US51790,51,790,D,Renter,1960 to 1979,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,171.0,05000US51790,51,790,D,Renter,1960 to 1979,>120% AMI,N/A
"Staunton city, Virginia",565.0,220.0,172.0,05000US51790,51,790,S,Renter,1940 to 1959,All,All
"Staunton city, Virginia",245.0,167.0,173.0,05000US51790,51,790,S,Renter,1940 to 1959,<=50% AMI,All
"Staunton city, Virginia",10.0,19.0,174.0,05000US51790,51,790,D,Renter,1940 to 1959,<=50% AMI,No cost burden
"Staunton city, Virginia",15.0,31.0,175.0,05000US51790,51,790,D,Renter,1940 to 1959,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",185.0,148.0,176.0,05000US51790,51,790,D,Renter,1940 to 1959,<=50% AMI,Severe cost burden
"Staunton city, Virginia",35.0,49.0,177.0,05000US51790,51,790,D,Renter,1940 to 1959,<=50% AMI,N/A
"Staunton city, Virginia",125.0,79.0,178.0,05000US51790,51,790,S,Renter,1940 to 1959,50.1-80% AMI,All
"Staunton city, Virginia",70.0,58.0,179.0,05000US51790,51,790,D,Renter,1940 to 1959,50.1-80% AMI,No cost burden
"Staunton city, Virginia",60.0,51.0,180.0,05000US51790,51,790,D,Renter,1940 to 1959,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,181.0,05000US51790,51,790,D,Renter,1940 to 1959,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,182.0,05000US51790,51,790,D,Renter,1940 to 1959,50.1-80% AMI,N/A
"Staunton city, Virginia",140.0,106.0,183.0,05000US51790,51,790,S,Renter,1940 to 1959,80.1-120% AMI,All
"Staunton city, Virginia",140.0,106.0,184.0,05000US51790,51,790,D,Renter,1940 to 1959,80.1-120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,185.0,05000US51790,51,790,D,Renter,1940 to 1959,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,186.0,05000US51790,51,790,D,Renter,1940 to 1959,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,187.0,05000US51790,51,790,D,Renter,1940 to 1959,80.1-120% AMI,N/A
"Staunton city, Virginia",55.0,60.0,188.0,05000US51790,51,790,S,Renter,1940 to 1959,>120% AMI,All
"Staunton city, Virginia",55.0,60.0,189.0,05000US51790,51,790,D,Renter,1940 to 1959,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,190.0,05000US51790,51,790,D,Renter,1940 to 1959,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,191.0,05000US51790,51,790,D,Renter,1940 to 1959,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,192.0,05000US51790,51,790,D,Renter,1940 to 1959,>120% AMI,N/A
"Staunton city, Virginia",1280.0,364.0,193.0,05000US51790,51,790,S,Renter,1939-,All,All
"Staunton city, Virginia",485.0,187.0,194.0,05000US51790,51,790,S,Renter,1939-,<=50% AMI,All
"Staunton city, Virginia",60.0,53.0,195.0,05000US51790,51,790,D,Renter,1939-,<=50% AMI,No cost burden
"Staunton city, Virginia",250.0,164.0,196.0,05000US51790,51,790,D,Renter,1939-,<=50% AMI,Moderate cost burden
"Staunton city, Virginia",125.0,82.0,197.0,05000US51790,51,790,D,Renter,1939-,<=50% AMI,Severe cost burden
"Staunton city, Virginia",45.0,61.0,198.0,05000US51790,51,790,D,Renter,1939-,<=50% AMI,N/A
"Staunton city, Virginia",420.0,275.0,199.0,05000US51790,51,790,S,Renter,1939-,50.1-80% AMI,All
"Staunton city, Virginia",350.0,246.0,200.0,05000US51790,51,790,D,Renter,1939-,50.1-80% AMI,No cost burden
"Staunton city, Virginia",70.0,106.0,201.0,05000US51790,51,790,D,Renter,1939-,50.1-80% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,202.0,05000US51790,51,790,D,Renter,1939-,50.1-80% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,203.0,05000US51790,51,790,D,Renter,1939-,50.1-80% AMI,N/A
"Staunton city, Virginia",370.0,185.0,204.0,05000US51790,51,790,S,Renter,1939-,80.1-120% AMI,All
"Staunton city, Virginia",370.0,185.0,205.0,05000US51790,51,790,D,Renter,1939-,80.1-120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,206.0,05000US51790,51,790,D,Renter,1939-,80.1-120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,207.0,05000US51790,51,790,D,Renter,1939-,80.1-120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,208.0,05000US51790,51,790,D,Renter,1939-,80.1-120% AMI,N/A
"Staunton city, Virginia",10.0,14.0,209.0,05000US51790,51,790,S,Renter,1939-,>120% AMI,All
"Staunton city, Virginia",10.0,14.0,210.0,05000US51790,51,790,D,Renter,1939-,>120% AMI,No cost burden
"Staunton city, Virginia",0.0,161.0,211.0,05000US51790,51,790,D,Renter,1939-,>120% AMI,Moderate cost burden
"Staunton city, Virginia",0.0,161.0,212.0,05000US51790,51,790,D,Renter,1939-,>120% AMI,Severe cost burden
"Staunton city, Virginia",0.0,161.0,213.0,05000US51790,51,790,D,Renter,1939-,>120% AMI,N/A
